"","dateTime","COND","COND_code","FC","FC_code","FLOW","FLOW_code","NH3_N","NH3_N_code","NO2_NO3","NO2_NO3_code","OP_DIS","OP_DIS_code","OXYGEN","OXYGEN_code","PH","PH_code","PRESS","PRESS_code","SUSSOL","SUSSOL_code","TEMP","TEMP_code","TP_P","TP_P_code","TP_PInLine","TP_PInLine_code","TP_P_ICP","TP_P_ICP_code","TPN","TPN_code","TURB","TURB_code","Turb.JTU","Turb.JTU_code","siteCode","DoE_StationCode"
"1","1959-07-08 00:00:00","69","",NA,"",NA,NA,NA,"",NA,"",NA,"",10.3,NA,7,"",NA,"",NA,"",14.5,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"2","1959-08-12 00:00:00","93","",NA,"",NA,NA,NA,"",NA,"",NA,"",7.6,NA,7,"",NA,"",NA,"",14.5,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"3","1959-09-25 00:00:00","53","",NA,"",NA,NA,NA,"",NA,"",NA,"",10,NA,7.3,"",NA,"",NA,"",12.6,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"4","1959-10-16 00:00:00","50","",NA,"",NA,NA,NA,"",NA,"",NA,"",11.1,NA,7.1,"",NA,"",NA,"",10,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"5","1959-11-30 00:00:00","46","",NA,"",NA,NA,NA,"",NA,"",NA,"",11.4,NA,6.9,"",NA,"",NA,"",7,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"6","1959-12-31 00:00:00","55","",NA,"",NA,NA,NA,"",NA,"",NA,"",11.8,NA,7.2,"",NA,"",NA,"",5.2,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"7","1960-01-27 00:00:00","59","",NA,"",NA,NA,NA,"",NA,"",NA,"",11.4,NA,7.2,"",NA,"",NA,"",6.5,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"8","1960-02-19 00:00:00","56","",NA,"",NA,NA,NA,"",NA,"",NA,"",11.9,NA,7.1,"",NA,"",NA,"",6.3,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"9","1960-03-22 00:00:00","57","",NA,"",NA,NA,NA,"",NA,"",NA,"",11,NA,7.5,"",NA,"",NA,"",7.5,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"10","1960-04-11 00:00:00","47","",NA,"",NA,NA,NA,"",NA,"",NA,"",12,NA,7.3,"",NA,"",NA,"",8.4,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"11","1960-05-13 00:00:00","51","",NA,"",NA,NA,NA,"",NA,"",NA,"",9.6,NA,7.5,"",NA,"",NA,"",12.5,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"12","1960-06-10 00:00:00","54","",NA,"",NA,NA,NA,"",NA,"",NA,"",9.7,NA,7.6,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"13","1960-07-21 00:00:00","67","",NA,"",NA,NA,NA,"",NA,"",NA,"",8.5,NA,7.4,"",NA,"",NA,"",20,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"14","1960-08-02 00:00:00","80","",NA,"",NA,NA,NA,"",NA,"",NA,"",9.9,NA,7.4,"",NA,"",NA,"",15.5,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"15","1960-09-07 00:00:00","68","",NA,"",NA,NA,NA,"",NA,"",NA,"",10.9,NA,7.4,"",NA,"",NA,"",15,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"16","1960-10-04 00:00:00","65","",NA,"",NA,NA,NA,"",NA,"",NA,"",10.3,NA,7.2,"",NA,"",NA,"",13,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
"17","1960-11-04 00:00:00","47","",NA,"",NA,NA,NA,"",NA,"",NA,"",11.5,NA,7.1,"",NA,"",NA,"",8,"",NA,"",NA,"",NA,NA,NA,"","","",NA,"","A","08C070"
