"date","hdr","hdr_anom_1900-99"
197101,1.67,1.91
197102,1.52,1.73
197103,2.67,2.92
197104,2.21,2.35
197105,1.79,1.94
197106,2.17,2.39
197107,2.22,2.44
197108,1.71,1.95
197109,2.22,2.44
197110,2.02,2.3
197111,1.89,2.09
197112,2.17,2.4
197201,2.25,2.49
197202,2.93,3.14
197203,3.66,3.91
197204,4.63,4.77
197205,3.51,3.66
197206,3.25,3.47
197207,3.35,3.57
197208,3.08,3.32
197209,3.77,3.99
197210,2.69,2.97
197211,1.74,1.94
197212,2.75,2.98
197301,2.07,2.31
197302,0.91,1.12
197303,-1.7,-1.45
197304,-2.12,-1.98
197305,-1.93,-1.78
197306,-1.39,-1.17
197307,-1.49,-1.27
197308,-1.63,-1.39
197309,-1.59,-1.37
197310,-1.43,-1.15
197311,0.85,1.05
197312,1.44,1.67
197401,2.34,2.58
197402,2.4,2.61
197403,2.94,3.19
197404,2.96,3.1
197405,3.14,3.29
197406,2.7,2.92
197407,3.22,3.44
197408,2.55,2.79
197409,1.42,1.64
197410,-2.1,-1.82
197411,-1.98,-1.78
197412,-1.52,-1.29
197501,-1.01,-0.77
197502,0.9,1.11
197503,0.88,1.13
197504,0.72,0.86
197505,0.64,0.79
197506,0.44,0.66
197507,0.11,0.33
197508,1.46,1.7
197509,-0.9,-0.68
197510,1.52,1.8
197511,1.87,2.07
197512,2.45,2.68
197601,2.35,2.59
197602,2.44,2.65
197603,2.25,2.5
197604,2.01,2.15
197605,1.96,2.11
197606,1.74,1.96
197607,1.81,2.03
197608,2.79,3.03
197609,2.23,2.45
197610,1.39,1.67
197611,-2.18,-1.98
197612,-3.3,-3.07
197701,-4.07,-3.83
197702,-4.57,-4.36
197703,-3.68,-3.43
197704,-4.05,-3.91
197705,-2.59,-2.44
197706,-2.78,-2.56
197707,-2.52,-2.3
197708,-1.14,-0.9
197709,1.98,2.2
197710,1.63,1.91
197711,1.52,1.72
197712,1.69,1.92
197801,1.17,1.41
197802,0.61,0.82
197803,-1.2,-0.95
197804,-0.72,-0.58
197805,0.63,0.78
197806,0.23,0.45
197807,0.43,0.65
197808,0.94,1.18
197809,2.42,2.64
197810,1.56,1.84
197811,1.39,1.59
197812,-1.61,-1.38
197901,-2.44,-2.2
197902,-1.33,-1.12
197903,-2.14,-1.89
197904,-1.95,-1.81
197905,-2.13,-1.98
197906,-2.4,-2.18
197907,-2.34,-2.12
197908,-2.31,-2.07
197909,-2.12,-1.9
197910,-1.98,-1.7
197911,-2.92,-2.72
197912,-1.26,-1.03
198001,-1.54,-1.3
198002,-1.05,-0.84
198003,-0.97,-0.72
198004,-0.68,-0.54
198005,-0.77,-0.62
198006,1.26,1.48
198007,1.34,1.56
198008,1.38,1.62
198009,1.31,1.53
198010,-1.14,-0.86
198011,0.51,0.71
198012,0.77,1
198101,-1.12,-0.88
198102,-0.67,-0.46
198103,-1.15,-0.9
198104,0.71,0.85
198105,0.85,1
198106,1.65,1.87
198107,2.09,2.31
198108,1.82,2.06
198109,2.12,2.34
198110,2.94,3.22
198111,2.43,2.63
198112,2.63,2.86
198201,2.84,3.08
198202,3.67,3.88
198203,3.24,3.49
198204,3.29,3.43
198205,2.33,2.48
198206,1.53,1.75
198207,1.39,1.61
198208,1.09,1.33
198209,0.85,1.07
198210,0.86,1.14
198211,0.57,0.77
198212,0.98,1.21
198301,1.32,1.56
198302,1.38,1.59
198303,1.37,1.62
198304,0.71,0.85
198305,0.1,0.25
198306,0.5,0.72
