"date","hdr","hdr_anom_1900.99"
195001,0.815,-0.185
195002,1.65,0.65
195003,2.835,1.835
195004,2.91,1.91
195005,2.32,1.32
195006,1.65,0.65
195007,1.41,0.41
195008,1.405,0.405
195009,1.025,0.025
195010,2.18,1.18
195011,2.38,1.38
195012,2.215,1.215
195101,2.455,1.455
195102,3.17,2.17
195103,3.04,2.04
195104,1.58,0.58
195105,1.26,0.26
195106,-1.885,-2.885
195107,-2.545,-3.545
195108,-2.75,-3.75
195109,-2.48,-3.48
195110,-1.47,-2.47
195111,-1.51,-2.51
195112,-1.71,-2.71
195201,-1.935,-2.935
195202,-2.23,-3.23
195203,-2.21,-3.21
195204,-2.44,-3.44
195205,-2.605,-3.605
195206,-2.36,-3.36
195207,-2.35,-3.35
195208,-2.47,-3.47
195209,-3.08,-4.08
195210,-4,-5
195211,-4.67,-5.67
195212,-4.33,-5.33
195301,-2.11,-3.11
195302,-2.27,-3.27
195303,-2.285,-3.285
195304,-2.13,-3.13
195305,-1.635,-2.635
195306,-1.075,-2.075
195307,-0.955,-1.955
195308,0.175,-0.825
195309,0.285,-0.715
195310,1.24,0.24
195311,1.225,0.225
195312,1.495,0.495
195401,2.34,1.34
195402,2.495,1.495
195403,1.585,0.585
195404,1.805,0.805
195405,1.4,0.4
195406,1.955,0.955
195407,2.34,1.34
195408,3.02,2.02
195409,2.87,1.87
195410,2.175,1.175
195411,2.225,1.225
195412,1.645,0.645
195501,0.695,-0.305
195502,-0.16,-1.16
195503,-0.005,-1.005
195504,1.34,0.34
195505,1.415,0.415
195506,1.375,0.375
195507,2.285,1.285
195508,1.86,0.86
195509,1.54,0.54
195510,2.615,1.615
195511,3.23,2.23
195512,3.73,2.73
195601,4.01,3.01
195602,3.425,2.425
195603,4.015,3.015
195604,2.43,1.43
195605,1.29,0.29
195606,1.695,0.695
195607,1.11,0.11
195608,0.955,-0.045
195609,1.11,0.11
195610,2.2,1.2
195611,1.01,0.01
195612,0.945,-0.055
195701,-1.445,-2.445
195702,-0.95,-1.95
195703,1.065,0.065
195704,0.3,-0.7
195705,-0.68,-1.68
195706,-0.75,-1.75
195707,-0.595,-1.595
195708,-0.48,-1.48
195709,-1.195,-2.195
195710,-1.25,-2.25
195711,-1.83,-2.83
195712,-1.565,-2.565
195801,-1.18,-2.18
195802,-0.815,-1.815
195803,-1.6,-2.6
195804,-0.8,-1.8
195805,-1.45,-2.45
195806,-1.725,-2.725
195807,-2.59,-3.59
195808,-3.12,-4.12
195809,-3.05,-4.05
195810,-2.75,-3.75
195811,-1.67,-2.67
195812,-1.525,-2.525
195901,-0.715,-1.715
195902,-0.95,-1.95
195903,0.1,-0.9
195904,1.32,0.32
195905,1.435,0.435
195906,1.525,0.525
195907,1.355,0.355
195908,1.165,0.165
195909,2.275,1.275
195910,2.305,1.305
195911,2.415,1.415
195912,1.915,0.915
196001,1.495,0.495
196002,1.37,0.37
196003,1.32,0.32
196004,1.67,0.67
196005,2.63,1.63
196006,2.035,1.035
196007,1.215,0.215
196008,1.745,0.745
196009,1.175,0.175
196010,1.155,0.155
196011,1.72,0.72
196012,-1.05,-2.05
196101,-0.78,-1.78
196102,1.855,0.855
196103,2.115,1.115
196104,2.19,1.19
196105,2.415,1.415
196106,1.585,0.585
196107,1.14,0.14
196108,0.7,-0.3
196109,-1.36,-2.36
196110,-1.085,-2.085
196111,-1.335,-2.335
196112,-1.18,-2.18
196201,-1.73,-2.73
196202,-2.42,-3.42
196203,-2.215,-3.215
196204,-1.835,-2.835
196205,-1.305,-2.305
196206,-1.345,-2.345
196207,-1.325,-2.325
196208,0.91,-0.09
196209,1.02,0.02
196210,0.85,-0.15
196211,1.555,0.555
196212,0.74,-0.26
196301,-1.56,-2.56
196302,-1.44,-2.44
196303,-1.535,-2.535
196304,-1.005,-2.005
196305,-1.255,-2.255
196306,-1.065,-2.065
196307,0.095,-0.905
196308,0.93,-0.07
196309,0.545,-0.455
196310,0.78,-0.22
196311,1.185,0.185
196312,0.63,-0.37
196401,1.6,0.6
196402,-0.165,-1.165
196403,0.54,-0.46
196404,0.58,-0.42
196405,0.45,-0.55
196406,1.04,0.04
196407,1.45,0.45
196408,1.945,0.945
196409,2.255,1.255
196410,1.425,0.425
196411,1.565,0.565
196412,1.6,0.6
196501,1.975,0.975
196502,2.045,1.045
196503,-0.4,-1.4
196504,-0.255,-1.255
196505,-0.145,-1.145
196506,-1.55,-2.55
196507,-1.865,-2.865
196508,-1.32,-2.32
196509,-1.79,-2.79
196510,-2.11,-3.11
196511,-2.115,-3.115
196512,-2.045,-3.045
196601,-1.78,-2.78
196602,-2.155,-3.155
196603,-1.52,-2.52
196604,-1.81,-2.81
196605,-1.76,-2.76
196606,-1.53,-2.53
196607,-0.09,-1.09
196608,-0.215,-1.215
196609,-0.36,-1.36
196610,-0.29,-1.29
196611,-0.4,-1.4
196612,0.725,-0.275
196701,1.675,0.675
196702,1.22,0.22
196703,1.41,0.41
196704,1.295,0.295
196705,0.075,-0.925
196706,-1.01,-2.01
196707,-1.615,-2.615
196708,-2.45,-3.45
196709,-2.77,-3.77
196710,-1,-2
196711,-1.735,-2.735
196712,-1.55,-2.55
196801,-1.165,-2.165
196802,-0.85,-1.85
196803,0.2,-0.8
196804,0.15,-0.85
196805,0.745,-0.255
196806,1.27,0.27
196807,1.24,0.24
196808,2.675,1.675
196809,2.905,1.905
196810,3.22,2.22
196811,2.86,1.86
196812,3.125,2.125
196901,3.07,2.07
196902,2.205,1.205
196903,1.2,0.2
196904,1.525,0.525
196905,1.28,0.28
196906,0.92,-0.08
196907,-0.215,-1.215
196908,-1.35,-2.35
196909,1.245,0.245
196910,0.79,-0.21
196911,-1.135,-2.135
196912,-1.185,-2.185
197001,0.595,-0.405
197002,-0.68,-1.68
197003,-1.245,-2.245
197004,0.915,-0.085
197005,-0.3,-1.3
197006,-0.92,-1.92
197007,-1.23,-2.23
197008,-1.765,-2.765
197009,-1.16,-2.16
197010,-1.185,-2.185
197011,-1.26,-2.26
197012,0.665,-0.335
197101,1.62,0.62
197102,1.44,0.44
197103,2.56,1.56
197104,2.075,1.075
197105,1.69,0.69
197106,2.035,1.035
197107,2.01,1.01
197108,1.55,0.55
197109,2.045,1.045
197110,1.815,0.815
197111,1.66,0.66
197112,1.935,0.935
197201,2.14,1.14
197202,2.87,1.87
197203,3.56,2.56
197204,4.46,3.46
197205,3.38,2.38
197206,3.04,2.04
197207,3.195,2.195
197208,2.855,1.855
197209,3.59,2.59
197210,2.415,1.415
197211,1.515,0.515
197212,2.365,1.365
197301,1.735,0.735
197302,-0.44,-1.44
197303,-1.925,-2.925
197304,-2.345,-3.345
197305,-2.105,-3.105
197306,-1.53,-2.53
197307,-1.685,-2.685
197308,-1.83,-2.83
197309,-1.66,-2.66
197310,-1.445,-2.445
197311,0.93,-0.07
197312,1.47,0.47
197401,2.36,1.36
197402,2.44,1.44
197403,2.99,1.99
197404,3.11,2.11
197405,3.355,2.355
197406,2.925,1.925
197407,3.48,2.48
197408,2.81,1.81
197409,1.66,0.66
197410,-0.71,-1.71
197411,-0.43,-1.43
197412,-0.075,-1.075
197501,0.395,-0.605
197502,1.335,0.335
197503,1.215,0.215
197504,0.9,-0.1
197505,0.81,-0.19
197506,0.62,-0.38
197507,0.165,-0.835
197508,1.45,0.45
197509,-0.87,-1.87
197510,1.455,0.455
197511,1.68,0.68
197512,2.325,1.325
197601,2.29,1.29
197602,2.405,1.405
197603,2.215,1.215
197604,1.955,0.955
197605,1.88,0.88
197606,1.64,0.64
197607,1.75,0.75
197608,2.725,1.725
197609,2.19,1.19
197610,1.305,0.305
197611,-2.095,-3.095
197612,-3.185,-4.185
197701,-3.905,-4.905
197702,-4.34,-5.34
197703,-3.415,-4.415
197704,-3.845,-4.845
197705,-2.425,-3.425
197706,-2.635,-3.635
197707,-2.43,-3.43
197708,-1.09,-2.09
197709,2,1
197710,1.575,0.575
197711,1.59,0.59
197712,1.96,0.96
197801,1.365,0.365
197802,0.695,-0.305
197803,-1.415,-2.415
197804,-0.97,-1.97
197805,0.015,-0.985
197806,-0.305,-1.305
197807,-0.07,-1.07
197808,0.995,-0.005
197809,2.325,1.325
197810,1.275,0.275
197811,0.0549999999999999,-0.945
197812,-1.835,-2.835
197901,-2.62,-3.62
197902,-1.435,-2.435
197903,-2.18,-3.18
197904,-1.985,-2.985
197905,-2.105,-3.105
197906,-2.365,-3.365
197907,-2.16,-3.16
197908,-2.04,-3.04
197909,-1.85,-2.85
197910,-1.655,-2.655
197911,-2.62,-3.62
197912,-1.245,-2.245
198001,-1.475,-2.475
198002,-1.08,-2.08
198003,-1.04,-2.04
198004,-0.81,-1.81
198005,-0.98,-1.98
198006,0.25,-0.75
198007,0.32,-0.68
198008,0.865,-0.135
198009,0.895,-0.105
198010,-1.115,-2.115
198011,0.62,-0.38
198012,0.885,-0.115
198101,-1.095,-2.095
198102,-0.62,-1.62
198103,-1.185,-2.185
198104,0.855,-0.145
198105,0.96,-0.04
198106,1.9,0.9
198107,2.095,1.095
198108,1.665,0.665
198109,1.93,0.93
198110,2.54,1.54
198111,1.945,0.945
198112,2.16,1.16
198201,2.415,1.415
198202,3.24,2.24
198203,2.77,1.77
198204,2.92,1.92
198205,1.965,0.965
198206,1.16,0.16
198207,1.105,0.105
198208,0.875,-0.125
198209,0.72,-0.28
198210,0.81,-0.19
198211,-0.16,-1.16
198212,0.615,-0.385
198301,0.945,-0.055
198302,1.1,0.1
198303,1.24,0.24
198304,0.055,-0.945
198305,-0.4,-1.4
198306,0.52,-0.48
198307,1.935,0.935
198308,2.29,1.29
198309,2.49,1.49
198310,1.63,0.63
198311,2.63,1.63
198312,1.805,0.805
198401,1.665,0.665
198402,1.345,0.345
198403,1.255,0.255
198404,1.42,0.42
198405,2.825,1.825
198406,3.285,2.285
198407,2.68,1.68
198408,2.155,1.155
198409,2.01,1.01
198410,1.95,0.95
198411,2.54,1.54
198412,1.915,0.915
198501,-1.79,-2.79
198502,-2.005,-3.005
198503,-2.2,-3.2
198504,-2.04,-3.04
198505,-2.05,-3.05
198506,-1.63,-2.63
198507,-1.925,-2.925
198508,-1.99,-2.99
198509,-1.585,-2.585
198510,1.455,0.455
198511,1.065,0.065
198512,-1.87,-2.87
198601,-1.305,-2.305
198602,-0.945,-1.945
