"date","pc","pc_anom_1900.99"
195001,24.511,21.971
195002,25.1079,22.5679
195003,25.9969,23.4569
195004,12.192,9.652
195005,4.5974,2.0574
195006,3.6195,1.0795
195007,3.6068,1.0668
195008,5.2451,2.7051
195009,5.715,3.175
195010,25.6921,23.1521
195011,26.4414,23.9014
195012,25.4381,22.8981
195101,27.1526,24.6126
195102,25.5397,22.9997
195103,15.8115,13.2715
195104,2.8194,0.2794
195105,7.112,4.572
195106,1.4351,-1.1049
195107,0.7239,-1.8161
195108,2.5781,0.0381
195109,8.2931,5.7531
195110,22.1107,19.5707
195111,19.5961,17.0561
195112,19.3294,16.7894
195201,15.6464,13.1064
195202,11.6459,9.1059
195203,13.1445,10.6045
195204,7.1374,4.5974
195205,4.6482,2.1082
195206,5.8674,3.3274
195207,1.8034,-0.7366
195208,2.3749,-0.1651
195209,1.9177,-0.6223
195210,4.445,1.905
195211,4.6355,2.0955
195212,20.8153,18.2753
195301,46.3296,43.7896
195302,13.1318,10.5918
195303,13.1953,10.6553
195304,9.3472,6.8072
195305,9.0678,6.5278
195306,8.0518,5.5118
195307,1.9177,-0.6223
195308,5.0546,2.5146
195309,8.1534,5.6134
195310,15.0114,12.4714
195311,23.4061,20.8661
195312,28.829,26.289
195401,33.5407,31.0007
195402,20.8534,18.3134
195403,9.0297,6.4897
195404,12.1158,9.5758
195405,5.8674,3.3274
195406,10.287,7.747
195407,4.9022,2.3622
195408,7.3279,4.7879
195409,6.858,4.318
195410,9.0297,6.4897
195411,25.8191,23.2791
195412,20.0279,17.4879
195501,11.3157,8.7757
195502,16.1417,13.6017
195503,15.3924,12.8524
195504,15.2781,12.7381
195505,7.493,4.953
195506,6.3373,3.7973
195507,7.5057,4.9657
195508,0.4826,-2.0574
195509,5.842,3.302
195510,25.2984,22.7584
195511,31.0515,28.5115
195512,31.5468,29.0068
195601,29.5402,27.0002
195602,13.7414,11.2014
195603,22.8473,20.3073
195604,2.6162,0.0762
195605,3.3528,0.8128
195606,11.1252,8.5852
195607,1.1557,-1.3843
195608,4.2418,1.7018
195609,9.0932,6.5532
195610,24.6126,22.0726
195611,8.9789,6.4389
195612,24.0919,21.5519
195701,11.0871,8.5471
195702,19.2786,16.7386
195703,21.6027,19.0627
195704,8.9281,6.3881
195705,5.4102,2.8702
195706,6.0198,3.4798
195707,3.7592,1.2192
195708,3.9751,1.4351
195709,2.6416,0.1016
195710,12.8651,10.3251
195711,12.6746,10.1346
195712,25.6286,23.0886
195801,24.892,22.352
195802,19.9771,17.4371
195803,7.9756,5.4356
195804,14.8844,12.3444
195805,4.2037,1.6637
195806,5.9436,3.4036
195807,0.1651,-2.3749
195808,1.7526,-0.7874
195809,6.6929,4.1529
195810,15.3797,12.8397
195811,31.5468,29.0068
195812,24.0411,21.5011
195901,29.6291,27.0891
195902,13.1191,10.5791
195903,17.5133,14.9733
195904,13.3858,10.8458
195905,8.5598,6.0198
195906,7.8105,5.2705
195907,2.3368,-0.2032
195908,3.2766,0.7366
195909,15.8369,13.2969
195910,14.8209,12.2809
195911,25.3746,22.8346
195912,20.3835,17.8435
196001,17.4371,14.8971
196002,17.0815,14.5415
196003,16.0909,13.5509
196004,13.843,11.303
196005,14.2494,11.7094
196006,3.7211,1.1811
196007,0.0508,-2.4892
196008,8.5725,6.0325
196009,4.4831,1.9431
196010,15.8623,13.3223
196011,30.0863,27.5463
196012,12.3063,9.7663
196101,24.1681,21.6281
196102,33.9598,31.4198
196103,19.5961,17.0561
196104,12.0015,9.4615
196105,10.1092,7.5692
196106,2.7178,0.1778
196107,2.8067,0.2667
196108,3.4036,0.8636
196109,4.5847,2.0447
196110,15.748,13.208
196111,16.7259,14.1859
196112,23.7998,21.2598
196201,12.6873,10.1473
196202,8.3185,5.7785
196203,14.3129,11.7729
196204,12.0015,9.4615
196205,8.5217,5.9817
196206,4.5593,2.0193
196207,1.9812,-0.5588
196208,8.4963,5.9563
196209,8.5725,6.0325
196210,13.0937,10.5537
196211,32.2199,29.6799
196212,16.9672,14.4272
196301,7.8994,5.3594
196302,17.5387,14.9987
196303,13.335,10.795
196304,12.4841,9.9441
196305,5.4229,2.8829
196306,6.5532,4.0132
196307,6.0198,3.4798
196308,4.6736,2.1336
196309,5.4864,2.9464
196310,17.2085,14.6685
196311,27.5463,25.0063
196312,18.5801,16.0401
196401,35.6108,33.0708
196402,7.9756,5.4356
196403,17.653,15.113
196404,10.033,7.493
196405,6.1214,3.5814
196406,9.8552,7.3152
196407,4.5212,1.9812
196408,6.0071,3.4671
196409,9.3472,6.8072
196410,7.0739,4.5339
196411,24.6507,22.1107
196412,25.4,22.86
196501,28.3464,25.8064
196502,19.0627,16.5227
196503,2.921,0.381
196504,11.176,8.636
196505,7.0485,4.5085
196506,1.5875,-0.9525
196507,1.8796,-0.6604
196508,7.0739,4.5339
196509,2.8067,0.2667
196510,10.8966,8.3566
196511,18.7579,16.2179
196512,21.4503,18.9103
196601,22.5298,19.9898
196602,11.2268,8.6868
196603,18.8849,16.3449
196604,7.1501,4.6101
196605,6.1849,3.6449
196606,6.2484,3.7084
196607,6.1595,3.6195
196608,1.7653,-0.7747
196609,6.1341,3.5941
196610,14.3256,11.7856
196611,20.1549,17.6149
196612,30.4546,27.9146
196701,35.1028,32.5628
196702,14.224,11.684
196703,17.5387,14.9987
196704,9.1948,6.6548
196705,3.6195,1.0795
196706,4.5085,1.9685
196707,0.9271,-1.6129
196708,0.2794,-2.2606
196709,5.0546,2.5146
196710,29.5148,26.9748
196711,11.43,8.89
196712,23.2664,20.7264
196801,24.0284,21.4884
196802,19.7104,17.1704
196803,18.2753,15.7353
196804,9.4996,6.9596
196805,7.4803,4.9403
196806,10.1854,7.6454
196807,2.7813,0.2413
196808,12.4714,9.9314
196809,9.2964,6.7564
196810,17.8435,15.3035
196811,21.3487,18.8087
196812,28.2448,25.7048
196901,23.9522,21.4122
196902,10.6553,8.1153
196903,8.9789,6.4389
196904,12.8524,10.3124
196905,7.5438,5.0038
196906,5.7023,3.1623
196907,2.0574,-0.4826
196908,1.7653,-0.7747
196909,16.3449,13.8049
196910,8.9027,6.3627
196911,11.6586,9.1186
196912,22.098,19.558
197001,29.5529,27.0129
197002,10.922,8.382
197003,10.1092,7.5692
197004,15.6083,13.0683
197005,5.0419,2.5019
197006,2.4511,-0.0889
197007,2.5146,-0.0254
197008,0.9906,-1.5494
197009,10.3886,7.8486
197010,12.2555,9.7155
197011,19.685,17.145
197012,29.972,27.432
197101,34.8107,32.2707
197102,16.2941,13.7541
197103,25.0444,22.5044
197104,8.2423,5.7023
197105,6.2738,3.7338
197106,8.8011,6.2611
197107,3.048,0.508
197108,2.2479,-0.2921
197109,11.5697,9.0297
197110,12.3952,9.8552
197111,22.1615,19.6215
197112,27.5971,25.0571
197201,26.5557,24.0157
197202,25.7937,23.2537
197203,23.9395,21.3995
197204,17.526,14.986
197205,3.937,1.397
197206,6.8707,4.3307
197207,5.9436,3.4036
197208,3.4925,0.9525
197209,13.8938,11.3538
197210,4.0386,1.4986
197211,14.224,11.684
197212,33.0073,30.4673
197301,16.0401,13.5001
197302,6.9596,4.4196
197303,10.8966,8.3566
197304,5.9182,3.3782
197305,7.6581,5.1181
197306,8.3693,5.8293
197307,0.6731,-1.8669
197308,1.8034,-0.7366
197309,7.7724,5.2324
197310,14.6685,12.1285
197311,32.0929,29.5529
197312,30.7594,28.2194
197401,34.8107,32.2707
197402,19.8374,17.2974
197403,22.1107,19.5707
197404,13.0556,10.5156
197405,10.16,7.62
197406,5.4864,2.9464
197407,7.112,4.572
197408,0.7493,-1.7907
197409,2.0193,-0.5207
197410,5.2705,2.7305
197411,22.352,19.812
197412,27.5463,25.0063
197501,28.0543,25.5143
197502,18.5547,16.0147
197503,14.8082,12.2682
197504,7.5057,4.9657
197505,7.1501,4.6101
197506,5.0419,2.5019
197507,1.5748,-0.9652
197508,11.4173,8.8773
197509,0.4826,-2.0574
197510,27.3177,24.7777
197511,25.6286,23.0886
197512,32.5628,30.0228
197601,24.8539,22.3139
197602,19.8501,17.3101
197603,15.0876,12.5476
197604,9.6901,7.1501
197605,7.9883,5.4483
197606,5.0419,2.5019
197607,3.9624,1.4224
197608,9.7155,7.1755
197609,4.5085,1.9685
197610,7.4168,4.8768
197611,5.7277,3.1877
197612,10.5029,7.9629
197701,7.6327,5.0927
197702,9.5758,7.0358
197703,19.2278,16.6878
197704,5.4737,2.9337
197705,13.2969,10.7569
197706,3.1242,0.5842
197707,2.9591,0.4191
197708,10.8712,8.3312
197709,11.7348,9.1948
197710,10.1219,7.5819
197711,24.1808,21.6408
197712,30.0863,27.5463
197801,16.4592,13.9192
197802,11.8872,9.3472
197803,10.7188,8.1788
197804,12.2555,9.7155
197805,9.5885,7.0485
197806,4.5847,2.0447
197807,4.5593,2.0193
197808,7.2771,4.7371
197809,16.5735,14.0335
197810,3.8608,1.3208
197811,17.9197,15.3797
197812,12.3825,9.8425
197901,7.6962,5.1562
197902,25.3365,22.7965
197903,8.763,6.223
197904,10.033,7.493
197905,5.715,3.175
197906,3.1369,0.5969
197907,4.191,1.651
197908,3.9497,1.4097
197909,8.0264,5.4864
197910,15.2273,12.6873
197911,7.6962,5.1562
197912,35.3314,32.7914
198001,16.129,13.589
198002,19.1008,16.5608
198003,14.605,12.065
198004,11.7221,9.1821
198005,5.5372,2.9972
198006,8.6487,6.1087
198007,2.5781,0.0381
198008,3.9497,1.4097
198009,8.0264,5.4864
198010,3.937,1.397
198011,28.321,25.781
198012,27.7749,25.2349
198101,7.9502,5.4102
198102,20.5867,18.0467
198103,10.922,8.382
198104,16.2306,13.6906
198105,8.4836,5.9436
198106,12.7254,10.1854
198107,3.7465,1.2065
198108,1.4097,-1.1303
198109,10.668,8.128
198110,19.9009,17.3609
198111,17.5006,14.9606
198112,28.0289,25.4889
198201,27.4828,24.9428
198202,26.7589,24.2189
198203,13.8938,11.3538
198204,12.4587,9.9187
198205,2.9464,0.4064
198206,3.7211,1.1811
198207,5.1054,2.5654
198208,3.81,1.27
198209,7.5057,4.9657
198210,16.1798,13.6398
198211,17.4879,14.9479
198212,26.9494,24.4094
198301,27.4447,24.9047
198302,19.9898,17.4498
198303,18.8595,16.3195
198304,6.6421,4.1021
198305,6.1468,3.6068
198306,9.5885,7.0485
198307,10.3632,7.8232
198308,4.9657,2.4257
198309,8.5852,6.0452
198310,6.5532,4.0132
198311,36.957,34.417
198312,16.3957,13.8557
198401,22.6187,20.0787
198402,15.6337,13.0937
198403,16.5862,14.0462
198404,11.9761,9.4361
198405,16.7259,14.1859
198406,10.6934,8.1534
198407,0.2921,-2.2479
198408,2.2098,-0.3302
198409,7.8867,5.3467
198410,14.9733,12.4333
198411,31.3817,28.8417
198412,18.4912,15.9512
198501,2.0828,-0.4572
198502,12.0777,9.5377
198503,11.5189,8.9789
198504,9.906,7.366
198505,5.8801,3.3401
198506,7.7089,5.1689
198507,0.5715,-1.9685
198508,3.2766,0.7366
198509,8.763,6.223
198510,25.5397,22.9997
198511,16.3576,13.8176
198512,5.3467,2.8067
198601,26.543,24.003
198602,19.1008,16.5608
198603,11.6205,9.0805
198604,10.5791,8.0391
198605,10.4648,7.9248
198606,3.5179,0.9779
198607,5.1435,2.6035
198608,0.4826,-2.0574
198609,9.6393,7.0993
198610,10.541,8.001
198611,30.7594,28.2194
198612,14.3637,11.8237
198701,19.7739,17.2339
198702,11.4808,8.9408
198703,18.6309,16.0909
198704,9.9568,7.4168
198705,9.5377,6.9977
198706,1.8923,-0.6477
198707,3.302,0.762
198708,1.6891,-0.8509
198709,2.3114,-0.2286
198710,1.0668,-1.4732
198711,12.1412,9.6012
198712,25.4889,22.9489
198801,15.2527,12.7127
198802,8.5725,6.0325
198803,20.6629,18.1229
198804,14.6431,12.1031
198805,12.1666,9.6266
198806,5.9944,3.4544
198807,3.3528,0.8128
198808,1.6764,-0.8636
198809,7.9375,5.3975
198810,10.1219,7.5819
198811,30.9372,28.3972
198812,15.6718,13.1318
198901,19.2151,16.6751
198902,9.9187,7.3787
198903,21.7678,19.2278
198904,8.7757,6.2357
198905,8.5217,5.9817
198906,4.1021,1.5621
198907,2.8956,0.3556
198908,4.4196,1.8796
198909,1.5113,-1.0287
198910,11.2649,8.7249
198911,25.5016,22.9616
198912,14.986,12.446
199001,33.5534,31.0134
199002,22.2758,19.7358
199003,11.2268,8.6868
199004,10.7442,8.2042
199005,8.2169,5.6769
199006,10.7315,8.1915
199007,2.2098,-0.3302
199008,5.3213,2.7813
199009,1.0541,-1.4859
199010,23.2029,20.6629
199011,38.4429,35.9029
199012,18.9357,16.3957
199101,16.4211,13.8811
199102,19.8247,17.2847
199103,14.8717,12.3317
199104,19.3548,16.8148
199105,7.874,5.334
199106,6.2103,3.6703
199107,1.8796,-0.6604
199108,7.239,4.699
199109,1.0033,-1.5367
199110,6.1468,3.6068
199111,26.1747,23.6347
199112,15.9512,13.4112
199201,26.3271,23.7871
199202,12.7762,10.2362
199203,4.4323,1.8923
199204,15.6845,13.1445
199205,2.1209,-0.4191
199206,5.3975,2.8575
199207,4.1656,1.6256
199208,2.921,0.381
199209,8.5344,5.9944
199210,8.2804,5.7404
199211,22.3266,19.7866
199212,16.7894,14.2494
199301,13.4239,10.8839
199302,1.4351,-1.1049
199303,14.8463,12.3063
