"date","pc","pc_anom_1900-99"
195001,31.8262,29.2862
195002,32.2326,29.6926
195003,32.4104,29.8704
195004,16.129,13.589
195005,5.6388,3.0988
195006,4.699,2.159
195007,4.2926,1.7526
195008,5.9944,3.4544
195009,7.1882,4.6482
195010,32.512,29.972
195011,33.782,31.242
195012,32.512,29.972
195101,34.798,32.258
195102,31.6738,29.1338
195103,20.6756,18.1356
195104,3.5306,0.9906
195105,8.7376,6.1976
195106,1.905,-0.635
195107,0.8382,-1.7018
195108,2.8956,0.3556
195109,10.4648,7.9248
195110,28.7528,26.2128
195111,25.781,23.241
195112,25.2984,22.7584
195201,19.9898,17.4498
195202,14.986,12.446
195203,16.9418,14.4018
195204,8.7884,6.2484
195205,5.588,3.048
195206,7.0612,4.5212
195207,1.8542,-0.6858
195208,3.048,0.508
195209,2.2352,-0.3048
195210,5.207,2.667
195211,5.8674,3.3274
195212,27.7368,25.1968
195301,60.8838,58.3438
195302,17.3736,14.8336
195303,16.9672,14.4272
195304,11.6332,9.0932
195305,11.4808,8.9408
195306,9.6774,7.1374
195307,2.0828,-0.4572
195308,6.4262,3.8862
195309,9.8044,7.2644
195310,17.6784,15.1384
195311,28.448,25.908
195312,38.5826,36.0426
195401,43.053,40.513
195402,27.2288,24.6888
195403,11.7602,9.2202
195404,15.6972,13.1572
195405,6.9088,4.3688
195406,13.0048,10.4648
195407,5.5626,3.0226
195408,8.382,5.842
195409,7.8486,5.3086
195410,12.4968,9.9568
195411,31.0134,28.4734
195412,25.5524,23.0124
195501,14.1986,11.6586
195502,20.574,18.034
195503,21.4122,18.8722
195504,20.2438,17.7038
195505,8.6868,6.1468
195506,7.0358,4.4958
195507,8.636,6.096
195508,0.5588,-1.9812
195509,7.7978,5.2578
195510,33.4772,30.9372
195511,39.7002,37.1602
195512,39.3954,36.8554
195601,37.1348,34.5948
195602,18.415,15.875
195603,30.6578,28.1178
195604,3.556,1.016
195605,4.2672,1.7272
195606,12.9032,10.3632
195607,1.3716,-1.1684
195608,5.5118,2.9718
195609,10.7188,8.1788
195610,30.4292,27.8892
195611,11.4554,8.9154
195612,31.0642,28.5242
195701,13.7414,11.2014
195702,24.511,21.971
195703,27.0764,24.5364
195704,10.9728,8.4328
195705,6.8326,4.2926
195706,7.3152,4.7752
195707,4.0132,1.4732
195708,4.5974,2.0574
195709,2.9464,0.4064
195710,15.875,13.335
195711,16.1544,13.6144
195712,34.4424,31.9024
195801,31.0388,28.4988
195802,24.4856,21.9456
195803,10.3124,7.7724
195804,19.6088,17.0688
195805,4.6736,2.1336
195806,8.0772,5.5372
195807,0.3048,-2.2352
195808,2.1082,-0.4318
195809,8.6614,6.1214
195810,18.3134,15.7734
195811,40.9194,38.3794
195812,30.4038,27.8638
195901,37.1602,34.6202
195902,16.002,13.462
195903,23.1394,20.5994
195904,17.2212,14.6812
195905,10.5156,7.9756
195906,9.8806,7.3406
195907,2.8956,0.3556
195908,3.81,1.27
195909,20.2184,17.6784
195910,19.6088,17.0688
195911,31.5468,29.0068
195912,24.4094,21.8694
196001,20.2184,17.6784
196002,22.6314,20.0914
196003,21.2344,18.6944
196004,18.2118,15.6718
196005,18.161,15.621
196006,4.6482,2.1082
196007,0.0762,-2.4638
196008,9.9314,7.3914
196009,5.4102,2.8702
196010,19.8628,17.3228
196011,38.0492,35.5092
196012,15.494,12.954
196101,30.353,27.813
196102,43.5102,40.9702
196103,25.4254,22.8854
196104,15.7226,13.1826
196105,11.7602,9.2202
196106,3.2512,0.7112
196107,2.9972,0.4572
196108,4.0894,1.5494
196109,6.223,3.683
196110,20.0406,17.5006
196111,21.0058,18.4658
196112,30.8864,28.3464
196201,16.4084,13.8684
196202,10.6172,8.0772
196203,18.4404,15.9004
196204,16.1798,13.6398
196205,10.5918,8.0518
196206,5.5372,2.9972
196207,2.1336,-0.4064
196208,9.779,7.239
196209,10.4648,7.9248
196210,16.0274,13.4874
196211,41.1734,38.6334
196212,21.1582,18.6182
196301,9.9568,7.4168
196302,22.5552,20.0152
196303,17.8562,15.3162
196304,15.9004,13.3604
196305,7.3152,4.7752
196306,7.747,5.207
196307,7.2136,4.6736
196308,5.6388,3.0988
196309,7.1374,4.5974
196310,21.3868,18.8468
196311,33.5788,31.0388
196312,21.7678,19.2278
196401,46.5582,44.0182
196402,10.287,7.747
196403,23.241,20.701
196404,12.827,10.287
196405,7.5184,4.9784
196406,10.7442,8.2042
196407,5.3086,2.7686
196408,7.1882,4.6482
196409,10.6934,8.1534
196410,9.4234,6.8834
196411,30.5054,27.9654
196412,34.1376,31.5976
196501,36.2712,33.7312
196502,23.5712,21.0312
196503,3.7338,1.1938
196504,13.3096,10.7696
196505,8.9916,6.4516
196506,1.8796,-0.6604
196507,1.9558,-0.5842
196508,7.6708,5.1308
196509,3.2766,0.7366
196510,13.3858,10.8458
196511,23.6982,21.1582
196512,26.162,23.622
196601,29.5402,27.0002
196602,14.5034,11.9634
196603,24.3586,21.8186
196604,8.509,5.969
196605,6.9342,4.3942
196606,7.9502,5.4102
196607,6.6548,4.1148
196608,2.1336,-0.4064
196609,6.7564,4.2164
196610,18.2118,15.6718
196611,24.638,22.098
196612,38.227,35.687
196701,44.704,42.164
196702,18.5674,16.0274
196703,23.2918,20.7518
196704,11.0744,8.5344
196705,4.3688,1.8288
196706,5.207,2.667
196707,0.9906,-1.5494
196708,0.3556,-2.1844
196709,5.8166,3.2766
196710,37.5412,35.0012
196711,14.986,12.446
196712,28.8798,26.3398
196801,29.8196,27.2796
196802,25.8826,23.3426
196803,22.606,20.066
196804,12.319,9.779
196805,9.3472,6.8072
196806,12.7254,10.1854
196807,3.1242,0.5842
196808,14.605,12.065
196809,11.4046,8.8646
196810,22.6568,20.1168
196811,27.305,24.765
196812,34.9504,32.4104
196901,31.0896,28.5496
196902,13.4112,10.8712
196903,11.5062,8.9662
196904,15.3162,12.7762
196905,9.1948,6.6548
196906,7.366,4.826
196907,2.2352,-0.3048
196908,2.032,-0.508
196909,18.6436,16.1036
196910,12.065,9.525
196911,14.7066,12.1666
196912,27.5336,24.9936
197001,38.8366,36.2966
197002,14.5796,12.0396
197003,12.9794,10.4394
197004,20.0152,17.4752
197005,6.1722,3.6322
197006,2.7686,0.2286
197007,2.7178,0.1778
197008,0.9398,-1.6002
197009,12.8524,10.3124
197010,15.367,12.827
197011,25.2476,22.7076
197012,38.4048,35.8648
197101,45.2628,42.7228
197102,20.6502,18.1102
197103,32.0802,29.5402
197104,10.3378,7.7978
197105,7.8994,5.3594
197106,10.1092,7.5692
197107,3.5052,0.9652
197108,2.7432,0.2032
197109,13.7668,11.2268
197110,15.5956,13.0556
197111,27.9908,25.4508
197112,35.5092,32.9692
197201,35.7886,33.2486
197202,33.3756,30.8356
197203,30.2768,27.7368
197204,21.6154,19.0754
197205,5.08,2.54
197206,7.5946,5.0546
197207,6.6802,4.1402
197208,3.5052,0.9652
197209,16.9672,14.4272
197210,4.953,2.413
197211,18.2626,15.7226
197212,40.9956,38.4556
197301,20.1676,17.6276
197302,8.5852,6.0452
197303,14.1732,11.6332
197304,7.6454,5.1054
197305,9.4996,6.9596
197306,10.0838,7.5438
197307,0.6604,-1.8796
197308,1.8796,-0.6604
197309,10.1854,7.6454
197310,18.5166,15.9766
197311,41.5036,38.9636
197312,39.1668,36.6268
197401,45.5422,43.0022
197402,25.6032,23.0632
197403,28.5242,25.9842
197404,17.1704,14.6304
197405,12.8524,10.3124
197406,6.985,4.445
197407,8.4328,5.8928
197408,0.9906,-1.5494
197409,2.5146,-0.0253999999999999
197410,6.1722,3.6322
197411,28.702,26.162
197412,35.7378,33.1978
197501,37.6428,35.1028
197502,22.9108,20.3708
197503,18.8722,16.3322
197504,9.0932,6.5532
197505,8.8646,6.3246
197506,6.2992,3.7592
197507,1.7526,-0.7874
197508,12.8778,10.3378
197509,0.5588,-1.9812
197510,33.8836,31.3436
197511,32.131,29.591
197512,42.4688,39.9288
197601,32.4612,29.9212
197602,25.6794,23.1394
197603,19.7612,17.2212
197604,12.1666,9.6266
197605,9.6012,7.0612
197606,5.969,3.429
197607,4.8006,2.2606
197608,11.176,8.636
197609,5.1562,2.6162
197610,8.9662,6.4262
197611,7.493,4.953
197612,12.9032,10.3632
197701,8.9916,6.4516
197702,12.9794,10.4394
197703,25.273,22.733
197704,6.8326,4.2926
197705,15.6972,13.1572
197706,3.9624,1.4224
197707,3.2258,0.6858
197708,12.6238,10.0838
197709,14.605,12.065
197710,12.6492,10.1092
197711,32.6644,30.1244
197712,40.8686,38.3286
197801,19.9136,17.3736
197802,14.4526,11.9126
197803,13.1318,10.5918
197804,15.113,12.573
197805,12.2174,9.6774
197806,5.7658,3.2258
197807,5.0038,2.4638
197808,8.6614,6.1214
197809,18.8214,16.2814
197810,4.699,2.159
197811,21.1582,18.6182
197812,16.6116,14.0716
197901,9.3726,6.8326
197902,32.9184,30.3784
197903,11.7856,9.2456
197904,12.7762,10.2362
197905,7.4422,4.9022
197906,3.7084,1.1684
197907,4.9276,2.3876
197908,4.9022,2.3622
197909,9.7536,7.2136
197910,19.304,16.764
197911,9.779,7.239
197912,42.926,40.386
198001,21.0312,18.4912
198002,23.622,21.082
198003,18.6182,16.0782
198004,14.224,11.684
198005,6.2738,3.7338
198006,9.398,6.858
198007,2.8194,0.2794
198008,4.4196,1.8796
198009,9.9568,7.4168
198010,4.8006,2.2606
198011,35.306,32.766
198012,35.7124,33.1724
198101,9.0424,6.5024
198102,26.5176,23.9776
198103,13.462,10.922
198104,21.2852,18.7452
198105,10.2108,7.6708
198106,16.129,13.589
198107,3.8862,1.3462
198108,1.524,-1.016
198109,12.7508,10.2108
198110,23.5712,21.0312
198111,21.463,18.923
198112,35.7632,33.2232
198201,35.6362,33.0962
198202,33.7058,31.1658
198203,17.4498,14.9098
198204,16.1798,13.6398
198205,3.6322,1.0922
198206,4.2926,1.7526
198207,5.7912,3.2512
198208,4.5466,2.0066
198209,9.5504,7.0104
198210,20.4978,17.9578
198211,21.59,19.05
198212,33.655,31.115
198301,34.7218,32.1818
198302,25.908,23.368
198303,25.019,22.479
198304,8.3312,5.7912
198305,7.1882,4.6482
198306,11.7094,9.1694
198307,12.9032,10.3632
198308,5.461,2.921
198309,9.7282,7.1882
198310,8.128,5.588
198311,46.8884,44.3484
198312,20.193,17.653
198401,28.9306,26.3906
198402,19.5072,16.9672
198403,20.7518,18.2118
198404,15.4686,12.9286
198405,20.7772,18.2372
198406,12.5984,10.0584
198407,0.2286,-2.3114
198408,2.286,-0.254
198409,9.398,6.858
198410,19.5834,17.0434
198411,39.497,36.957
198412,22.7076,20.1676
198501,2.413,-0.127
198502,15.7734,13.2334
198503,15.0622,12.5222
198504,12.7762,10.2362
198505,6.7056,4.1656
198506,9.3218,6.7818
198507,0.762,-1.778
198508,3.81,1.27
198509,10.9982,8.4582
198510,30.6832,28.1432
198511,21.0058,18.4658
198512,6.858,4.318
198601,32.004,29.464
198602,25.3746,22.8346
198603,15.0622,12.5222
198604,12.9286,10.3886
198605,12.5476,10.0076
198606,3.9116,1.3716
198607,5.7404,3.2004
198608,0.6096,-1.9304
198609,12.319,9.779
198610,12.3952,9.8552
198611,38.2778,35.7378
198612,18.1102,15.5702
198701,24.765,22.225
198702,15.0876,12.5476
198703,23.9776,21.4376
198704,11.8618,9.3218
198705,11.8618,9.3218
198706,2.4638,-0.0762
198707,4.0386,1.4986
198708,1.8034,-0.7366
198709,2.7178,0.1778
198710,1.1684,-1.3716
198711,15.5702,13.0302
198712,31.9024,29.3624
198801,20.0406,17.5006
198802,12.192,9.652
198803,26.8478,24.3078
198804,18.4658,15.9258
198805,14.5542,12.0142
198806,6.8834,4.3434
198807,4.2418,1.7018
198808,1.9812,-0.5588
198809,9.6012,7.0612
198810,12.065,9.525
198811,39.6494,37.1094
198812,19.3294,16.7894
198901,25.1714,22.6314
198902,11.9888,9.4488
198903,26.9494,24.4094
198904,11.2014,8.6614
198905,9.8044,7.2644
198906,4.826,2.286
198907,3.5814,1.0414
198908,5.2578,2.7178
198909,1.905,-0.635
198910,13.3858,10.8458
198911,31.5722,29.0322
198912,17.907,15.367
199001,43.5102,40.9702
199002,29.718,27.178
199003,13.843,11.303
199004,13.5128,10.9728
199005,9.9314,7.3914
199006,12.3952,9.8552
199007,2.5654,0.0253999999999999
199008,6.5532,4.0132
199009,1.2446,-1.2954
199010,29.7688,27.2288
199011,46.8376,44.2976
199012,23.9268,21.3868
199101,20.828,18.288
199102,25.1206,22.5806
199103,18.5928,16.0528
199104,24.384,21.844
199105,9.9822,7.4422
199106,7.6708,5.1308
199107,2.0574,-0.4826
199108,7.4422,4.9022
199109,1.2446,-1.2954
199110,7.7978,5.2578
199111,33.7312,31.1912
199112,21.6408,19.1008
199201,32.6644,30.1244
199202,16.1036,13.5636
199203,4.9276,2.3876
199204,19.685,17.145
199205,2.5908,0.0508000000000002
199206,5.9182,3.3782
199207,4.3688,1.8288
199208,3.2512,0.7112
199209,10.8966,8.3566
199210,10.2616,7.7216
199211,27.686,25.146
199212,21.7678,19.2278
199301,16.7894,14.2494
199302,1.8034,-0.7366
199303,18.7452,16.2052
199304,23.1902,20.6502
199305,14.5034,11.9634
199306,12.0396,9.4996
199307,8.7884,6.2484
199308,2.3622,-0.1778
199309,0.9652,-1.5748
199310,8.5344,5.9944
199311,11.3284,8.7884
199312,25.6032,23.0632
199401,19.1262,16.5862
199402,23.9522,21.4122
199403,16.3322,13.7922
199404,11.4808,8.9408
199405,6.3754,3.8354
199406,8.9662,6.4262
199407,1.8796,-0.6604
199408,1.5494,-0.9906
199409,6.858,4.318
199410,24.13,21.59
199411,32.0802,29.5402
199412,36.7792,34.2392
199501,22.7584,20.2184
199502,21.082,18.542
199503,20.701,18.161
199504,13.6652,11.1252
199505,5.7404,3.2004
199506,6.6802,4.1402
199507,5.3848,2.8448
199508,8.001,5.461
199509,7.9756,5.4356
199510,24.384,21.844
199511,52.705,50.165
199512,30.607,28.067
199601,31.6484,29.1084
199602,35.6616,33.1216
199603,9.779,7.239
199604,26.2128,23.6728
199605,15.3924,12.8524
199606,4.2164,1.6764
199607,3.6576,1.1176
199608,3.1242,0.5842
199609,10.8204,8.2804
199610,27.0002,24.4602
199611,30.861,28.321
199612,49.2506,46.7106
199701,35.6616,33.1216
199702,17.5768,15.0368
199703,38.7604,36.2204
199704,18.5928,16.0528
199705,11.6586,9.1186
199706,12.5222,9.9822
199707,6.9596,4.4196
199708,4.9022,2.3622
199709,17.2212,14.6812
199710,30.9372,28.3972
199711,20.193,17.653
199712,21.3614,18.8214
199801,35.4076,32.8676
199802,18.1864,15.6464
199803,19.2532,16.7132
199804,6.5786,4.0386
199805,12.0904,9.5504
199806,6.0706,3.5306
199807,2.032,-0.508
199808,0.5334,-2.0066
199809,2.6416,0.1016
199810,15.7226,13.1826
199811,45.3898,42.8498
199812,44.6278,42.0878
199901,36.6268,34.0868
199902,43.6118,41.0718
199903,21.971,19.431
199904,7.2136,4.6736
199905,12.0142,9.4742
199906,9.1694,6.6294
199907,4.7498,2.2098
199908,4.6736,2.1336
199909,1.6764,-0.8636
199910,16.1036,13.5636
199911,40.2082,37.6682
199912,33.1978,30.6578
200001,26.416,23.876
200002,17.7292,15.1892
200003,17.1958,14.6558
200004,10.9474,8.4074
200005,13.9446,11.4046
200006,9.3218,6.7818
200007,2.3622,-0.1778
200008,2.3368,-0.2032
200009,8.7884,6.2484
200010,14.7828,12.2428
200011,12.954,10.414
200012,14.732,12.192
200101,13.5382,10.9982
200102,9.1186,6.5786
200103,15.9004,13.3604
200104,14.6304,12.0904
200105,9.0424,6.5024
200106,11.2776,8.7376
200107,3.3782,0.8382
200108,6.9342,4.3942
200109,3.5052,0.9652
200110,21.0058,18.4658
200111,35.6616,33.1216
200112,34.6202,32.0802
200201,36.4236,33.8836
200202,19.431,16.891
200203,21.6154,19.0754
200204,15.621,13.081
200205,8.4328,5.8928
200206,7.4676,4.9276
200207,2.032,-0.508
200208,1.2954,-1.2446
200209,3.937,1.397
200210,3.6068,1.0668
200211,16.6878,14.1478
200212,29.2862,26.7462
200301,33.909,31.369
200302,11.6078,9.0678
200303,33.6296,31.0896
200304,17.0688,14.5288
200305,6.477,3.937
200306,2.3114,-0.2286
200307,0.6096,-1.9304
200308,1.016,-1.524
200309,5.7658,3.2258
200310,31.0388,28.4988
200311,29.7434,27.2034
200312,24.13,21.59
200401,29.5148,26.9748
200402,13.4366,10.8966
200403,14.6304,12.0904
200404,5.6388,3.0988
200405,12.7,10.16
200406,5.5118,2.9718
200407,1.2446,-1.2954
200408,14.9098,12.3698
200409,14.224,11.684
200410,17.3228,14.7828
200411,18.8976,16.3576
200412,21.59,19.05
200501,19.6596,17.1196
200502,5.7404,3.2004
200503,20.3962,17.8562
200504,17.2212,14.6812
200505,14.097,11.557
200506,8.8392,6.2992
200507,4.3942,1.8542
200508,2.159,-0.381
200509,7.3406,4.8006
200510,19.1008,16.5608
200511,24.765,22.225
200512,29.3116,26.7716
200601,53.0098,50.4698
200602,16.1036,13.5636
200603,14.7828,12.2428
200604,12.0142,9.4742
200605,9.779,7.239
200606,6.9342,4.3942
200607,1.6002,-0.9398
200608,0.9398,-1.6002
200609,5.6896,3.1496
200610,8.6106,6.0706
200611,63.1952,60.6552
200612,29.591,27.051
200701,24.6126,22.0726
200702,20.3454,17.8054
200703,25.273,22.733
200704,10.4902,7.9502
200705,5.715,3.175
200706,7.112,4.572
200707,4.9276,2.3876
200708,3.048,0.508
200709,6.8326,4.2926
200710,19.2024,16.6624
200711,16.637,14.097
200712,40.7924,38.2524
200801,24.5364,21.9964
200802,17.1704,14.6304
200803,20.7264,18.1864
200804,12.0396,9.4996
200805,6.858,4.318
200806,8.1788,5.6388
200807,2.1082,-0.4318
200808,9.6012,7.0612
200809,2.7432,0.2032
200810,10.9474,8.4074
200811,32.3596,29.8196
200812,24.6126,22.0726
200901,30.5054,27.9654
200902,7.5692,5.0292
200903,21.3614,18.8214
200904,13.1572,10.6172
200905,14.9606,12.4206
200906,2.8448,0.3048
200907,1.0668,-1.4732
200908,3.6576,1.1176
200909,8.2042,5.6642
200910,25.5524,23.0124
200911,40.2336,37.6936
200912,14.3002,11.7602
201001,27.0002,24.4602
201002,14.605,12.065
201003,18.5674,16.0274
201004,17.9324,15.3924
201005,18.034,15.494
201006,12.8778,10.3378
201007,1.2954,-1.2446
201008,2.286,-0.254
201009,16.1544,13.6144
201010,19.3294,16.7894
201011,26.4668,23.9268
201012,33.8074,31.2674
201101,31.1912,28.6512
201102,19.1262,16.5862
201103,33.7312,31.1912
201104,23.1648,20.6248
201105,14.5796,12.0396
201106,6.0198,3.4798
201107,4.6228,2.0828
201108,0.762,-1.778
201109,6.477,3.937
201110,14.4272,11.8872
201111,30.8356,28.2956
201112,14.3256,11.7856
201201,29.083,26.543
201202,23.114,20.574
201203,33.8074,31.2674
201204,17.3482,14.8082
201205,12.5476,10.0076
201206,13.5636,11.0236
201207,3.9116,1.3716
201208,0.2032,-2.3368
201209,0.6604,-1.8796
201210,29.3624,26.8224
201211,32.6136,30.0736
201212,36.4998,33.9598
201301,21.2852,18.7452
201302,13.4112,10.8712
201303,17.1196,14.5796
201304,20.6502,18.1102
201305,13.1572,10.6172
201306,7.5438,5.0038
201307,0.2032,-2.3368
201308,5.3594,2.8194
201309,26.5176,23.9776
201310,7.4422,4.9022
201311,18.7706,16.2306
201312,14.0208,11.4808
201401,22.2504,19.7104
201402,26.5684,24.0284
201403,37.7444,35.2044
201404,18.2372,15.6972
201405,13.081,10.541
201406,6.4008,3.8608
201407,3.683,1.143
201408,4.6228,2.0828
201409,9.1186,6.5786
201410,27.8384,25.2984
201411,27.3558,24.8158
201412,27.2034,24.6634
201501,22.9362,20.3962
201502,20.3708,17.8308
201503,18.9992,16.4592
201504,9.8044,7.2644
201505,3.8608,1.3208
201506,1.9812,-0.5588
201507,1.8288,-0.7112
201508,7.1628,4.6228
201509,7.2644,4.7244
201510,19.2278,16.6878
201511,34.7472,32.2072
201512,51.8668,49.3268
201601,29.718,27.178
201602,25.019,22.479
201603,29.8958,27.3558
201604,7.6708,5.1308
201605,5.1562,2.6162
201606,8.5598,6.0198
201607,3.7084,1.1684
201608,1.7018,-0.8382
201609,8.5852,6.0452
201610,42.037,39.497
