Washington, Climate Division 3, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1900-1999
Date,Value,Anomaly
197008,62,-0.7
197108,65.4,2.7
197208,63.9,1.2
197308,59.7,-3.0
197408,63.5,0.8
197508,60.2,-2.5
197608,60.4,-2.3
197708,66.1,3.4
197808,62.8,0.1
197908,63.2,0.5
198008,61.1,-1.6
198108,66.3,3.6
198208,62.9,0.2
198308,64,1.3
198408,63.2,0.5
198508,63.2,0.5
198608,66.4,3.7
198708,63.7,1.0
198808,63.1,0.4
198908,62.6,-0.1
199008,65.6,2.9
199108,64.8,2.1
199208,64.6,1.9
199308,63.5,0.8
199408,64.5,1.8
199508,60.9,-1.8
199608,64.4,1.7
199708,66.4,3.7
199808,65.4,2.7
199908,64.1,1.4
200008,62.2,-0.5
200108,63.7,1.0
200208,63.7,1.0
200308,64.9,2.2
200408,66.5,3.8
200508,65.3,2.6
200608,63.3,0.6
200708,63,0.3
200808,63.9,1.2
200908,63.9,1.2
201008,63.5,0.8
201108,63.6,0.9
201208,65.1,2.4
201308,66,3.3
201408,66.9,4.2
