Washington, Climate Division 3, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1900-1999
Date,Value,Anomaly
197012,37.5,-2.0
197112,35.9,-3.6
197212,36.1,-3.4
197312,42.3,2.8
197412,41.9,2.4
197512,40.2,0.7
197612,41.7,2.2
197712,39.4,-0.1
197812,35.5,-4.0
197912,43,3.5
198012,42.9,3.4
198112,40,0.5
198212,39.2,-0.3
198312,33.6,-5.9
198412,35,-4.5
198512,35,-4.5
198612,40.2,0.7
198712,38.1,-1.4
198812,40.6,1.1
198912,41.6,2.1
199012,33.6,-5.9
199112,42,2.5
199212,37.3,-2.2
199312,39.9,0.4
199412,39.7,0.2
199512,40.8,1.3
199612,37.7,-1.8
199712,40.7,1.2
199812,39,-0.5
199912,41.4,1.9
200012,39.3,-0.2
200112,39.9,0.4
200212,42,2.5
200312,40.7,1.2
200412,41.8,2.3
200512,40.1,0.6
200612,40.2,0.7
200712,38.9,-0.6
200812,35.6,-3.9
200912,35.7,-3.8
201012,41.3,1.8
201112,38.3,-1.2
201212,39.9,0.4
201312,36.7,-2.8
201412,42.3,2.8
