Washington, Climate Division 3, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1900-1999
Date,Value,Anomaly
197007,62.8,0.0
197107,63.3,0.5
197207,63,0.2
197307,62.5,-0.3
197407,61.1,-1.7
197507,63.5,0.7
197607,61.9,-0.9
197707,60.9,-1.9
197807,63.8,1.0
197907,64.2,1.4
198007,62.3,-0.5
198107,62.1,-0.7
198207,61.6,-1.2
198307,61.5,-1.3
198407,63,0.2
198507,66.7,3.9
198607,60.1,-2.7
198707,62.6,-0.2
198807,62.7,-0.1
198907,61.8,-1.0
199007,65.9,3.1
199107,64,1.2
199207,64.2,1.4
199307,60.2,-2.6
199407,65.1,2.3
199507,64.9,2.1
199607,65.1,2.3
199707,63.2,0.4
199807,66.7,3.9
199907,61.5,-1.3
200007,62.9,0.1
200107,61.6,-1.2
200207,63.7,0.9
200307,65.9,3.1
200407,66.5,3.7
200507,64.1,1.3
200607,65.2,2.4
200707,65.3,2.5
200807,62.6,-0.2
200907,67,4.2
201007,63,0.2
201107,61.4,-1.4
201207,62.6,-0.2
201307,64.9,2.1
201407,66.3,3.5
