Washington, Climate Division 3, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1900-1999
Date,Value,Anomaly
197006,60.8,2.1
197106,55.1,-3.6
197206,57.9,-0.8
197306,57.7,-1.0
197406,58.6,-0.1
197506,57,-1.7
197606,55.8,-2.9
197706,59.6,0.9
197806,61.9,3.2
197906,58.7,0.0
198006,56.8,-1.9
198106,56.7,-2.0
198206,61.6,2.9
198306,58.4,-0.3
198406,57.5,-1.2
198506,58.8,0.1
198606,60.9,2.2
198706,60.4,1.7
198806,57.8,-0.9
198906,61,2.3
199006,58.7,0.0
199106,56.6,-2.1
199206,62.7,4.0
199306,58.9,0.2
199406,58.2,-0.5
199506,60.4,1.7
199606,58.2,-0.5
199706,58.8,0.1
199806,59.7,1.0
199906,57.2,-1.5
200006,59.6,0.9
200106,56.8,-1.9
200206,60.4,1.7
200306,61.5,2.8
200406,61.7,3.0
200506,58.8,0.1
200606,61,2.3
200706,58.2,-0.5
200806,56.4,-2.3
200906,61.4,2.7
201006,57.1,-1.6
201106,57.4,-1.3
201206,56.2,-2.5
201306,60.9,2.2
201406,59.7,1.0
