Washington, Climate Division 3, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1900-1999
Date,Value,Anomaly
197003,44.2,0.3
197103,40.2,-3.7
197203,44.9,1.0
197303,44.1,0.2
197403,43.4,-0.5
197503,41.6,-2.3
197603,40.5,-3.4
197703,42.7,-1.2
197803,46.4,2.5
197903,46.6,2.7
198003,43.5,-0.4
198103,47.2,3.3
198203,43,-0.9
198303,47.4,3.5
198403,46.9,3.0
198503,42,-1.9
198603,48,4.1
198703,46.8,2.9
198803,44.2,0.3
198903,42.5,-1.4
199003,45.5,1.6
199103,42.6,-1.3
199203,48.5,4.6
199303,46,2.1
199403,46.7,2.8
199503,45.2,1.3
199603,45.3,1.4
199703,44.1,0.2
199803,46.1,2.2
199903,43.6,-0.3
200003,43.9,0.0
200103,44.8,0.9
200203,40.9,-3.0
200303,46,2.1
200403,47.2,3.3
200503,48.1,4.2
200603,44.4,0.5
200703,46.3,2.4
200803,42.2,-1.7
200903,40.9,-3.0
201003,46,2.1
201103,44,0.1
201203,42,-1.9
201303,45.2,1.3
201403,46,2.1
