Washington, Climate Division 3, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1900-1999
Date,Value,Anomaly
197011,43.5,-0.1
197111,43.8,0.2
197211,44,0.4
197311,40.6,-3.0
197411,44.8,1.2
197511,42.9,-0.7
197611,44.4,0.8
197711,41.4,-2.2
197811,39.2,-4.4
197911,42.1,-1.5
198011,45.6,2.0
198111,45.8,2.2
198211,40.6,-3.0
198311,45.8,2.2
198411,42.9,-0.7
198511,33.9,-9.7
198611,44,0.4
198711,47,3.4
198811,44.5,0.9
198911,45.5,1.9
199011,44.9,1.3
199111,45.3,1.7
199211,44,0.4
199311,40,-3.6
199411,40.3,-3.3
199511,47.4,3.8
199611,42.2,-1.4
199711,47,3.4
199811,45.6,2.0
199911,46.4,2.8
200011,41.3,-2.3
200111,45.9,2.3
200211,46.4,2.8
200311,40.9,-2.7
200411,44.2,0.6
200511,42.3,-1.3
200611,43.3,-0.3
200711,42.7,-0.9
200811,47.4,3.8
200911,45.1,1.5
201011,41.9,-1.7
201111,41.4,-2.2
201211,45.1,1.5
201311,43.7,0.1
201411,43.6,0.0
