Washington, Climate Division 3, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1900-1999
Date,Value,Anomaly
197010,48.8,-2.2
197110,48.8,-2.2
197210,48.3,-2.7
197310,50.2,-0.8
197410,51.4,0.4
197510,50.1,-0.9
197610,51,0.0
197710,49.7,-1.3
197810,52.1,1.1
197910,52.8,1.8
198010,52.5,1.5
198110,49.2,-1.8
198210,51.2,0.2
198310,49.6,-1.4
198410,48.5,-2.5
198510,50.1,-0.9
198610,52.5,1.5
198710,53.1,2.1
198810,53.9,2.9
198910,51.2,0.2
199010,49.3,-1.7
199110,50.5,-0.5
199210,52.3,1.3
199310,53.5,2.5
199410,50.5,-0.5
199510,50.8,-0.2
199610,50.1,-0.9
199710,50.9,-0.1
199810,51.7,0.7
199910,50.4,-0.6
200010,51.3,0.3
200110,49.8,-1.2
200210,50.1,-0.9
200310,53.9,2.9
200410,52.3,1.3
200510,53,2.0
200610,50.7,-0.3
200710,49.6,-1.4
200810,50,-1.0
200910,50.3,-0.7
201010,51.9,0.9
201110,50.8,-0.2
201210,51.4,0.4
201310,49.4,-1.6
201410,56,5.0
