Washington, Climate Division 3, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1900-1999
Date,Value,Anomaly
197009,55.6,-2.8
197109,56.4,-2.0
197209,55.2,-3.2
197309,59.2,0.8
197409,62.2,3.8
197509,59.4,1.0
197609,59.7,1.3
197709,56.5,-1.9
197809,57,-1.4
197909,61.1,2.7
198009,58.6,0.2
198109,59.5,1.1
198209,59.5,1.1
198309,56.5,-1.9
198409,57.9,-0.5
198509,56.6,-1.8
198609,57.7,-0.7
198709,60.7,2.3
198809,58.6,0.2
198909,60.7,2.3
199009,61.5,3.1
199109,60.5,2.1
199209,57.6,-0.8
199309,59.6,1.2
199409,61.7,3.3
199509,62.2,3.8
199609,57,-1.4
199709,61.3,2.9
199809,61.7,3.3
199909,58.9,0.5
200009,58.9,0.5
200109,59,0.6
200209,59.1,0.7
200309,61.1,2.7
200409,58,-0.4
200509,57.6,-0.8
200609,60,1.6
200709,57.9,-0.5
200809,58.8,0.4
200909,60.7,2.3
201009,59.6,1.2
201109,61.8,3.4
201209,60,1.6
201309,60.6,2.2
201409,62,3.6
