"date","hdr","hdr_anom_1900-99"
197112,1.72,1.92
197212,2.76,2.96
197312,-1.14,-0.94
197412,2.48,2.68
197512,1.16,1.36
197612,1.22,1.42
197712,-1.28,-1.08
197812,-0.13,0.07
197912,-1.93,-1.73
198012,-0.48,-0.28
198112,1,1.2
198212,1.19,1.39
198312,1.23,1.43
198412,1.9,2.1
198512,-1.41,-1.21
198612,-0.98,-0.78
198712,-1.85,-1.65
198812,-0.74,-0.54
198912,-1.15,-0.95
199012,0.78,0.98
199112,0.79,0.99
199212,-2.54,-2.34
199312,-1.31,-1.11
199412,-2.05,-1.85
199512,-0.01,0.19
199612,2.64,2.84
199712,4.42,4.62
199812,0.62,0.82
199912,2.64,2.84
200012,-0.07,0.13
200112,-1.73,-1.53
200212,0.01,0.21
200312,-1.23,-1.03
200412,-1.17,-0.97
200512,-0.83,-0.63
200612,-0.32,-0.12
200712,0.52,0.72
200812,-0.35,-0.15
200912,-0.83,-0.63
201012,0.82,1.02
201112,2.27,2.47
201212,1.3,1.5
201312,0.07,0.27
201412,1.23,1.43
