"date","pc","pc_anom_1900-99"
197012,190.881,2.9718
197112,225.4504,37.5412
197212,225.0948,37.1856
197312,182.0672,-5.84200000000001
197412,219.2274,31.3182
197512,227.3554,39.4462
197612,156.1338,-31.7754
197712,190.373,2.46379999999999
197812,155.5496,-32.3596
197912,169.5958,-18.3134
198012,186.182,-1.72720000000004
198112,195.6054,7.69619999999998
198212,206.5274,18.6182
198312,216.1794,28.2702
198412,211.7344,23.8252
198512,136.1694,-51.7398
198612,189.2808,1.37160000000003
198712,147.2184,-40.6908
198812,185.8518,-2.05740000000003
198912,163.5506,-24.3586
199012,233.807,45.8978
199112,180.4924,-7.41680000000002
199212,160.1216,-27.7876
199312,144.653,-43.2562
199412,189.5094,1.60019999999997
199512,219.6846,31.7754
199612,247.6246,59.7154
199712,236.347,48.4378
199812,208.534,20.6248
199912,231.2162,43.307
200012,151.511,-36.3982
200112,178.6128,-9.29639999999998
200212,165.8366,-22.0726
200312,197.3072,9.398
200412,169.6212,-18.288
200512,173.0248,-14.8844
200612,222.25,34.3408
200712,184.9882,-2.92100000000002
200812,171.8818,-16.0274
200912,183.4134,-4.49579999999997
201012,208.3562,20.447
201112,199.263,11.3538
201212,232.7148,44.8056
201312,165.481,-22.4282
201412,224.1042,36.195
