Washington, Climate Division 3, Palmer Z-Index, January-December
Base Period: 1970-2014
Date,Value,Anomaly
197012,-0.28,-0.37
197112,0.96,0.87
197212,1.10,1.01
197312,-0.32,-0.41
197412,0.38,0.29
197512,0.89,0.80
197612,-0.39,-0.48
197712,0.05,-0.04
197812,-0.09,-0.18
197912,-0.57,-0.66
198012,0.16,0.07
198112,0.70,0.61
198212,0.21,0.12
198312,0.74,0.65
198412,0.78,0.69
198512,-0.87,-0.96
198612,-0.00,-0.09
198712,-1.27,-1.36
198812,-0.05,-0.14
198912,-0.46,-0.55
199012,0.88,0.79
199112,-0.19,-0.28
199212,-1.02,-1.11
199312,-0.49,-0.58
199412,-0.52,-0.61
199512,0.17,0.08
199612,1.26,1.17
199712,1.34,1.25
199812,-0.10,-0.19
199912,1.06,0.97
200012,-0.54,-0.63
200112,0.26,0.17
200212,-0.80,-0.89
200312,-0.41,-0.50
200412,-0.63,-0.72
200512,-0.20,-0.29
200612,0.17,0.08
200712,-0.13,-0.22
200812,-0.35,-0.44
200912,-0.22,-0.31
201012,0.84,0.75
201112,0.43,0.34
201212,1.22,1.13
201312,-0.33,-0.42
201412,0.75,0.66
