#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1978 to Dec 2015
# Report Instantaneous Data As: End of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 375: Bumping Ridge, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                 
# Snow Water Equivalent       Value       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Water Equivalent       Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Depth                  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Snow Depth                  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Precipitation Accumulation  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# Precipitation Accumulation  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Bumping Ridge (375) 
# Washington  SNOTEL Site - 4610 ft
# Reporting Frequency: Monthly; Date Range: Jan 1978 to Dec 2015
#
# As of: Jan 20, 2017 6:40:02 PM GMT-08:00
#
Date,Snow Water Equivalent (in) End of Month Values,Change In Snow Water Equivalent (in),Snow Depth (in) End of Month Values,Change In Snow Depth (in),Precipitation Accumulation (in) End of Month Values,Change In Precipitation Accumulation (in)
Sep 1978,0.0,,,,0.0,
Oct 1978,0.0,0.0,,,0.0,0.0
Nov 1978,2.1,2.1,,,3.5,3.5
Dec 1978,6.6,4.5,,,9.9,6.4
Jan 1979,8.8,2.2,,,11.6,1.7
Feb 1979,19.9,11.1,,,21.6,10.0
Mar 1979,21.3,1.4,,,26.8,5.2
Apr 1979,20.0,-1.3,,,28.8,2.0
May 1979,5.2,-14.8,,,29.9,1.1
Jun 1979,0.0,-5.2,,,30.4,0.5
Jul 1979,0.0,0.0,,,31.5,1.1
Aug 1979,0.0,0.0,,,32.0,0.5
Sep 1979,,,,,0.0,-32.0
Oct 1979,,,,,11.8,11.8
Nov 1979,,,,,17.8,6.0
Dec 1979,,,,,31.1,13.3
Jan 1980,,,,,42.6,11.5
Feb 1980,,,,,51.3,8.7
Mar 1980,,,,,54.9,3.6
Apr 1980,,,,,58.1,3.2
May 1980,,,,,59.0,0.9
Jun 1980,,,,,63.2,4.2
Jul 1980,,,,,64.0,0.8
Aug 1980,,,,,66.1,2.1
Sep 1980,0.0,,,,0.0,-66.1
Oct 1980,0.0,0.0,,,0.5,0.5
Nov 1980,0.7,0.7,,,13.2,12.7
Dec 1980,1.8,1.1,,,24.6,11.4
Jan 1981,1.3,-0.5,,,25.0,0.4
Feb 1981,2.7,1.4,,,32.8,7.8
Mar 1981,3.3,0.6,,,34.3,1.5
Apr 1981,2.7,-0.6,,,38.7,4.4
May 1981,0.0,-2.7,,,41.8,3.1
Jun 1981,0.0,0.0,,,45.1,3.3
Jul 1981,0.0,0.0,,,45.5,0.4
Aug 1981,0.0,0.0,,,45.7,0.2
Sep 1981,,,,,,
Oct 1981,,,,,,
Nov 1981,,,,,,
Dec 1981,,,,,,
Jan 1982,,,,,,
Feb 1982,,,,,,
Mar 1982,,,,,,
Apr 1982,,,,,,
May 1982,,,,,,
Jun 1982,,,,,,
Jul 1982,,,,,,
Aug 1982,,,,,,
Sep 1982,,,,,,
Oct 1982,,,,,,
Nov 1982,,,,,,
Dec 1982,,,,,,
Jan 1983,,,,,,
Feb 1983,,,,,,
Mar 1983,,,,,,
Apr 1983,,,,,,
May 1983,,,,,,
Jun 1983,,,,,,
Jul 1983,,,,,,
Aug 1983,,,,,,
Sep 1983,0.0,,,,0.0,
Oct 1983,0.0,0.0,,,1.5,1.5
Nov 1983,8.8,8.8,,,16.6,15.1
Dec 1983,20.6,11.8,,,26.4,9.8
Jan 1984,21.3,0.7,,,32.8,6.4
Feb 1984,24.8,3.5,,,37.7,4.9
Mar 1984,27.9,3.1,,,42.6,4.9
Apr 1984,30.6,2.7,,,46.4,3.8
May 1984,20.8,-9.8,,,52.4,6.0
Jun 1984,0.0,-20.8,,,55.4,3.0
Jul 1984,0.0,0.0,,,55.7,0.3
Aug 1984,0.0,0.0,,,55.7,0.0
Sep 1984,0.0,0.0,,,0.0,-55.7
Oct 1984,1.5,1.5,,,5.2,5.2
Nov 1984,12.5,11.0,,,15.4,10.2
Dec 1984,20.3,7.8,,,21.0,5.6
Jan 1985,21.1,0.8,,,22.0,1.0
Feb 1985,26.9,5.8,,,28.1,6.1
Mar 1985,31.5,4.6,,,32.4,4.3
Apr 1985,28.5,-3.0,,,35.7,3.3
May 1985,9.7,-18.8,,,37.3,1.6
Jun 1985,0.0,-9.7,,,41.0,3.7
Jul 1985,0.0,0.0,,,42.2,1.2
Aug 1985,0.0,0.0,,,42.6,0.4
Sep 1985,0.0,0.0,,,0.0,-42.6
Oct 1985,0.0,0.0,,,8.1,8.1
Nov 1985,5.3,5.3,,,14.8,6.7
Dec 1985,7.8,2.5,,,18.3,3.5
Jan 1986,16.6,8.8,,,30.8,12.5
Feb 1986,22.8,6.2,,,42.8,12.0
Mar 1986,23.1,0.3,,,47.6,4.8
Apr 1986,21.6,-1.5,,,50.4,2.8
May 1986,5.9,-15.7,,,54.9,4.5
Jun 1986,0.0,-5.9,,,56.7,1.8
Jul 1986,0.0,0.0,,,57.2,0.5
Aug 1986,0.0,0.0,,,57.7,0.5
Sep 1986,0.0,0.0,,,0.0,-57.7
Oct 1986,0.0,0.0,,,4.1,4.1
Nov 1986,4.7,4.7,,,17.3,13.2
Dec 1986,9.1,4.4,,,22.8,5.5
Jan 1987,17.8,8.7,,,32.8,10.0
Feb 1987,20.5,2.7,,,37.3,4.5
Mar 1987,23.6,3.1,,,45.4,8.1
Apr 1987,20.1,-3.5,,,50.4,5.0
May 1987,0.0,-20.1,,,54.1,3.7
Jun 1987,0.0,0.0,,,54.4,0.3
