#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1978 to Dec 2015
# Report Instantaneous Data As: End of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 648: Mount Crag, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                 
# Snow Water Equivalent       Value       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Water Equivalent       Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Depth                  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Snow Depth                  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Precipitation Accumulation  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# Precipitation Accumulation  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mount Crag (648) 
# Washington  SNOTEL Site - 3960 ft
# Reporting Frequency: Monthly; Date Range: Jan 1978 to Dec 2015
#
# As of: Jan 23, 2017 2:19:30 PM GMT-08:00
#
Date,Snow Water Equivalent (in) End of Month Values,Change In Snow Water Equivalent (in),Snow Depth (in) End of Month Values,Change In Snow Depth (in),Precipitation Accumulation (in) End of Month Values,Change In Precipitation Accumulation (in)
Sep 1989,0.0,,,,0.0,
Oct 1989,0.2,0.2,,,2.2,2.2
Nov 1989,1.2,1.0,,,7.8,5.6
Dec 1989,1.0,-0.2,,,14.1,6.3
Jan 1990,10.8,9.8,,,28.0,13.9
Feb 1990,19.0,8.2,,,36.2,8.2
Mar 1990,22.7,3.7,,,41.6,5.4
Apr 1990,13.2,-9.5,,,43.0,1.4
May 1990,0.0,-13.2,,,49.2,6.2
Jun 1990,0.0,0.0,,,52.7,3.5
Jul 1990,0.0,0.0,,,54.5,1.8
Aug 1990,0.0,0.0,,,55.8,1.3
Sep 1990,0.0,0.0,,,0.0,-55.8
Oct 1990,0.0,0.0,,,7.5,7.5
Nov 1990,2.7,2.7,,,25.0,17.5
Dec 1990,6.2,3.5,,,32.5,7.5
Jan 1991,7.5,1.3,,,38.0,5.5
Feb 1991,5.0,-2.5,,,52.8,14.8
Mar 1991,13.1,8.1,,,60.9,8.1
Apr 1991,14.2,1.1,,,66.7,5.8
May 1991,0.0,-14.2,,,70.3,3.6
Jun 1991,0.0,0.0,,,72.2,1.9
Jul 1991,0.0,0.0,,,74.4,2.2
Aug 1991,0.0,0.0,,,80.2,5.8
Sep 1991,0.0,0.0,,,0.0,-80.2
Oct 1991,1.0,1.0,,,2.2,2.2
Nov 1991,3.3,2.3,,,11.2,9.0
Dec 1991,4.9,1.6,,,17.2,6.0
Jan 1992,11.3,6.4,,,35.3,18.1
Feb 1992,16.4,5.1,,,41.8,6.5
Mar 1992,12.6,-3.8,,,43.4,1.6
Apr 1992,0.0,-12.6,,,51.4,8.0
May 1992,0.0,0.0,,,53.7,2.3
Jun 1992,0.0,0.0,,,55.9,2.2
Jul 1992,0.0,0.0,,,59.6,3.7
Aug 1992,0.0,0.0,,,60.4,0.8
Sep 1992,0.0,0.0,,,0.0,-60.4
Oct 1992,0.0,0.0,,,5.2,5.2
Nov 1992,2.8,2.8,,,11.5,6.3
Dec 1992,13.2,10.4,,,21.8,10.3
Jan 1993,18.4,5.2,,,28.6,6.8
Feb 1993,17.9,-0.5,,,29.3,0.7
Mar 1993,20.0,2.1,,,34.8,5.5
Apr 1993,17.9,-2.1,,,43.0,8.2
May 1993,0.0,-17.9,,,46.2,3.2
Jun 1993,0.0,0.0,,,51.9,5.7
Jul 1993,0.0,0.0,,,57.2,5.3
