#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1979 to Jan 2017
# Report Instantaneous Data As: End of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 681: Park Creek Ridge, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                 
# Snow Water Equivalent       Value       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Water Equivalent       Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Depth                  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Snow Depth                  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Precipitation Accumulation  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# Precipitation Accumulation  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Park Creek Ridge (681) 
# Washington  SNOTEL Site - 4600 ft
# Reporting Frequency: Monthly; Date Range: Jan 1979 to Jan 2017
#
# As of: Jan 20, 2017 6:30:59 PM GMT-08:00
#
Date,Snow Water Equivalent (in) End of Month Values,Change In Snow Water Equivalent (in),Snow Depth (in) End of Month Values,Change In Snow Depth (in),Precipitation Accumulation (in) End of Month Values,Change In Precipitation Accumulation (in)
Jan 1979,15.0,,,,21.1,
Feb 1979,23.6,8.6,,,31.8,10.7
Mar 1979,27.2,3.6,,,37.0,5.2
Apr 1979,25.1,-2.1,,,39.7,2.7
May 1979,0.5,-24.6,,,40.9,1.2
Jun 1979,0.0,-0.5,,,42.4,1.5
Jul 1979,0.0,0.0,,,43.6,1.2
Aug 1979,0.0,0.0,,,44.3,0.7
Sep 1979,0.0,0.0,,,0.0,-44.3
Oct 1979,0.0,0.0,,,5.1,5.1
Nov 1979,2.1,2.1,,,7.3,2.2
Dec 1979,20.6,18.5,,,29.0,21.7
Jan 1980,33.2,12.6,,,38.8,9.8
Feb 1980,41.9,8.7,,,46.9,8.1
Mar 1980,46.1,4.2,,,52.5,5.6
Apr 1980,37.4,-8.7,,,55.5,3.0
May 1980,3.1,-34.3,,,57.5,2.0
Jun 1980,0.0,-3.1,,,59.7,2.2
Jul 1980,0.0,0.0,,,60.4,0.7
Aug 1980,0.0,0.0,,,61.0,0.6
Sep 1980,0.0,0.0,,,0.0,-61.0
Oct 1980,0.3,0.3,,,2.3,2.3
Nov 1980,8.6,8.3,,,16.3,14.0
Dec 1980,14.8,6.2,,,32.3,16.0
Jan 1981,17.1,2.3,,,35.3,3.0
Feb 1981,27.7,10.6,,,46.1,10.8
Mar 1981,27.2,-0.5,,,47.8,1.7
Apr 1981,24.8,-2.4,,,54.2,6.4
May 1981,0.5,-24.3,,,55.8,1.6
Jun 1981,0.0,-0.5,,,60.2,4.4
Jul 1981,0.0,0.0,,,61.3,1.1
Aug 1981,0.0,0.0,,,62.5,1.2
Sep 1981,0.0,0.0,,,0.0,-62.5
Oct 1981,0.0,0.0,,,4.1,4.1
Nov 1981,5.1,5.1,,,7.4,3.3
Dec 1981,19.3,14.2,,,20.8,13.4
Jan 1982,35.0,15.7,,,35.3,14.5
Feb 1982,47.9,12.9,,,50.8,15.5
Mar 1982,52.0,4.1,,,54.8,4.0
Apr 1982,52.1,0.1,,,58.4,3.6
May 1982,29.6,-22.5,,,60.2,1.8
Jun 1982,0.0,-29.6,,,61.1,0.9
Jul 1982,0.0,0.0,,,63.7,2.6
Aug 1982,0.0,0.0,,,65.8,2.1
Sep 1982,0.0,0.0,,,0.0,-65.8
Oct 1982,0.3,0.3,,,4.4,4.4
Nov 1982,6.1,5.8,,,15.3,10.9
Dec 1982,17.0,10.9,,,26.3,11.0
Jan 1983,31.4,14.4,,,40.7,14.4
Feb 1983,40.3,8.9,,,52.2,11.5
Mar 1983,48.3,8.0,,,62.5,10.3
Apr 1983,43.1,-5.2,,,66.1,3.6
May 1983,13.2,-29.9,,,75.0,8.9
Jun 1983,0.0,-13.2,,,77.3,2.3
Jul 1983,0.0,0.0,,,82.5,5.2
Aug 1983,0.0,0.0,,,84.6,2.1
Sep 1983,0.0,0.0,,,0.0,-84.6
Oct 1983,0.0,0.0,,,3.0,3.0
Nov 1983,10.3,10.3,,,21.1,18.1
Dec 1983,18.0,7.7,,,26.7,5.6
Jan 1984,23.8,5.8,,,43.0,16.3
Feb 1984,32.6,8.8,,,51.5,8.5
Mar 1984,35.3,2.7,,,57.2,5.7
Apr 1984,34.7,-0.6,,,60.7,3.5
May 1984,23.9,-10.8,,,66.2,5.5
Jun 1984,0.0,-23.9,,,67.3,1.1
Jul 1984,0.0,0.0,,,67.4,0.1
Aug 1984,0.0,0.0,,,69.5,2.1
Sep 1984,0.0,0.0,,,0.0,-69.5
Oct 1984,5.7,5.7,,,7.8,7.8
Nov 1984,20.8,15.1,,,24.6,16.8
Dec 1984,28.1,7.3,,,34.3,9.7
Jan 1985,29.9,1.8,,,36.1,1.8
Feb 1985,37.4,7.5,,,43.5,7.4
Mar 1985,42.5,5.1,,,48.2,4.7
Apr 1985,35.6,-6.9,,,54.5,6.3
May 1985,0.0,-35.6,,,55.4,0.9
