#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1978 to Jan 2015
# Report Instantaneous Data As: End of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 791: Stevens Pass, WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                 
# Snow Water Equivalent       Value       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Water Equivalent       Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Depth                  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Snow Depth                  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Precipitation Accumulation  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# Precipitation Accumulation  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Stevens Pass (791) 
# Washington  SNOTEL Site - 3950 ft
# Reporting Frequency: Monthly; Date Range: Jan 1978 to Jan 2015
#
# As of: Jan 20, 2017 6:43:46 PM GMT-08:00
#
Date,Snow Water Equivalent (in) End of Month Values,Change In Snow Water Equivalent (in),Snow Depth (in) End of Month Values,Change In Snow Depth (in),Precipitation Accumulation (in) End of Month Values,Change In Precipitation Accumulation (in)
Sep 1980,0.0,,,,,
Oct 1980,0.0,0.0,,,,
Nov 1980,1.6,1.6,,,,
Dec 1980,2.7,1.1,,,,
Jan 1981,2.4,-0.3,,,,
Feb 1981,6.6,4.2,,,,
Mar 1981,6.0,-0.6,,,,
Apr 1981,3.5,-2.5,,,,
May 1981,0.0,-3.5,,,,
Jun 1981,0.0,0.0,,,,
Jul 1981,0.0,0.0,,,,
Aug 1981,0.0,0.0,,,,
Sep 1981,0.0,0.0,,,,
Oct 1981,0.0,0.0,,,,
Nov 1981,4.2,4.2,,,,
Dec 1981,14.6,10.4,,,,
Jan 1982,29.2,14.6,,,,
Feb 1982,34.0,4.8,,,,
Mar 1982,37.0,3.0,,,,
Apr 1982,36.4,-0.6,,,,
May 1982,17.8,-18.6,,,,
Jun 1982,0.0,-17.8,,,,
Jul 1982,0.0,0.0,,,,
Aug 1982,0.0,0.0,,,,
Sep 1982,0.0,0.0,,,0.0,
Oct 1982,0.0,0.0,,,7.0,7.0
Nov 1982,3.8,3.8,,,14.4,7.4
Dec 1982,11.0,7.2,,,30.3,15.9
Jan 1983,18.1,7.1,,,50.0,19.7
Feb 1983,22.6,4.5,,,57.6,7.6
Mar 1983,23.8,1.2,,,64.7,7.1
Apr 1983,16.3,-7.5,,,67.5,2.8
May 1983,0.0,-16.3,,,69.8,2.3
Jun 1983,0.0,0.0,,,72.3,2.5
Jul 1983,0.0,0.0,,,81.4,9.1
Aug 1983,0.0,0.0,,,84.0,2.6
Sep 1983,0.0,0.0,,,0.0,-84.0
Oct 1983,0.0,0.0,,,4.2,4.2
Nov 1983,11.3,11.3,,,23.8,19.6
Dec 1983,21.0,9.7,,,32.6,8.8
Jan 1984,25.5,4.5,,,48.8,16.2
Feb 1984,31.7,6.2,,,55.2,6.4
Mar 1984,37.1,5.4,,,63.6,8.4
Apr 1984,37.1,0.0,,,68.8,5.2
May 1984,22.8,-14.3,,,79.4,10.6
Jun 1984,0.0,-22.8,,,83.7,4.3
Jul 1984,0.0,0.0,,,83.7,0.0
Aug 1984,0.0,0.0,,,85.3,1.6
Sep 1984,0.0,0.0,,,0.0,-85.3
Oct 1984,2.5,2.5,,,11.8,11.8
Nov 1984,18.6,16.1,,,29.2,17.4
Dec 1984,34.4,15.8,,,44.7,15.5
Jan 1985,37.3,2.9,,,47.6,2.9
Feb 1985,46.5,9.2,,,55.1,7.5
Mar 1985,50.4,3.9,,,60.7,5.6
Apr 1985,38.5,-11.9,,,69.6,8.9
May 1985,0.0,-38.5,,,72.1,2.5
Jun 1985,0.0,0.0,,,76.6,4.5
