#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resource Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# Help and Tutorials: http://www.wcc.nrcs.usda.gov/report_generator/report_generator_landing.htm
# 
# Support Contact: nrcsprod@midatl.service-now.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Jan 1978 to Jan 2015
# Report Instantaneous Data As: End of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 863: White Pass E.S., WA
# 
# Data items provided in this file:
#
# Element Name                Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                 
# Snow Water Equivalent       Value       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Water Equivalent       Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           WTEQ                                      
# Snow Depth                  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Snow Depth                  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           SNWD                                      
# Precipitation Accumulation  Value       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# Precipitation Accumulation  Delta       None           Instantaneous - End of Month  N/A        Inches             N/A           PREC          Precipitation accumulation  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# White Pass E.s. (863) 
# Washington  SNOTEL Site - 4440 ft
# Reporting Frequency: Monthly; Date Range: Jan 1978 to Jan 2015
#
# As of: Jan 20, 2017 6:44:56 PM GMT-08:00
#
Date,Snow Water Equivalent (in) End of Month Values,Change In Snow Water Equivalent (in),Snow Depth (in) End of Month Values,Change In Snow Depth (in),Precipitation Accumulation (in) End of Month Values,Change In Precipitation Accumulation (in)
Sep 1980,,,,,0.0,
Oct 1980,,,,,0.4,0.4
Nov 1980,,,,,6.9,6.5
Dec 1980,,,,,13.4,6.5
Jan 1981,,,,,15.5,2.1
Feb 1981,,,,,22.8,7.3
Mar 1981,,,,,24.0,1.2
Apr 1981,,,,,27.6,3.6
May 1981,,,,,30.3,2.7
Jun 1981,,,,,33.5,3.2
Jul 1981,,,,,33.5,0.0
Aug 1981,,,,,33.5,0.0
Sep 1981,0.0,,,,0.0,-33.5
Oct 1981,0.5,0.5,,,4.2,4.2
Nov 1981,3.2,2.7,,,9.3,5.1
Dec 1981,11.2,8.0,,,16.8,7.5
Jan 1982,23.8,12.6,,,28.6,11.8
Feb 1982,26.5,2.7,,,41.2,12.6
Mar 1982,28.8,2.3,,,43.0,1.8
Apr 1982,31.0,2.2,,,46.5,3.5
May 1982,14.5,-16.5,,,47.0,0.5
Jun 1982,0.0,-14.5,,,48.7,1.7
Jul 1982,0.0,0.0,,,49.0,0.3
Aug 1982,0.0,0.0,,,49.2,0.2
Sep 1982,0.0,0.0,,,0.0,-49.2
Oct 1982,1.0,1.0,,,4.7,4.7
Nov 1982,5.7,4.7,,,9.6,4.9
Dec 1982,11.3,5.6,,,17.6,8.0
Jan 1983,19.0,7.7,,,27.8,10.2
Feb 1983,24.6,5.6,,,32.7,4.9
Mar 1983,28.8,4.2,,,37.4,4.7
Apr 1983,26.5,-2.3,,,38.2,0.8
May 1983,6.1,-20.4,,,39.7,1.5
Jun 1983,0.0,-6.1,,,42.1,2.4
Jul 1983,0.0,0.0,,,42.6,0.5
Aug 1983,0.0,0.0,,,43.8,1.2
Sep 1983,0.0,0.0,,,0.0,-43.8
Oct 1983,0.4,0.4,,,1.6,1.6
Nov 1983,6.4,6.0,,,12.7,11.1
Dec 1983,14.6,8.2,,,17.8,5.1
Jan 1984,16.3,1.7,,,25.0,7.2
Feb 1984,20.6,4.3,,,28.6,3.6
Mar 1984,23.3,2.7,,,32.4,3.8
Apr 1984,26.0,2.7,,,34.8,2.4
May 1984,16.0,-10.0,,,38.0,3.2
Jun 1984,0.0,-16.0,,,38.7,0.7
Jul 1984,0.0,0.0,,,38.7,0.0
Aug 1984,0.0,0.0,,,38.7,0.0
Sep 1984,0.0,0.0,,,0.0,-38.7
Oct 1984,1.3,1.3,,,5.7,5.7
Nov 1984,9.9,8.6,,,15.1,9.4
Dec 1984,16.0,6.1,,,21.0,5.9
Jan 1985,17.1,1.1,,,21.3,0.3
Feb 1985,22.6,5.5,,,26.0,4.7
Mar 1985,25.9,3.3,,,29.7,3.7
Apr 1985,22.5,-3.4,,,32.1,2.4
May 1985,4.3,-18.2,,,32.9,0.8
Jun 1985,0.0,-4.3,,,36.6,3.7
Jul 1985,0.0,0.0,,,36.6,0.0
Aug 1985,0.0,0.0,,,37.4,0.8
Sep 1985,0.0,0.0,,,0.0,-37.4
Oct 1985,0.0,0.0,,,4.5,4.5
Nov 1985,5.1,5.1,,,11.3,6.8
Dec 1985,7.6,2.5,,,13.5,2.2
Jan 1986,14.2,6.6,,,20.3,6.8
Feb 1986,19.3,5.1,,,29.1,8.8
Mar 1986,18.8,-0.5,,,31.9,2.8
Apr 1986,17.1,-1.7,,,33.0,1.1
May 1986,1.3,-15.8,,,34.6,1.6
Jun 1986,0.0,-1.3,,,35.0,0.4
Jul 1986,0.0,0.0,,,35.8,0.8
Aug 1986,0.0,0.0,,,36.6,0.8
Sep 1986,0.0,0.0,,,0.0,-36.6
Oct 1986,0.0,0.0,,,2.5,2.5
Nov 1986,3.6,3.6,,,9.8,7.3
Dec 1986,7.1,3.5,,,13.3,3.5
Jan 1987,14.9,7.8,,,21.1,7.8
Feb 1987,16.1,1.2,,,23.0,1.9
Mar 1987,17.3,1.2,,,27.0,4.0
Apr 1987,10.3,-7.0,,,29.1,2.1
May 1987,0.0,-10.3,,,31.1,2.0
Jun 1987,0.0,0.0,,,31.7,0.6
Jul 1987,0.0,0.0,,,32.3,0.6
Aug 1987,0.0,0.0,,,32.3,0.0
Sep 1987,0.0,0.0,,,0.0,-32.3
Oct 1987,0.0,0.0,,,0.0,0.0
Nov 1987,1.9,1.9,,,3.5,3.5
Dec 1987,8.6,6.7,,,14.5,11.0
Jan 1988,13.6,5.0,,,20.5,6.0
Feb 1988,15.8,2.2,,,23.1,2.6
Mar 1988,21.1,5.3,,,28.7,5.6
Apr 1988,16.8,-4.3,,,32.9,4.2
May 1988,0.3,-16.5,,,35.0,2.1
Jun 1988,0.0,-0.3,,,36.2,1.2
Jul 1988,0.0,0.0,,,36.3,0.1
Aug 1988,0.0,0.0,,,36.4,0.1
Sep 1988,0.0,0.0,,,0.0,-36.4
Oct 1988,0.0,0.0,,,1.6,1.6
Nov 1988,6.3,6.3,,,13.1,11.5
Dec 1988,8.1,1.8,,,16.1,3.0
Jan 1989,14.6,6.5,,,22.8,6.7
Feb 1989,17.8,3.2,,,26.1,3.3
Mar 1989,21.1,3.3,,,32.5,6.4
Apr 1989,14.1,-7.0,,,34.4,1.9
May 1989,0.0,-14.1,,,36.0,1.6
Jun 1989,0.0,0.0,,,36.2,0.2
Jul 1989,0.0,0.0,,,36.2,0.0
Aug 1989,0.0,0.0,,,36.4,0.2
Sep 1989,0.0,0.0,,,0.0,-36.4
Oct 1989,0.0,0.0,,,1.0,1.0
Nov 1989,1.8,1.8,,,6.0,5.0
Dec 1989,0.0,-1.8,,,9.3,3.3
Jan 1990,15.0,15.0,,,22.7,13.4
Feb 1990,25.1,10.1,,,31.4,8.7
Mar 1990,26.2,1.1,,,33.3,1.9
Apr 1990,20.5,-5.7,,,36.7,3.4
May 1990,6.1,-14.4,,,38.6,1.9
Jun 1990,0.0,-6.1,,,42.4,3.8
