"date","snowmelt"
"197801",0
"197802",0
"197803",0
"197804",1.7
"197805",19.7
"197806",2.85
"197807",0
"197808",0
"197809",0
"197810",0
"197811",0
"197812",0
"197901",0
"197902",0
"197903",0
"197904",1.7
"197905",19.7
"197906",2.85
"197907",0
"197908",0
"197909",0
"197910",0
"197911",0
"197912",0
"198001",0
"198002",0
"198003",0
"198004",8.7
"198005",34.3
"198006",3.1
"198007",0
"198008",0
"198009",0
"198010",0
"198011",0
"198012",0
"198101",0
"198102",0
"198103",0.166666666666667
"198104",1.83333333333333
"198105",10.1666666666667
"198106",0.166666666666667
"198107",0
"198108",0
"198109",0
"198110",0
"198111",0
"198112",0
"198201",0
"198202",0
"198203",0
"198204",0
"198205",19.2
"198206",20.6333333333333
"198207",0
"198208",0
"198209",0
"198210",0
"198211",0
"198212",0
"198301",0
"198302",0
"198303",0
"198304",5
"198305",22.2
"198306",6.43333333333333
"198307",0
"198308",0
"198309",0
"198310",0
"198311",0
"198312",0
"198401",0
"198402",0
"198403",0
"198404",0
"198405",11.225
"198406",20.875
"198407",0
"198408",0
"198409",0
"198410",0
"198411",0
"198412",0
"198501",0
"198502",0
"198503",0
"198504",6.3
"198505",27.775
"198506",3.5
"198507",0
"198508",0
"198509",0
"198510",0
"198511",0
"198512",0
"198601",0
"198602",0
"198603",0
"198604",3.625
"198605",22.475
"198606",2.025
"198607",0
"198608",0
"198609",0
"198610",0
"198611",0
"198612",0
"198701",0
"198702",0
"198703",0
"198704",10.35
"198705",21.8
"198706",0
"198707",0
"198708",0
"198709",0
"198710",0
"198711",0
"198712",0
"198801",0
"198802",0
"198803",0
"198804",8.7
"198805",24.7
"198806",1.675
"198807",0
"198808",0
"198809",0
"198810",0
"198811",0
"198812",0
"198901",0
"198902",0
"198903",0
"198904",9.05
"198905",23.925
"198906",4.825
"198907",0
"198908",0
"198909",0
"198910",0
"198911",0
"198912",0
"199001",0
"199002",0
"199003",0
"199004",11.4
"199005",20.96
"199006",4.58
"199007",0
"199008",0
"199009",0
"199010",0
"199011",0
"199012",0
"199101",0
"199102",0
"199103",0
"199104",0
"199105",22.12
"199106",9.66
"199107",0
"199108",0
"199109",0
"199110",0
"199111",0
"199112",0
"199201",0
"199202",0
"199203",4.94
"199204",12.16
"199205",8.76
"199206",0
"199207",0
"199208",0
"199209",0
"199210",0
"199211",0
"199212",0
"199301",0
"199302",0
"199303",0
"199304",3.38
"199305",20.04
"199306",0
"199307",0
"199308",0
"199309",0
"199310",0
"199311",0
"199312",0
"199401",0
"199402",0
"199403",0
"199404",7.66
"199405",19.32
"199406",0
"199407",0
"199408",0
"199409",0
"199410",0
"199411",0
"199412",0
"199501",0
"199502",0
"199503",0
"199504",1.88
"199505",27.04
"199506",4.02
"199507",0
"199508",0
"199509",0
"199510",0
"199511",0
"199512",0
"199601",0
"199602",0
"199603",0
"199604",4.15
"199605",13.0833333333333
