To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

05A070--Stillaguamish R. nr Silvana

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2009   00:00         1750        90
10/01/2009   00:15         1750        90
10/01/2009   00:30         1730        90
10/01/2009   00:45         1730        90
10/01/2009   01:00         1720        90
10/01/2009   01:15         1700        90
10/01/2009   01:30         1690        90
10/01/2009   01:45         1670        90
10/01/2009   02:00         1660        90
10/01/2009   02:15         1660        90
10/01/2009   02:30         1650        90
10/01/2009   02:45         1630        90
10/01/2009   03:00         1630        90
10/01/2009   03:15         1610        90
10/01/2009   03:30         1610        90
10/01/2009   03:45         1600        90
10/01/2009   04:00         1580        90
10/01/2009   04:15         1580        90
10/01/2009   04:30         1560        90
10/01/2009   04:45         1560        90
10/01/2009   05:00         1530        90
10/01/2009   05:15         1530        90
10/01/2009   05:30         1520        90
10/01/2009   05:45         1510        90
10/01/2009   06:00         1500        90
10/01/2009   06:15         1490        90
10/01/2009   06:30         1490        90
10/01/2009   06:45         1480        90
10/01/2009   07:00         1470        90
10/01/2009   07:15         1460        90
10/01/2009   07:30         1450        90
10/01/2009   07:45         1450        90
10/01/2009   08:00         1430        90
10/01/2009   08:15         1430        90
10/01/2009   08:30         1410        90
10/01/2009   08:45         1400        90
10/01/2009   09:00         1400        90
10/01/2009   09:15         1390        90
10/01/2009   09:30         1390        90
10/01/2009   09:45         1370        90
10/01/2009   10:00         1370        90
10/01/2009   10:15         1360        90
10/01/2009   10:30         1340        90
10/01/2009   10:45         1340        90
10/01/2009   11:00         1330        90
10/01/2009   11:15         1320        90
10/01/2009   11:30         1320        90
10/01/2009   11:45         1310        90
10/01/2009   12:00         1290        90
10/01/2009   12:15         1290        90
10/01/2009   12:30         1290        90
10/01/2009   12:45         1280        90
10/01/2009   13:00         1260        90
10/01/2009   13:15         1260        90
10/01/2009   13:30         1240        90
10/01/2009   13:45         1220        90
10/01/2009   14:00         1220        90
10/01/2009   14:15         1200        90
10/01/2009   14:30         1180        90
10/01/2009   14:45         1180        90
10/01/2009   15:00         1180        90
10/01/2009   15:15         1180        90
10/01/2009   15:30         1160        90
10/01/2009   15:45         1160        90
10/01/2009   16:00         1160        90
10/01/2009   16:15         1160        90
10/01/2009   16:30         1160        90
10/01/2009   16:45         1140        90
10/01/2009   17:00         1130        90
10/01/2009   17:15         1130        90
10/01/2009   17:30         1130        90
10/01/2009   17:45         1130        90
10/01/2009   18:00         1130        90
10/01/2009   18:15         1110        90
10/01/2009   18:30         1110        90
10/01/2009   18:45         1110        90
10/01/2009   19:00         1110        90
10/01/2009   19:15         1090        90
10/01/2009   19:30         1070        90
10/01/2009   19:45         1070        90
10/01/2009   20:00         1090        90
10/01/2009   20:15         1070        90
10/01/2009   20:30         1070        90
10/01/2009   20:45         1050        90
10/01/2009   21:00         1050        90
10/01/2009   21:15         1050        90
10/01/2009   21:30         1040        90
10/01/2009   21:45         1040        90
10/01/2009   22:00         1040        90
10/01/2009   22:15         1040        90
10/01/2009   22:30         1020        90
10/01/2009   22:45         1020        90
10/01/2009   23:00         1020        90
10/01/2009   23:15         1020        90
10/01/2009   23:30         1020        90
10/01/2009   23:45         1020        90
10/02/2009   00:00         1020        90
10/02/2009   00:15         1020        90
10/02/2009   00:30         1020        90
10/02/2009   00:45         1000        90
10/02/2009   01:00         1000        90
10/02/2009   01:15         1020        90
10/02/2009   01:30         1000        90
10/02/2009   01:45         1000        90
10/02/2009   02:00         1020        90
10/02/2009   02:15         1000        90
10/02/2009   02:30         1020        90
10/02/2009   02:45         1020        90
10/02/2009   03:00         1020        90
10/02/2009   03:15         1020        90
10/02/2009   03:30         1040        90
10/02/2009   03:45         1050        90
10/02/2009   04:00         1070        90
10/02/2009   04:15         1130        90
10/02/2009   04:30         1240        90
10/02/2009   04:45         1370        90
10/02/2009   05:00         1490        90
10/02/2009   05:15         1630        90
10/02/2009   05:30         1750        90
10/02/2009   05:45         1890        90
10/02/2009   06:00         2030        90
10/02/2009   06:15         2130        90
10/02/2009   06:30         2240        90
10/02/2009   06:45         2320        90
10/02/2009   07:00         2410        90
10/02/2009   07:15         2470        90
10/02/2009   07:30         2550        90
10/02/2009   07:45         2600        90
10/02/2009   08:00         2670        90
10/02/2009   08:15         2690        90
10/02/2009   08:30         2750        90
10/02/2009   08:45         2790        90
10/02/2009   09:00         2820        90
10/02/2009   09:15         2800        90
10/02/2009   09:30         2820        90
10/02/2009   09:45         2840        90
10/02/2009   10:00         2800        90
10/02/2009   10:15         2820        90
10/02/2009   10:30         2820        90
10/02/2009   10:45         2800        90
10/02/2009   11:00         2750        90
10/02/2009   11:15         2750        90
10/02/2009   11:30         2730        90
10/02/2009   11:45         2730        90
10/02/2009   12:00         2710        90
10/02/2009   12:15         2670        90
10/02/2009   12:30         2640        90
10/02/2009   12:45         2620        90
10/02/2009   13:00         2600        90
10/02/2009   13:15         2530        90
10/02/2009   13:30         2530        90
10/02/2009   13:45         2530        90
10/02/2009   14:00         2510        90
10/02/2009   14:15         2490        90
10/02/2009   14:30         2460        90
10/02/2009   14:45         2460        90
10/02/2009   15:00         2440        90
10/02/2009   15:15         2410        90
10/02/2009   15:30         2390        90
10/02/2009   15:45         2370        90
10/02/2009   16:00         2360        90
10/02/2009   16:15         2320        90
10/02/2009   16:30         2320        90
10/02/2009   16:45         2290        90
10/02/2009   17:00         2290        90
10/02/2009   17:15         2270        90
10/02/2009   17:30         2260        90
10/02/2009   17:45         2260        90
10/02/2009   18:00         2240        90
10/02/2009   18:15         2240        90
10/02/2009   18:30         2230        90
10/02/2009   18:45         2210        90
10/02/2009   19:00         2210        90
10/02/2009   19:15         2190        90
10/02/2009   19:30         2180        90
10/02/2009   19:45         2180        90
10/02/2009   20:00         2180        90
10/02/2009   20:15         2160        90
10/02/2009   20:30         2150        90
10/02/2009   20:45         2150        90
10/02/2009   21:00         2130        90
10/02/2009   21:15         2130        90
10/02/2009   21:30         2120        90
10/02/2009   21:45         2100        90
10/02/2009   22:00         2100        90
10/02/2009   22:15         2100        90
10/02/2009   22:30         2090        90
10/02/2009   22:45         2070        90
10/02/2009   23:00         2070        90
10/02/2009   23:15         2060        90
10/02/2009   23:30         2040        90
10/02/2009   23:45         2040        90
10/03/2009   00:00         2040        90
10/03/2009   00:15         2030        90
10/03/2009   00:30         2020        90
10/03/2009   00:45         2020        90
10/03/2009   01:00         2000        90
10/03/2009   01:15         1970        90
10/03/2009   01:30         1990        90
10/03/2009   01:45         1990        90
10/03/2009   02:00         1960        90
10/03/2009   02:15         1960        90
10/03/2009   02:30         1960        90
10/03/2009   02:45         1960        90
10/03/2009   03:00         1930        90
10/03/2009   03:15         1930        90
10/03/2009   03:30         1930        90
10/03/2009   03:45         1890        90
10/03/2009   04:00         1900        90
10/03/2009   04:15         1900        90
10/03/2009   04:30         1890        90
10/03/2009   04:45         1890        90
10/03/2009   05:00         1890        90
10/03/2009   05:15         1860        90
10/03/2009   05:30         1860        90
10/03/2009   05:45         1850        90
10/03/2009   06:00         1840        90
10/03/2009   06:15         1840        90
10/03/2009   06:30         1810        90
10/03/2009   06:45         1810        90
10/03/2009   07:00         1800        90
10/03/2009   07:15         1790        90
10/03/2009   07:30         1790        90
10/03/2009   07:45         1770        90
10/03/2009   08:00         1750        90
10/03/2009   08:15         1750        90
10/03/2009   08:30         1730        90
10/03/2009   08:45         1720        90
10/03/2009   09:00         1720        90
10/03/2009   09:15         1710        90
10/03/2009   09:30         1700        90
10/03/2009   09:45         1690        90
10/03/2009   10:00         1660        90
10/03/2009   10:15         1660        90
10/03/2009   10:30         1660        90
10/03/2009   10:45         1630        90
10/03/2009   11:00         1640        90
10/03/2009   11:15         1630        90
10/03/2009   11:30         1600        90
10/03/2009   11:45         1600        90
10/03/2009   12:00         1580        90
10/03/2009   12:15         1580        90
10/03/2009   12:30         1580        90
10/03/2009   12:45         1570        90
10/03/2009   13:00         1560        90
10/03/2009   13:15         1530        90
10/03/2009   13:30         1550        90
10/03/2009   13:45         1530        90
10/03/2009   14:00         1520        90
10/03/2009   14:15         1510        90
10/03/2009   14:30         1480        90
10/03/2009   14:45         1470        90
10/03/2009   15:00         1470        90
10/03/2009   15:15         1480        90
10/03/2009   15:30         1460        90
10/03/2009   15:45         1470        90
10/03/2009   16:00         1460        90
10/03/2009   16:15         1470        90
10/03/2009   16:30         1460        90
10/03/2009   16:45         1450        90
10/03/2009   17:00         1440        90
10/03/2009   17:15         1430        90
10/03/2009   17:30         1450        90
10/03/2009   17:45         1440        90
10/03/2009   18:00         1440        90
10/03/2009   18:15         1430        90
10/03/2009   18:30         1430        90
10/03/2009   18:45         1420        90
10/03/2009   19:00         1420        90
10/03/2009   19:15         1410        90
10/03/2009   19:30         1410        90
10/03/2009   19:45         1400        90
10/03/2009   20:00         1400        90
10/03/2009   20:15         1390        90
10/03/2009   20:30         1390        90
10/03/2009   20:45         1390        90
10/03/2009   21:00         1380        90
10/03/2009   21:15         1370        90
10/03/2009   21:30         1370        90
10/03/2009   21:45         1370        90
10/03/2009   22:00         1360        90
10/03/2009   22:15         1360        90
10/03/2009   22:30         1360        90
10/03/2009   22:45         1360        90
10/03/2009   23:00         1340        90
10/03/2009   23:15         1340        90
10/03/2009   23:30         1330        90
10/03/2009   23:45         1340        90
10/04/2009   00:00         1320        90
10/04/2009   00:15         1320        90
10/04/2009   00:30         1320        90
10/04/2009   00:45         1320        90
10/04/2009   01:00         1310        90
10/04/2009   01:15         1300        90
10/04/2009   01:30         1300        90
10/04/2009   01:45         1300        90
10/04/2009   02:00         1300        90
10/04/2009   02:15         1290        90
10/04/2009   02:30         1290        90
10/04/2009   02:45         1290        90
10/04/2009   03:00         1280        90
10/04/2009   03:15         1260        90
10/04/2009   03:30         1260        90
10/04/2009   03:45         1260        90
10/04/2009   04:00         1260        90
10/04/2009   04:15         1260        90
10/04/2009   04:30         1220        90
10/04/2009   04:45         1200        90
10/04/2009   05:00         1200        90
10/04/2009   05:15         1200        90
10/04/2009   05:30         1200        90
10/04/2009   05:45         1200        90
10/04/2009   06:00         1180        90
10/04/2009   06:15         1160        90
10/04/2009   06:30         1180        90
