To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

05A070--Stillaguamish R. nr Silvana

DATE          TIME   Discharge (cfs)   QUALITY
----------   -----   ---------------   -------
06/30/2015   14:00               480       140
06/30/2015   14:15               480       140
06/30/2015   14:30               480       140
06/30/2015   14:45               480       140
06/30/2015   15:00               480       140
06/30/2015   15:15               465       140
06/30/2015   15:30               480       140
06/30/2015   15:45               465       140
06/30/2015   16:00               465       140
06/30/2015   16:15               465       140
06/30/2015   16:30               465       140
06/30/2015   16:45               465       140
06/30/2015   17:00               465       140
06/30/2015   17:15               480       140
06/30/2015   17:30               465       140
06/30/2015   17:45               465       140
06/30/2015   18:00               496       140
06/30/2015   18:15               480       140
06/30/2015   18:30               465       140
06/30/2015   18:45               480       140
06/30/2015   19:00               480       140
06/30/2015   19:15               496       140
06/30/2015   19:30               496       140
06/30/2015   20:07                         255
06/30/2015   20:45               512       140
06/30/2015   21:00               512       140
06/30/2015   21:15               512       140
06/30/2015   21:30               512       140
06/30/2015   21:45               512       140
06/30/2015   22:00               512       140
06/30/2015   22:15               512       140
06/30/2015   22:30               512       140
06/30/2015   22:45               512       140
06/30/2015   23:00               512       140
06/30/2015   23:15               512       140
06/30/2015   23:30               512       140
06/30/2015   23:45                         255
07/01/2015   00:00               512       140
07/01/2015   00:15               512       140
07/01/2015   00:30               512       140
07/01/2015   00:45               512       140
07/01/2015   01:00               512       140
07/01/2015   01:15               512       140
07/01/2015   01:30               512       140
07/01/2015   01:45               512       140
07/01/2015   02:00               512       140
07/01/2015   02:15               512       140
07/01/2015   02:30               512       140
07/01/2015   02:45               512       140
07/01/2015   03:00               512       140
07/01/2015   03:15               512       140
07/01/2015   03:30               512       140
07/01/2015   03:45               512       140
07/01/2015   04:00               512       140
07/01/2015   04:15               512       140
07/01/2015   04:30               512       140
07/01/2015   04:45               512       140
07/01/2015   05:00               512       140
07/01/2015   05:15               512       140
07/01/2015   05:30               512       140
07/01/2015   05:45               512       140
07/01/2015   06:00               512       140
07/01/2015   06:15               512       140
07/01/2015   06:30               512       140
07/01/2015   06:45               512       140
07/01/2015   07:00               512       140
07/01/2015   07:15               496       140
07/01/2015   07:30               496       140
07/01/2015   07:45               496       140
07/01/2015   08:00               496       140
07/01/2015   08:15               496       140
07/01/2015   08:30               480       140
07/01/2015   08:45               480       140
07/01/2015   09:00               465       140
07/01/2015   09:15               450       140
07/01/2015   09:30               465       140
07/01/2015   09:45               450       140
07/01/2015   10:00               450       140
07/01/2015   10:15               436       140
07/01/2015   10:30               465       140
07/01/2015   10:45               465       140
07/01/2015   11:00               450       140
07/01/2015   11:15               450       140
07/01/2015   11:30               465       140
07/01/2015   11:45               450       140
07/01/2015   12:00               465       140
07/01/2015   12:15               465       140
07/01/2015   12:30               450       140
07/01/2015   12:45               450       140
07/01/2015   13:00               450       140
07/01/2015   13:15               450       140
07/01/2015   13:30               450       140
07/01/2015   13:45               450       140
07/01/2015   14:00               450       140
07/01/2015   14:15               450       140
07/01/2015   14:30               436       140
07/01/2015   14:45               465       140
