To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

05A105--S.F. Stillaguamish R. @ Jordan Rd. Bridge

DATE         TIME    FLOW (cfs)   QUALITY
----------   -----   ----------   -------
10/01/2009   00:00          835         1
10/01/2009   00:15          835         1
10/01/2009   00:30          827         1
10/01/2009   00:45          804         1
10/01/2009   01:00          804         1
10/01/2009   01:15          789         1
10/01/2009   01:30          797         1
10/01/2009   01:45          782         1
10/01/2009   02:00          767         1
10/01/2009   02:15          774         1
10/01/2009   02:30          760         1
10/01/2009   02:45          753         1
10/01/2009   03:00          746         1
10/01/2009   03:15          746         1
10/01/2009   03:30          725         1
10/01/2009   03:45          725         1
10/01/2009   04:00          718         1
10/01/2009   04:15          711         1
10/01/2009   04:30          704         1
10/01/2009   04:45          697         1
10/01/2009   05:00          691         1
10/01/2009   05:15          691         1
10/01/2009   05:30          684         1
10/01/2009   05:45          671         1
10/01/2009   06:00          677         1
10/01/2009   06:15          677         1
10/01/2009   06:30          664         1
10/01/2009   06:45          664         1
10/01/2009   07:00          651         1
10/01/2009   07:15          645         1
10/01/2009   07:30          639         1
10/01/2009   07:45          645         1
10/01/2009   08:00          633         1
10/01/2009   08:15          633         1
10/01/2009   08:30          626         1
10/01/2009   08:45          620         1
10/01/2009   09:00          614         1
10/01/2009   09:15          608         1
10/01/2009   09:30          614         1
10/01/2009   09:45          602         1
10/01/2009   10:00          596         1
10/01/2009   10:15          596         1
10/01/2009   10:30          596         1
10/01/2009   10:45          591         1
10/01/2009   11:00          591         1
10/01/2009   11:15          579         1
10/01/2009   11:30          585         1
10/01/2009   11:45          579         1
10/01/2009   12:00          573         1
10/01/2009   12:15          579         1
10/01/2009   12:30          573         1
10/01/2009   12:45          562         1
10/01/2009   13:00          567         1
10/01/2009   13:15          556         1
10/01/2009   13:30          556         1
10/01/2009   13:45          562         1
10/01/2009   14:00          562         1
10/01/2009   14:15          550         1
10/01/2009   14:30          543         1
10/01/2009   14:45          556         1
10/01/2009   15:00          550         1
10/01/2009   15:15          543         1
10/01/2009   15:30          550         1
10/01/2009   15:45          543         1
10/01/2009   16:00          537         1
10/01/2009   16:15          550         1
10/01/2009   16:30          543         1
10/01/2009   16:45          550         1
10/01/2009   17:00          537         1
10/01/2009   17:15          543         1
10/01/2009   17:30          543         1
10/01/2009   17:45          543         1
10/01/2009   18:00          550         1
10/01/2009   18:15          556         1
10/01/2009   18:30          562         1
10/01/2009   18:45          556         1
10/01/2009   19:00          562         1
10/01/2009   19:15          562         1
10/01/2009   19:30          562         1
10/01/2009   19:45          567         1
10/01/2009   20:00          567         1
10/01/2009   20:15          567         1
10/01/2009   20:30          573         1
10/01/2009   20:45          573         1
10/01/2009   21:00          585         1
10/01/2009   21:15          590         1
10/01/2009   21:30          602         1
10/01/2009   21:45          626         1
10/01/2009   22:00          711         1
10/01/2009   22:15         1050         1
10/01/2009   22:30         1200         1
10/01/2009   22:45         1300         1
10/01/2009   23:00         1380         1
10/01/2009   23:15         1430         1
10/01/2009   23:30         1430         1
10/01/2009   23:45         1450         1
10/02/2009   00:00         1450         1
10/02/2009   00:15         1440         1
10/02/2009   00:30         1450         1
10/02/2009   00:45         1440         1
10/02/2009   01:00         1450         1
10/02/2009   01:15         1450         1
10/02/2009   01:30         1490         1
10/02/2009   01:45         1490         1
10/02/2009   02:00         1510         1
10/02/2009   02:15         1570         1
10/02/2009   02:30         1620         1
10/02/2009   02:45         1670         1
10/02/2009   03:00         1680         1
10/02/2009   03:15         1720         1
10/02/2009   03:30         1690         1
10/02/2009   03:45         1730         1
10/02/2009   04:00         1730         1
10/02/2009   04:15         1730         1
10/02/2009   04:30         1740         1
10/02/2009   04:45         1740         1
10/02/2009   05:00         1740         1
10/02/2009   05:15         1740         1
10/02/2009   05:30         1750         1
10/02/2009   05:45         1730         1
10/02/2009   06:00         1700         1
10/02/2009   06:15         1690         1
10/02/2009   06:30         1680         1
10/02/2009   06:45         1650         1
10/02/2009   07:00         1620         1
10/02/2009   07:15         1600         1
10/02/2009   07:30         1600         1
10/02/2009   07:45         1570         1
10/02/2009   08:00         1560         1
10/02/2009   08:15         1540         1
10/02/2009   08:30         1520         1
10/02/2009   08:45         1500         1
10/02/2009   09:00         1490         1
10/02/2009   09:15         1450         1
10/02/2009   09:30         1460         1
10/02/2009   09:45         1430         1
10/02/2009   10:00         1390         1
10/02/2009   10:15         1410         1
10/02/2009   10:30         1390         1
10/02/2009   10:45         1360         1
10/02/2009   11:00         1340         1
10/02/2009   11:15         1320         1
10/02/2009   11:30         1320         1
10/02/2009   11:45         1290         1
10/02/2009   12:00         1270         1
10/02/2009   12:15         1270         1
10/02/2009   12:30         1240         1
10/02/2009   12:45         1240         1
10/02/2009   13:00         1220         1
10/02/2009   13:15         1220         1
10/02/2009   13:30         1200         1
10/02/2009   13:45         1190         1
10/02/2009   14:00         1180         1
10/02/2009   14:15         1170         1
10/02/2009   14:30         1180         1
10/02/2009   14:45         1180         1
10/02/2009   15:00         1150         1
10/02/2009   15:15         1150         1
10/02/2009   15:30         1130         1
10/02/2009   15:45         1140         1
10/02/2009   16:00         1140         1
10/02/2009   16:15         1120         1
10/02/2009   16:30         1130         1
10/02/2009   16:45         1110         1
10/02/2009   17:00         1110         1
10/02/2009   17:15         1120         1
10/02/2009   17:30         1100         1
10/02/2009   17:45         1100         1
10/02/2009   18:00         1090         1
10/02/2009   18:15         1090         1
10/02/2009   18:30         1090         1
10/02/2009   18:45         1070         1
10/02/2009   19:00         1060         1
10/02/2009   19:15         1080         1
10/02/2009   19:30         1050         1
10/02/2009   19:45         1060         1
10/02/2009   20:00         1050         1
10/02/2009   20:15         1050         1
10/02/2009   20:30         1050         1
10/02/2009   20:45         1050         1
10/02/2009   21:00         1050         1
10/02/2009   21:15         1040         1
10/02/2009   21:30         1030         1
10/02/2009   21:45         1020         1
10/02/2009   22:00         1040         1
10/02/2009   22:15         1020         1
10/02/2009   22:30         1000         1
10/02/2009   22:45         1000         1
10/02/2009   23:00          993         1
10/02/2009   23:15          993         1
10/02/2009   23:30          985         1
10/02/2009   23:45          976         1
10/03/2009   00:00          968         1
10/03/2009   00:15          959         1
10/03/2009   00:30          968         1
10/03/2009   00:45          942         1
10/03/2009   01:00          950         1
10/03/2009   01:15          942         1
10/03/2009   01:30          942         1
10/03/2009   01:45          933         1
10/03/2009   02:00          924         1
10/03/2009   02:15          916         1
10/03/2009   02:30          916         1
10/03/2009   02:45          908         1
10/03/2009   03:00          908         1
10/03/2009   03:15          891         1
10/03/2009   03:30          891         1
10/03/2009   03:45          866         1
10/03/2009   04:00          875         1
10/03/2009   04:15          875         1
10/03/2009   04:30          858         1
10/03/2009   04:45          850         1
10/03/2009   05:00          850         1
10/03/2009   05:15          835         1
10/03/2009   05:30          827         1
10/03/2009   05:45          827         1
10/03/2009   06:00          827         1
10/03/2009   06:15          819         1
10/03/2009   06:30          812         1
10/03/2009   06:45          804         1
10/03/2009   07:00          812         1
10/03/2009   07:15          804         1
10/03/2009   07:30          789         1
10/03/2009   07:45          789         1
10/03/2009   08:00          789         1
10/03/2009   08:15          781         1
10/03/2009   08:30          781         1
10/03/2009   08:45          767         1
10/03/2009   09:00          760         1
10/03/2009   09:15          774         1
10/03/2009   09:30          760         1
10/03/2009   09:45          752         1
10/03/2009   10:00          745         1
10/03/2009   10:15          745         1
10/03/2009   10:30          745         1
10/03/2009   10:45          745         1
10/03/2009   11:00          724         1
10/03/2009   11:15          731         1
10/03/2009   11:30          731         1
10/03/2009   11:45          731         1
10/03/2009   12:00          724         1
10/03/2009   12:15          717         1
10/03/2009   12:30          704         1
10/03/2009   12:45          704         1
10/03/2009   13:00          697         1
10/03/2009   13:15          697         1
10/03/2009   13:30          690         1
10/03/2009   13:45          697         1
10/03/2009   14:00          697         1
10/03/2009   14:15          684         1
10/03/2009   14:30          690         1
10/03/2009   14:45          670         1
10/03/2009   15:00          684         1
10/03/2009   15:15          670         1
10/03/2009   15:30          664         1
10/03/2009   15:45          670         1
10/03/2009   16:00          664         1
10/03/2009   16:15          658         1
10/03/2009   16:30          651         1
10/03/2009   16:45          658         1
10/03/2009   17:00          658         1
10/03/2009   17:15          651         1
10/03/2009   17:30          639         1
10/03/2009   17:45          639         1
10/03/2009   18:00          639         1
10/03/2009   18:15          632         1
10/03/2009   18:30          632         1
10/03/2009   18:45          632         1
10/03/2009   19:00          632         1
10/03/2009   19:15          632         1
10/03/2009   19:30          620         1
10/03/2009   19:45          620         1
10/03/2009   20:00          614         1
10/03/2009   20:15          620         1
10/03/2009   20:30          620         1
10/03/2009   20:45          614         1
10/03/2009   21:00          614         1
10/03/2009   21:15          608         1
10/03/2009   21:30          608         1
10/03/2009   21:45          596         1
10/03/2009   22:00          596         1
10/03/2009   22:15          596         1
10/03/2009   22:30          602         1
10/03/2009   22:45          590         1
10/03/2009   23:00          596         1
10/03/2009   23:15          584         1
10/03/2009   23:30          584         1
10/03/2009   23:45          579         1
10/04/2009   00:00          584         1
10/04/2009   00:15          579         1
10/04/2009   00:30          584         1
10/04/2009   00:45          584         1
10/04/2009   01:00          567         1
10/04/2009   01:15          579         1
10/04/2009   01:30          573         1
10/04/2009   01:45          567         1
10/04/2009   02:00          567         1
10/04/2009   02:15          562         1
10/04/2009   02:30          562         1
10/04/2009   02:45          567         1
10/04/2009   03:00          549         1
10/04/2009   03:15          556         1
10/04/2009   03:30          549         1
10/04/2009   03:45          556         1
10/04/2009   04:00          549         1
10/04/2009   04:15          549         1
10/04/2009   04:30          543         1
10/04/2009   04:45          543         1
10/04/2009   05:00          530         1
10/04/2009   05:15          543         1
10/04/2009   05:30          537         1
10/04/2009   05:45          537         1
10/04/2009   06:00          530         1
10/04/2009   06:15          530         1
10/04/2009   06:30          524         1
10/04/2009   06:45          524         1
10/04/2009   07:00          524         1
10/04/2009   07:15          524         1
10/04/2009   07:30          524         1
10/04/2009   07:45          524         1
10/04/2009   08:00          524         1
10/04/2009   08:15          524         1
10/04/2009   08:30          512         1
10/04/2009   08:45          512         1
10/04/2009   09:00          518         1
10/04/2009   09:15          518         1
10/04/2009   09:30          512         1
10/04/2009   09:45          512         1
10/04/2009   10:00          506         1
10/04/2009   10:15          500         1
