To download this data for use in a spreadsheet, such as Microsoft Excel,
you must save this table as a text file using File->Save As... in your
browser.  You can then import that text file into your spreadsheet program.
For mean daily tables, data values are for the dates listed starting at
midnight PST.

A key to quality codes for this data set appears at the end of this file.

05A105--S.F. Stillaguamish R. @ Jordan Rd. Bridge

DATE          TIME   Discharge (cfs)   QUALITY
----------   -----   ---------------   -------
10/01/2015   00:00               222         2
10/01/2015   00:15               226         2
10/01/2015   00:30               226         2
10/01/2015   00:45               222         2
10/01/2015   01:00               226         2
10/01/2015   01:15               226         2
10/01/2015   01:30               222         2
10/01/2015   01:45               226         2
10/01/2015   02:00               222         2
10/01/2015   02:15               222         2
10/01/2015   02:30               222         2
10/01/2015   02:45               222         2
10/01/2015   03:00               222         2
10/01/2015   03:15               222         2
10/01/2015   03:30               222         2
10/01/2015   03:45               222         2
10/01/2015   04:00               222         2
10/01/2015   04:15               222         2
10/01/2015   04:30               222         2
10/01/2015   04:45               218         2
10/01/2015   05:00               222         2
10/01/2015   05:15               222         2
10/01/2015   05:30               218         2
10/01/2015   05:45               218         2
10/01/2015   06:00               218         2
10/01/2015   06:15               218         2
10/01/2015   06:30               218         2
10/01/2015   06:45               218         2
10/01/2015   07:00               218         2
10/01/2015   07:15               218         2
10/01/2015   07:30               218         2
10/01/2015   07:45               218         2
10/01/2015   08:00               218         2
10/01/2015   08:15               218         2
10/01/2015   08:30               222         2
10/01/2015   08:45               218         2
10/01/2015   09:00               222         2
10/01/2015   09:15               222         2
10/01/2015   09:30               222         2
10/01/2015   09:45               222         2
10/01/2015   10:00               218         2
10/01/2015   10:15               218         2
10/01/2015   10:30               226         2
10/01/2015   10:45               218         2
10/01/2015   11:00               222         2
10/01/2015   11:15               222         2
10/01/2015   11:30               226         2
10/01/2015   11:45               222         2
10/01/2015   12:00               218         2
10/01/2015   12:15               222         2
10/01/2015   12:30               226         2
10/01/2015   12:45               207         2
10/01/2015   13:00               218         2
10/01/2015   13:15               207         2
10/01/2015   13:30               207         2
10/01/2015   13:45               222         2
10/01/2015   14:00               207         2
10/01/2015   14:15               211         2
10/01/2015   14:30               207         2
10/01/2015   14:45               215         2
10/01/2015   15:00               218         2
10/01/2015   15:15               222         2
10/01/2015   15:30               222         2
10/01/2015   15:45               238         2
10/01/2015   16:00               234         2
10/01/2015   16:15               230         2
10/01/2015   16:30               226         2
10/01/2015   16:45               222         2
10/01/2015   17:00               222         2
10/01/2015   17:15               222         2
10/01/2015   17:30               222         2
10/01/2015   17:45               222         2
10/01/2015   18:00               219         2
10/01/2015   18:15               219         2
10/01/2015   18:30               219         2
10/01/2015   18:45               219         2
10/01/2015   19:00               219         2
10/01/2015   19:15               219         2
10/01/2015   19:30               219         2
10/01/2015   19:45               219         2
10/01/2015   20:00               219         2
10/01/2015   20:15               219         2
10/01/2015   20:30               215         2
10/01/2015   20:45               219         2
10/01/2015   21:00               215         2
10/01/2015   21:15               215         2
