"date","A","B","C","E","F","H","I","J","L","M","N","O","P","Q","R","U","W","X","Z","ZA"
1900-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3794.1935483871,NA,NA,NA,NA,NA,2517.41935483871,NA
1900-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2756.07142857143,NA,NA,NA,NA,NA,919.535714285714,NA
1900-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3822.90322580645,NA,NA,NA,NA,NA,3163.06451612903,NA
1900-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2574.66666666667,NA,NA,NA,NA,NA,1743.13333333333,NA
1900-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3057.41935483871,NA,NA,NA,NA,NA,1918.70967741935,NA
1900-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2812.66666666667,NA,NA,NA,NA,NA,2789.66666666667,NA
1900-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2142.5,NA,NA,NA,NA,NA,1254.25806451613,NA
1900-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,940.354838709677,NA
1900-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,671.6,NA
1900-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1327,NA
1900-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1649.06666666667,NA
1900-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4410.64516129032,NA
1901-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1818.38709677419,NA
1901-02-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1658.78571428571,NA
1901-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1447.41935483871,NA
1901-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956.766666666667,NA
1901-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2183.22580645161,NA
1901-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2159.33333333333,NA
1901-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1641.61290322581,NA
1901-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1172.54838709677,NA
1901-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,711.266666666667,NA
1901-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663.548387096774,NA
1901-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3207.56666666667,NA
