Washington, Climate Division 3, Palmer Hydrological Drought Index (PHDI), January-December
Base Period: 1970-2014
Date,Value,Anomaly
197012,-0.62,-0.89
197112,2.02,1.75
197212,3.13,2.86
197312,-0.67,-0.94
197412,1.51,1.24
197512,0.76,0.49
197612,1.29,1.02
197712,-1.55,-1.82
197812,0.49,0.22
197912,-2.11,-2.38
198012,0.04,-0.23
198112,1.19,0.92
198212,1.89,1.62
198312,1.48,1.21
198412,2.28,2.01
198512,-1.35,-1.62
198612,-0.36,-0.63
198712,-2.02,-2.29
198812,-1.99,-2.26
198912,-0.89,-1.16
199012,0.95,0.68
199112,0.93,0.66
199212,-2.67,-2.94
199312,-1.48,-1.75
199412,-2.56,-2.83
199512,-0.85,-1.12
199612,2.54,2.27
199712,4.63,4.36
199812,0.80,0.53
199912,3.09,2.82
200012,0.90,0.63
200112,-0.74,-1.01
200212,0.13,-0.14
200312,-2.30,-2.57
200412,-2.16,-2.43
200512,-1.41,-1.68
200612,0.14,-0.13
200712,0.57,0.30
200812,-0.25,-0.52
200912,-0.75,-1.02
201012,1.07,0.80
201112,2.70,2.43
201212,1.61,1.34
201312,1.21,0.94
201412,1.32,1.05
