Washington, Climate Division 3, Average Temperature
Units: Degrees Fahrenheit,,
Base Period: 1970-2014,,
Date,Value,Anomaly
197012,49.7,-0.9
197112,49,-1.6
197212,49,-1.6
197312,49.8,-0.8
197412,50.3,-0.3
197512,49.2,-1.4
197612,49.8,-0.8
197712,50,-0.6
197812,50.4,-0.2
197912,50.6,0
198012,50.4,-0.2
198112,51.2,0.6
198212,49.7,-0.9
198312,50.9,0.3
198412,49.9,-0.7
198512,48.6,-2
198612,51.3,0.7
198712,51.9,1.3
198812,50.8,0.2
198912,50.5,-0.1
199012,50.8,0.2
199112,50.9,0.3
199212,52.4,1.8
199312,50.3,-0.3
199412,51.4,0.8
199512,52,1.4
199612,50.1,-0.5
199712,51.7,1.1
199812,52.1,1.5
199912,50.5,-0.1
200012,50.4,-0.2
200112,50.3,-0.3
200212,50.7,0.1
200312,51.9,1.3
200412,52.5,1.9
200512,51.6,1
200612,51.3,0.7
200712,50.5,-0.1
200812,49.7,-0.9
200912,50.4,-0.2
201012,51.2,0.6
201112,49.4,-1.2
201212,50.5,-0.1
201312,50.9,0.3
201412,52.5,1.9
