"","PC1","PC2"
"A",-3.00713137347211,0.972675188925377
"B",-2.15729353954337,1.14325964335392
"C",0.153039683351906,0.132361582690924
"E",-2.75630761051392,-1.50292429701026
"F",3.28421178709355,1.78336627952278
"G",-0.208927408790888,-2.33877505010409
"H",0.163383878228562,-0.0998048389613526
"I",3.94258742123173,-0.274695532640475
"J",0.574525286909518,2.18757354626303
"L",0.274245366545039,-1.48155486117001
"M",-2.97322499403477,0.982730110842742
"N",0.192314839545,0.644295199075779
"O",-1.63022059002995,0.190175146784072
"P",0.18294555695686,0.554978584054728
"Q",-0.594324809803059,0.0191350147944297
"R",1.29197448616238,-0.740829848690741
"S",0.357704970451464,-1.81704738806212
"T",-0.346108272579353,-2.4554303663497
"U",0.276472520604109,-2.25034756084053
"V",0.626778829495185,-1.4769007010979
"W",3.6924738278375,2.20340185469419
"X",1.44269838993851,0.262334459199795
"Z",2.73921982896644,1.27139939878485
"ZA",-5.52103807455034,2.09062443594056
