"","PCo1","PCo2"
"A",-0.217379202482424,0.177003342951594
"B",-0.159044671352759,0.158644880095641
"C",0.0215469954260347,-0.0304755393358763
"E",-0.187705612442994,-0.110151133933706
"F",0.273869400416685,0.0929106792443131
"G",-0.0172211384840327,-0.158808655005692
"H",0.000199641793519584,-0.0837497053113226
"I",0.313790144827611,-0.100979678449875
"J",0.0173055797237965,0.0738110562483829
"L",0.0838774398250728,-0.0506794387499999
"M",-0.226071311520271,0.0225822396658643
"N",-0.0084495084129866,0.144705583290354
"O",-0.123153517416578,0.143905359760009
"P",0.0148871015546443,-0.0474069982960721
"Q",-0.0435052608282046,-0.0588191247773861
"R",0.0828601960801162,-0.0957152011850832
"S",0.0171203014153366,-0.115837464898669
"T",-0.0371611856296609,-0.152294548719442
"U",0.0169993737738808,-0.146401720648563
"V",0.0411894556761098,-0.104879206797807
"W",0.252676242494506,0.221164124416954
"X",0.102707426446931,-0.00786212133582619
"Z",0.166704458889125,0.211494649216862
"ZA",-0.38604234977346,0.0178386225553433
