"Site","Slope","Lower 95","Upper 95","Kendall Tau","z","p value"
"A","0.02","-0.01","0.04","0.09","1.4","0.16"
"B","0.02","-0.12","0.15","0.05","0.25","0.8"
"C","0","-0.02","0.03","0.01","0.26","0.8"
"E","0","-0.02","0.03","0.02","0.28","0.78"
"F","0.02","-0.01","0.04","0.09","1.23","0.22"
"G","0.01","-0.02","0.04","0.04","0.63","0.53"
"H","-0.02","-0.04","0.01","-0.08","-1.35","0.18"
"I","0.02","-0.14","0.18","0.08","0.32","0.75"
"J","-0.02","-0.04","0","-0.09","-1.55","0.12"
"L","0.02","-0.01","0.04","0.13","1.42","0.16"
"M","-0.01","-0.03","0.01","-0.06","-0.95","0.34"
"N","0","-0.02","0.02","-0.02","-0.39","0.7"
"O","0.01","-0.01","0.02","0.07","0.98","0.33"
"P","0","-0.03","0.03","0.01","0.07","0.94"
"Q","0.02","-0.14","0.19","0.05","0.25","0.8"
"R","-0.01","-0.04","0.02","-0.04","-0.67","0.51"
"S","0.03","-0.18","0.24","0.07","0.32","0.75"
"T","0.02","-0.01","0.05","0.09","1.44","0.15"
"U","0.02","-0.01","0.05","0.09","1.41","0.16"
"V","0.06","-0.13","0.25","0.15","0.65","0.52"
"W","0.01","-0.01","0.03","0.08","1.09","0.27"
"X","-0.02","-0.04","0.01","-0.07","-1.19","0.23"
"Z","-0.03","-0.23","0.16","-0.09","-0.36","0.72"
"ZA","0","-0.35","0.38","0","-0.01","1"
