Site code,Perenn. ice,Runoff,Bedrock dep.,Water tbl. dep.,Soil perm.,Aspect,BFI,Rip. pop. dens.,Imp. surf.,Urb.,Road dens.
A,0.3,1238.8,143,135.1,14.2,290.6,61.3,81.6,2.9,5.5,3.4
B,2.2,1169.4,140.8,134.6,12.3,295.6,61.1,148.8,4.3,8.2,3.9
C,0,1714.2,139.3,127.2,9,269.1,58.4,26.9,1.2,2.2,1.4
E,0.2,1546,143.2,118.4,12,252.7,52.8,29.2,2.4,5.3,1.8
F,0.6,1998.6,133.5,145.3,7.5,260.8,61.3,5.6,0.6,1.2,0.6
G,0,2563.9,139.8,126.9,7.4,261.5,52,19.6,0.9,1.6,1.3
H,0.3,2255.7,137.2,135,10.9,277.8,57.2,38,1.7,3.5,1.9
I,0.1,1993.8,95.7,172.8,4.7,87.4,54.3,1,0.1,0,0.2
J,0.1,1204.2,145.8,144.4,12.2,295.1,61.5,48.2,2.3,4.5,1.7
L,0.1,1900,112.6,143,7.3,139.2,52.3,2.7,0.5,0.3,1.4
M,0.2,1261.1,139.8,157,17.1,317.2,59.4,70.4,2.1,3.5,2.9
N,0,1165,135.5,152.4,7.7,284.9,59.4,5,0.8,0.9,3.1
O,2.5,1239.9,141.1,139.2,10.4,271.3,59,4.3,0.7,0.5,2.6
P,0,2087.7,135.8,153.4,16.5,243,58.3,18.3,1.4,2.5,2
Q,4,2097.9,139.4,136.8,13.8,270.5,58.6,33.1,1.6,3.1,2.6
R,1.8,2605.6,133.1,143.8,9.3,277.5,56.4,11.1,1,2.1,1.1
S,0,2545,134.5,137.1,6.8,276,54.9,9.4,0.7,1.1,1
T,0,2557.2,137.6,129.5,6.9,280.1,52,23.4,1.1,1.9,1.4
U,0.1,2568.8,140.5,127.9,7.2,272.5,53.1,5.2,0.6,1,1
V,0.1,2562.5,138.2,134.1,6.4,254.4,57.4,3.7,0.5,0.7,1.1
W,3,1806.4,132.1,150.4,6.5,253.8,65.3,0.3,0.5,1.1,0.2
X,0,1715.1,136.6,137.1,7.2,257.9,58.7,5.4,0.6,0.8,1.2
Z,4.4,1599.4,118.3,175,7,323.4,60.4,1,0.1,0,0.2
ZA,2.3,1264.4,143.2,124.1,20.6,339.4,64.2,529.7,14.6,29,6.6
