"","R","m","LogLik","K","AICc","AIC","converged","filter","method","iter","n"
"1","diagonal and equal",1,-1080.79814990085,27,2217.52241445139,2215.59629980171,0,"MARSSkfas","BFGS",20,813
"2","diagonal and equal",2,-1050.80766113177,52,2212.86795384249,2205.61532226354,0,"MARSSkfas","BFGS",5,813
"3","diagonal and equal",3,-1026.01201153293,76,2219.9261969789,2204.02402306585,0,"MARSSkfas","BFGS",6,813
"4","diagonal and equal",4,-1003.10434267127,99,2231.97867131729,2204.20868534254,0,"MARSSkfas","BFGS",91,813
"5","diagonal and unequal",1,-1033.11380969621,51,2175.19739600215,2168.22761939242,0,"MARSSkfas","BFGS",67,813
"6","diagonal and unequal",2,-962.933571851876,76,2093.7693176168,2077.86714370375,0,"MARSSkfas","BFGS",15,813
"7","diagonal and unequal",3,-930.418466037203,100,2089.20771859126,2060.83693207441,0,"MARSSkfas","BFGS",278,813
"8","diagonal and unequal",4,-903.767883312577,123,2097.80862584141,2053.53576662515,0,"MARSSkfas","BFGS",445,813
"9","equalvarcov",1,-1051.51627066872,28,2161.10396990887,2159.03254133744,0,"MARSSkfas","kem",62,813
"10","equalvarcov",2,-1028.62143779833,53,2170.78437757295,2163.24287559666,0,"MARSSkfas","kem",6076,813
"11","equalvarcov",3,-1007.17664507881,77,2184.69614730047,2168.35329015762,10,"MARSSkfas","kem",20000,813
"12","equalvarcov",4,-987.827578850417,100,2204.02594421769,2175.65515770083,10,"MARSSkfas","kem",20000,813
