"","R","m","LogLik","K","AICc","AIC","converged","filter","method","iter","n"
"1","diagonal and equal",1,-1082.72862181791,27,2221.38090775797,2219.45724363583,0,"MARSSkfas","BFGS",25,814
"2","diagonal and equal",2,-1032.27566276037,52,2175.79442670339,2168.55132552073,0,"MARSSkfas","BFGS",4,814
"3","diagonal and equal",3,-1010.37952322394,76,2188.6396434628,2172.75904644787,0,"MARSSkfas","BFGS",8,814
"4","diagonal and equal",4,-989.91300128429,99,2205.55709500555,2177.82600256858,0,"MARSSkfas","BFGS",5,814
"5","diagonal and unequal",1,-1076.2524929522,51,2261.46561582567,2254.50498590441,0,"MARSSkfas","BFGS",50,814
"6","diagonal and unequal",2,-1017.99222167382,76,2203.86504036257,2187.98444334765,0,"MARSSkfas","BFGS",4,814
"7","diagonal and unequal",3,-996.746740357007,100,2221.82447650644,2193.49348071401,0,"MARSSkfas","BFGS",4,814
"8","diagonal and unequal",4,-970.228253972046,123,2230.66520359627,2186.45650794409,0,"MARSSkfas","BFGS",6,814
"9","equalvarcov",1,-1044.80324355204,28,2147.67527691299,2145.60648710407,0,"MARSSkfas","kem",355,814
"10","equalvarcov",2,-1020.8816523946,53,2155.29488373656,2147.76330478919,0,"MARSSkfas","kem",551,814
"11","equalvarcov",3,-996.213580405926,77,2162.74781298577,2146.42716081185,0,"MARSSkfas","kem",916,814
"12","equalvarcov",4,-982.842557454574,100,2194.01611070157,2165.68511490915,0,"MARSSkfas","kem",752,814
