"","R","m","LogLik","K","AICc","AIC","converged","filter","method","iter","n"
"1","diagonal and equal",1,-849.184534998268,27,1754.37437503632,1752.36906999654,0,"MARSSkfas","BFGS",20,782
"2","diagonal and equal",1,-849.184534998268,27,1754.37437503632,1752.36906999654,0,"MARSSkfas","BFGS",20,782
"3","diagonal and equal",2,-804.629838888823,52,1720.82072030165,1713.25967777765,0,"MARSSkfas","BFGS",7,782
"4","diagonal and equal",1,-849.184534998268,27,1754.37437503632,1752.36906999654,0,"MARSSkfas","BFGS",20,782
"5","diagonal and equal",2,-804.629838888823,52,1720.82072030165,1713.25967777765,0,"MARSSkfas","BFGS",7,782
"6","diagonal and equal",3,-763.049368610984,76,1694.70015566169,1678.09873722197,0,"MARSSkfas","BFGS",400,782
"7","diagonal and equal",4,-728.467061434092,99,1683.9663809327,1654.93412286818,0,"MARSSkfas","BFGS",11,782
"8","diagonal and unequal",1,-819.239382522729,51,1747.74451847012,1740.47876504546,0,"MARSSkfas","BFGS",136,782
"9","diagonal and unequal",2,-742.575329755299,76,1653.75207795032,1637.1506595106,0,"MARSSkfas","BFGS",5,782
"10","diagonal and unequal",3,-688.089623972869,100,1605.84150932606,1576.17924794574,0,"MARSSkfas","BFGS",6,782
"11","diagonal and unequal",4,-652.803182382579,123,1597.96502737914,1551.60636476516,0,"MARSSkfas","BFGS",498,782
"12","equalvarcov",1,-843.259052173839,28,1744.67481085498,1742.51810434768,0,"MARSSkfas","kem",200,782
"13","equalvarcov",2,-795.667630035843,53,1705.19789743432,1697.33526007169,0,"MARSSkfas","kem",301,782
"14","equalvarcov",3,-744.920784184444,77,1660.90406836889,1643.84156836889,0,"MARSSkfas","kem",13689,782
"15","equalvarcov",4,-713.360746240092,100,1656.38375386051,1626.72149248018,0,"MARSSkfas","kem",12210,782
