"","R","m","cov","seasonality","nparams","NLL","AIC","min_R2","median_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DE",1,"at","fixed_factors",337,13440.4096281163,27554.8192562327,0.785384385240357,0.951062640132245,0.976827543875312,8,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.609053618382406,0.592532535981081,0.533210343754369,-0.392585933122394,0.38449959428039,-0.326685275723896",NA,NA,NA,"WtDepWs,PctIce2011Ws,ElevWs,PctAlluvCoastWs,RunoffWs,BFIWs",NA,"-0.487795987475473,-0.469888438057377,-0.455929989399988,0.448879723362616,0.425996818455552,-0.415233656370421",NA
"2","DE",1,"mt","fixed_factors",337,13454.154653729,27582.3093074581,0.784365171678122,0.950710050406592,0.9769121575743,7,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.636947195321239,0.585702117147676,0.550872004735625,-0.420394590202938,0.396944734823163,-0.34097846695752",NA,NA,NA,"RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,PctGlacLakeFineWs,BFIWs",NA,"0.435369313940473,0.375643967641956,-0.369865787994065,-0.366173316254756,0.360745250126597,-0.35442069659109",NA
"3","DE",1,"pc","fixed_factors",337,13537.6732547628,27749.3465095255,0.785277726439781,0.950489780533264,0.97707308172789,33,5,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.618186468721358,0.589685663686182,0.547769464130284,-0.436046733552913,0.411158938498329,-0.366381630631558",NA,NA,NA,"ElevWs,WsAreaSqKm,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,OmWs",NA,"-0.591871229306513,-0.442781460693401,0.441848507678519,0.413841711346778,0.390771127327788,0.385031712322007",NA
"4","DE",1,"hdr","fixed_factors",337,13474.0122102815,27622.024420563,0.784898260855656,0.950409814016931,0.977751820577708,8,1,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.683637062142376,0.571913335354037,0.557808516122189,-0.50159128197038,0.463770385028581,-0.370891014333994",NA,NA,NA,"ElevWs,WtDepWs,PctUrbOp2011WsRp100,RdDensWsRp100,PctIce2011Ws,PctUrbLo2011WsRp100",NA,"-0.609921876044513,-0.577088102810895,0.558391036059719,0.531897218566333,-0.529287754572662,0.457916751815608",NA
"5","DE",1,"hd","fixed_factors",337,13444.3913657428,27562.7827314856,0.785870624037714,0.951053592390469,0.976845076876588,8,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.604015344051376,0.599331821255678,0.527043102645653,-0.394995695983172,0.379242682177903,-0.331468114543415",NA,NA,NA,"WtDepWs,ElevWs,PctIce2011Ws,PctAlluvCoastWs,RckDepWs,BFIWs",NA,"0.498446013044681,0.491249995779747,0.470402895679096,-0.467106272637739,-0.416240854885985,0.411105526668561",NA
"6","DE",1,"atpc","fixed_factors",361,13420.7854652089,27563.5709304179,0.785816792053896,0.951109340226142,0.976884887767993,33,5,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.609950513438015,0.591018573151777,0.534737721580947,-0.392716540202724,0.383993289551652,-0.327587180837648",NA,NA,NA,"WtDepWs,PctIce2011Ws,ElevWs,PctAlluvCoastWs,RunoffWs,BFIWs","ElevWs,WsAreaSqKm,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,OmWs,PctImp2006WsRp100","-0.484796751355626,-0.469964072198662,-0.447677369983626,0.44451142344765,0.430488526672497,-0.414234269358734","-0.543027333226472,-0.440979506591194,0.429471376165478,0.393815797284671,0.379417224486808,0.375898763876146"
"7","DE",1,"none","fixed_factors",313,13557.9002420173,27741.8004840346,0.784960439900977,0.950435265020379,0.9769973313124,8,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.618444554847461,0.590007444553479,0.547821137057722,-0.436389388801518,0.412136248396481,-0.365920624119215",NA,NA,NA,NA,NA,NA,NA
"8","DE",1,"at","fourier",97,13992.7751404496,28179.5502808992,0.76197109844501,0.94090593290203,0.975506648389796,25,3,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.64416738361498,-0.534920470761624,0.516637194302989,-0.390660214587055,-0.340140173082905,0.338375749371916",NA,NA,NA,"RunoffWs,PctAlluvCoastWs,PctIce2011Ws,BFIWs,RckDepWs,WtDepWs",NA,"0.525900416263514,0.364784652100413,-0.349194441711641,-0.328038370895039,0.25999753978321,-0.236587316378461",NA
"9","DE",1,"mt","fourier",97,13976.0197200105,28146.0394400211,0.763183015625074,0.940350105995244,0.975487976238479,7,1,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.642179296342305,-0.573724548170861,0.540500577131585,-0.4289858861827,-0.362608223096054,0.355159669604791",NA,NA,NA,"RunoffWs,PctAlluvCoastWs,BFIWs,PctIce2011Ws,RckDepWs,PctGlacLakeFineWs",NA,"0.503237349551129,0.307015666830977,-0.276845096406195,-0.271896258508269,0.221443940793804,0.190527430004969",NA
"10","DE",1,"pc","fourier",97,14119.6968790687,28433.3937581375,0.762412597830144,0.939741902910849,0.975790179498741,29,4,0,"0 ","RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.628305166807189,0.486326477895196,-0.454629360552306,-0.398652581157273,-0.360290096380121,0.326513245996941",NA,NA,NA,"PctUrbLo2011WsRp100,PctUrbOp2011WsRp100,ElevWs,PctImp2006WsRp100,PopDen2010Ws,PctUrbMd2011WsRp100",NA,"0.424968717969443,0.421828782285374,-0.419016760450312,0.409935106997948,0.395291301586859,0.376078482807791",NA
"11","DE",1,"hdr","fourier",97,14089.105315032,28372.2106300641,0.764141751256094,0.941331649686219,0.976857816348614,8,1,0,"0 ","RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.620255006020465,0.495180642128138,-0.482261247974076,-0.436767125802069,-0.362168326812129,0.355506211105124",NA,NA,NA,"ElevWs,PctUrbOp2011WsRp100,RdDensWsRp100,WtDepWs,PctIce2011Ws,PctUrbLo2011WsRp100",NA,"-0.587120239749262,0.548000695153296,0.506414779655499,-0.49766825376005,-0.475457208527658,0.448207748599017",NA
"12","DE",1,"hd","fourier",97,14023.6494080522,28241.2988161045,0.762005901046012,0.940525745126918,0.975657224232074,8,1,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.65413682245824,-0.515193967194158,0.50854683606569,-0.38757693085285,-0.352975130543157,0.326476241064919",NA,NA,NA,"RunoffWs,PctIce2011Ws,PctAlluvCoastWs,BFIWs,RckDepWs,PctGlacLakeFineWs",NA,"-0.470399965961166,0.347482174860131,-0.343027094751596,0.293660856882749,-0.267845165464774,-0.247744836991774",NA
"13","DE",1,"atpc","fourier",121,13949.7192377908,28141.4384755817,0.762271045626102,0.9409408436491,0.975516610775948,8,1,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.643136449952388,-0.54050855417174,0.519872105344719,-0.392774993465071,-0.343942603956659,0.339131259034555",NA,NA,NA,"RunoffWs,PctAlluvCoastWs,PctIce2011Ws,BFIWs,RckDepWs,WtDepWs","ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbMd2011WsRp100","0.525040062160886,0.381395806967822,-0.363356545780669,-0.343636397137004,0.271594667106261,-0.262357227377359","-0.481665548301845,0.462094533228171,0.447868754620114,0.432930679421738,0.418633213034648,0.393031409677102"
"14","DE",1,"none","fourier",73,14166.9969168164,28479.9938336328,0.762018751614304,0.939680528186122,0.975784627143575,33,3,0,"0 ","RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.629143723266983,0.475991455310954,-0.437180815507414,-0.391643021062799,-0.352396376509182,0.320576589232548",NA,NA,NA,NA,NA,NA,NA
"15","DE",1,"at","no_seas",49,14756.5352411455,29611.070482291,0.745915480216482,0.929760630403115,0.973828963781695,39,4,0,"0 ","RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.707893665199238,0.376950292183412,-0.352494450078676,-0.296893905611749,-0.259506977965013,0.191641830706522",NA,NA,NA,"PctAlluvCoastWs,RckDepWs,ElevWs,WtDepWs,PctIce2011Ws,PctUrbOp2011WsRp100",NA,"0.611115405138125,0.567302445075636,-0.51470445753646,-0.48973132533422,-0.478009478543005,0.446780139841682",NA
"16","DE",1,"mt","no_seas",49,14754.8036883528,29607.6073767057,0.741697956112662,0.929666732960821,0.974089995753997,7,1,0,"0 ","RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.707103538207606,0.383327150587112,-0.351753200678397,-0.315573046151722,-0.250479866271469,0.188835515686679",NA,NA,NA,"PctAlluvCoastWs,RckDepWs,ElevWs,WtDepWs,PctIce2011Ws,PctUrbOp2011WsRp100",NA,"0.608340300651717,0.570901124795835,-0.520138171677848,-0.487872772347999,-0.471062303159487,0.448033400267996",NA
"17","DE",1,"pc","no_seas",49,15238.7312639188,30575.4625278376,0.743152064522789,0.931635752706082,0.975537488421234,6,1,0,"0 ","PctAlluvCoastWs,WtDepWs,RckDepWs,PctIce2011Ws,RunoffWs,ElevWs",NA,NA,NA,"0.587628983292232,-0.485959909604048,0.472235783777137,-0.457679228600321,0.410978232032397,-0.362747658669939",NA,NA,NA,"RckDepWs,ElevWs,PermWs,PctUrbOp2011WsRp100,PctAlluvCoastWs,RdDensWsRp100",NA,"-0.605338320223966,0.605113619016932,-0.535153710256175,-0.518491514148048,-0.50714496630675,-0.506418270285209",NA
"18","DE",1,"hdr","no_seas",49,15278.946895985,30655.89379197,0.743132152269132,0.932719325459505,0.975758780715339,8,1,0,"0 ","PctAlluvCoastWs,RckDepWs,WtDepWs,PctIce2011Ws,ElevWs,PctUrbLo2011WsRp100",NA,NA,NA,"0.602985234892758,0.527855566544473,-0.500988802947304,-0.477464217122781,-0.429386547510333,0.370442260146922",NA,NA,NA,"ElevWs,PctUrbOp2011WsRp100,RdDensWsRp100,WtDepWs,PctIce2011Ws,PctUrbLo2011WsRp100",NA,"-0.783217129285064,0.719731601057379,0.677162535419664,-0.673400996444403,-0.640193217907657,0.612301612975689",NA
"19","DE",1,"hd","no_seas",49,14798.2939510395,29694.587902079,0.746378928482163,0.930086453910256,0.974207915758708,24,3,0,"0 ","RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.705802004073772,0.397087621706478,-0.364336557696704,-0.310012549483039,-0.265040981260724,0.20902444362334",NA,NA,NA,"PctAlluvCoastWs,RckDepWs,ElevWs,WtDepWs,PctIce2011Ws,PctUrbOp2011WsRp100",NA,"-0.611721564662187,-0.583481044979729,0.540512650538262,0.488215297109069,0.480155546301786,-0.47560431410827",NA
"20","DE",1,"atpc","no_seas",73,14728.5684905737,29603.1369811474,0.745982249374025,0.929792162725618,0.974006158597822,7,1,0,"0 ","RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.705514691868584,0.380391115543009,-0.354573702379676,-0.298076162452855,-0.258339661317476,0.195473875428686",NA,NA,NA,"PctAlluvCoastWs,RckDepWs,ElevWs,WtDepWs,PctIce2011Ws,PctUrbLo2011WsRp100","RckDepWs,PctCrop2011Ws,ElevWs,PermWs,PctAlluvCoastWs,WtDepWs","0.609154707994147,0.54713956857742,-0.502279600934396,-0.482830365796659,-0.476548695449255,0.450058936962968","-0.489147801326188,-0.391454331169847,0.383699119058522,-0.379067225756519,-0.372901461612164,0.35233290689825"
"21","DE",1,"none","no_seas",25,15329.6689729181,30709.3379458361,0.743349110516638,0.931897372204469,0.975573013018622,31,3,0,"0 ","PctAlluvCoastWs,RckDepWs,WtDepWs,PctIce2011Ws,ElevWs,PctUrbLo2011WsRp100",NA,NA,NA,"0.602603925232789,0.521310762118152,-0.49485255811477,-0.470522924722318,-0.426657148902394,0.372643569629691",NA,NA,NA,NA,NA,NA,NA
"22","DE",2,"at","fixed_factors",360,13054.850120839,26829.700241678,0.80863908256335,0.951814813638682,0.981374360819174,7,1,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,PctIce2011Ws,RckDepWs,BFIWs","WtDepWs,PctIce2011Ws,RckDepWs,PctAlluvCoastWs,PctUrbLo2011WsRp100,ElevWs",NA,NA,"-0.762458374322021,0.560058771742969,0.527620274494645,-0.511691752533352,0.500673267510215,-0.310831802900043","0.773077490455442,0.525055666065702,-0.494033678231327,-0.393402241593254,-0.308538418914355,0.288021525091237",NA,NA,"WtDepWs,PctAlluvCoastWs,ElevWs,PctIce2011Ws,RunoffWs,RckDepWs",NA,"-0.50715340357565,0.481967099727291,-0.475795149153386,-0.47520959833472,0.408551705543801,0.401668078039848",NA
"23","DE",2,"mt","fixed_factors",360,13075.5368117916,26871.0736235831,0.808260602106075,0.951489905016317,0.981611848246225,51,8,0,"0 ","WtDepWs,PctAlluvCoastWs,PctIce2011Ws,RunoffWs,RckDepWs,BFIWs","WtDepWs,PctIce2011Ws,RckDepWs,PctAlluvCoastWs,PctUrbLo2011WsRp100,PctImp2006WsRp100",NA,NA,"-0.774991966257618,0.568010393567779,-0.524779778087431,0.520932351521601,0.505321497853301,-0.319511616446266","0.759476620384242,0.505527769352242,-0.484260215842227,-0.376023477053541,-0.296831112180979,-0.276617939719926",NA,NA,"RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,RckDepWs,ElevWs",NA,"0.435158449275725,0.421625333461379,-0.420257351828674,-0.379167004862525,0.364604624103298,-0.349145513146397",NA
