"","R","m","cov","seasonality","nparams","NLL","AIC","min_R2","median_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DE",1,"at","fixed_factors",337,11349.4141070193,23372.8282140385,0.243879172572797,0.582888316761142,0.818322889765172,32,5,0,"0 ","RunoffWs,PermWs,RdDensWsRp100,BFIWs,PctUrbOp2011WsRp100,PopDen2010Ws",NA,NA,NA,"0.655921243656461,-0.600435569719942,-0.525752789731524,-0.494408929626002,-0.466945979349596,-0.407367870571405",NA,NA,NA,"PctIce2011Ws,PermWs,RdDensWsRp100,PctUrbOp2011WsRp100,RckDepWs,ElevWs",NA,"0.682530190292375,-0.663654790885317,-0.617195153254648,-0.571979780870208,-0.468195380081024,0.457271482733271",NA
"2","DE",1,"mt","fixed_factors",337,11362.5465513051,23399.0931026103,0.240075987667549,0.58315970994842,0.818765587428554,33,4,0,"0 ","RunoffWs,PermWs,RdDensWsRp100,BFIWs,PctUrbOp2011WsRp100,PopDen2010Ws",NA,NA,NA,"0.64662632773492,-0.61236346668679,-0.537120305506187,-0.486472087773238,-0.477637896824954,-0.411967554712359",NA,NA,NA,"PctIce2011Ws,PermWs,ElevWs,RdDensWsRp100,PctUrbOp2011WsRp100,RckDepWs",NA,"0.686597630267824,-0.577309766341922,0.480749148215133,-0.478967103162194,-0.450684708108097,-0.374325655165231",NA
"3","DE",1,"pc","fixed_factors",337,11268.620038242,23211.240076484,0.235492573886455,0.573607146999165,0.82674775070267,20,2,0,"0 ","RunoffWs,PermWs,BFIWs,RdDensWsRp100,WtDepWs,PctUrbOp2011WsRp100",NA,NA,NA,"0.660230285965858,-0.584359267329504,-0.468243220578915,-0.466961606265693,-0.441303329603884,-0.407305226048124",NA,NA,NA,"RdDensWsRp100,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,PctUrbMd2011WsRp100,PopDen2010Ws",NA,"-0.473907608663693,-0.443803678875451,-0.425634223700052,-0.423141056177915,-0.40812273854056,-0.383534880135076",NA
"4","DE",1,"hdr","fixed_factors",337,11322.5934760636,23319.1869521273,0.23691044987122,0.575138777857921,0.819982352678114,8,1,0,"0 ","RunoffWs,PermWs,RdDensWsRp100,PctUrbOp2011WsRp100,BFIWs,PopDen2010Ws",NA,NA,NA,"0.628271412475535,-0.592582699488775,-0.506924901939678,-0.447196882313657,-0.441670627255912,-0.386723948858284",NA,NA,NA,"RunoffWs,PermWs,BFIWs,RdDensWsRp100,PctUrbOp2011WsRp100,PctImp2006WsRp100",NA,"0.646304435042444,-0.567043788343646,-0.564490815298035,-0.546492394645692,-0.492189781168955,-0.427239212235179",NA
"5","DE",1,"hd","fixed_factors",337,11352.5332502546,23379.0665005092,0.24271939485175,0.582815286941702,0.81823493796282,8,1,0,"0 ","RunoffWs,PermWs,RdDensWsRp100,BFIWs,PctUrbOp2011WsRp100,PopDen2010Ws",NA,NA,NA,"0.655350183347577,-0.598817202166291,-0.524571156920537,-0.493708295675048,-0.465948429180387,-0.407019776737138",NA,NA,NA,"PermWs,PctIce2011Ws,RdDensWsRp100,PctUrbOp2011WsRp100,RckDepWs,PctUrbLo2011WsRp100",NA,"0.697836994009017,-0.687015140276641,0.643094608142349,0.594967932876344,0.504824850735717,0.470968698713648",NA
"6","DE",1,"atpc","fixed_factors",361,11204.38576889,23130.77153778,0.241435292520053,0.579389436912285,0.826704968413864,54,6,0,"0 ","RunoffWs,PermWs,BFIWs,RdDensWsRp100,WtDepWs,PctUrbOp2011WsRp100",NA,NA,NA,"0.665814103946162,-0.575629458157878,-0.474963535768383,-0.45821904873509,-0.453946348662552,-0.399088276126687",NA,NA,NA,"PctIce2011Ws,PermWs,RdDensWsRp100,PctUrbOp2011WsRp100,ElevWs,RckDepWs","RdDensWsRp100,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100","0.709595001523083,-0.670839998598474,-0.609794114772152,-0.564792709426763,0.484280517399555,-0.466929373380435","-0.457289939099936,-0.427502160885861,-0.412501332180121,-0.410865249886657,-0.397703832744577,-0.370533392222017"
"7","DE",1,"none","fixed_factors",313,11415.0886109746,23456.1772219492,0.237858884180646,0.576588451366949,0.818524244853453,20,1,0,"0 ","RunoffWs,PermWs,RdDensWsRp100,BFIWs,PctUrbOp2011WsRp100,PopDen2010Ws",NA,NA,NA,"0.648481793270827,-0.609069803727957,-0.534133321889715,-0.486748523014764,-0.475414843201006,-0.410470396187232",NA,NA,NA,NA,NA,NA,NA
"8","DE",1,"at","fourier",97,11599.4288009503,23392.8576019007,0.226036720976325,0.567107648567721,0.808463891474532,8,1,0,"0 ","RunoffWs,PermWs,RdDensWsRp100,PctUrbOp2011WsRp100,BFIWs,PopDen2010Ws",NA,NA,NA,"0.672267104161696,-0.63785620911915,-0.571920270832086,-0.508751804674726,-0.506890160629469,-0.43139384899663",NA,NA,NA,"PctIce2011Ws,WsAreaSqKm,ElevWs,PctCrop2011Ws,RunoffWs,PermWs",NA,"0.591358281834998,0.354538933403893,0.302662063770192,0.287655535815397,-0.283678980899538,-0.269110605577028",NA
"9","DE",1,"mt","fourier",97,11597.8800318581,23389.7600637162,0.225230094134873,0.567882952570022,0.809048451109973,41,4,0,"0 ","RunoffWs,PermWs,RdDensWsRp100,PctUrbOp2011WsRp100,BFIWs,PopDen2010Ws",NA,NA,NA,"0.657055570919024,-0.637487635660795,-0.564126287334945,-0.501813179897944,-0.492416730796587,-0.425283261654166",NA,NA,NA,"RunoffWs,PctIce2011Ws,BFIWs,WsAreaSqKm,OmWs,PctCrop2011Ws",NA,"-0.425961349380718,0.412383513043055,0.36678224265992,0.330390675162347,0.271932490219448,0.236812525697489",NA
"10","DE",1,"pc","fourier",97,11537.6450406008,23269.2900812016,0.223142169748168,0.554725880392679,0.817594818285305,8,1,0,"0 ","RunoffWs,PermWs,RdDensWsRp100,BFIWs,WtDepWs,PctUrbOp2011WsRp100",NA,NA,NA,"0.675061473007965,-0.595591806824532,-0.476323412430448,-0.476257287198118,-0.430285153315635,-0.415602969213367",NA,NA,NA,"RdDensWsRp100,PctUrbOp2011WsRp100,RunoffWs,PctImp2006WsRp100,PctUrbLo2011WsRp100,BFIWs",NA,"-0.548640932470278,-0.501029187357849,0.478728254444369,-0.464742953257511,-0.45927053678267,-0.455623206791866",NA
