"","R","m","cov","seasonality","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","meidian_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DE",1,"pc","fixed_factors",837,8191,9.78614097968937,-922.576969244691,-171.153938489382,0.709326950498977,0.937311897701786,0.982251761269322,20,1,0,"0 ","PopDen2010Ws,PctUrbMd2011WsRp100,PctIce2011Ws,PctUrbHi2011WsRp100,PctImp2006WsRp100,PctUrbLo2011WsRp100",NA,NA,NA,"-0.33066625647453,-0.295659493920948,-0.293782210195209,-0.293726911702612,-0.279618627588909,-0.267627947959246",NA,NA,NA,"ElevWs,WsAreaSqKm,PctUrbOp2011WsRp100,RdDensWsRp100,PctIce2011Ws,PctUrbLo2011WsRp100",NA,"-0.855510437454177,-0.634625213158123,0.628013426025916,0.56915441408115,-0.547478774334721,0.533552088130597",NA
"2","DE",1,"sn","fixed_factors",837,8191,9.78614097968937,-429.743883832994,814.512232334012,0.680565469714791,0.935150228965088,0.977979911372406,8,1,0,"0 ","BFIWs,WsAreaSqKm,PctIce2011Ws,ElevWs,RunoffWs,RdDensWsRp100",NA,NA,NA,"-0.580639638403464,-0.479263688254738,-0.42272092886189,-0.352217990088514,0.204035551590703,0.187638652280848",NA,NA,NA,"ElevWs,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,PctUrbOp2011WsRp100,PctUrbHi2011WsRp100",NA,"0.502816636124955,-0.461311807356527,-0.442489353794445,-0.435289460437617,-0.41174764991031,-0.408159474421321",NA
"3","DE",1,"pcsn","fixed_factors",1331,8191,6.15401953418482,-1242.11007077319,177.779858453628,0.719250678530044,0.940538555025222,0.983073198379041,2280,427,0,"0 ","PctIce2011Ws,PopDen2010Ws,RckDepWs,BFIWs,PctUrbMd2011WsRp100,WtDepWs",NA,NA,NA,"-0.392645922823003,-0.26116054808404,0.25358880364649,-0.248107808617533,-0.232559057775913,-0.227954975254814",NA,NA,NA,"ElevWs,WsAreaSqKm,PctUrbOp2011WsRp100,PctIce2011Ws,RdDensWsRp100,PctUrbLo2011WsRp100","ElevWs,PctUrbLo2011WsRp100,PctUrbOp2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,PctUrbHi2011WsRp100","-0.846380188042728,-0.628532715141387,0.579650573393252,-0.535416364770939,0.527793018249422,0.504622844124348","0.617940426508819,-0.612626629097397,-0.610296544398603,-0.591452603649287,-0.586551610621372,-0.555249721855066"
"4","DE",1,"pc","fourier",647,8191,12.6599690880989,-194.907204605176,904.185590789649,0.590286918258217,0.922763237268488,0.980226213625837,20,1,0,"0 ","PopDen2010Ws,BFIWs,PctUrbHi2011WsRp100,RunoffWs,PctUrbMd2011WsRp100,PctImp2006WsRp100",NA,NA,NA,"-0.312206302378963,-0.291943429415463,-0.276685463623261,0.269673069742787,-0.2625987236868,-0.255458089353022",NA,NA,NA,"ElevWs,WsAreaSqKm,PctUrbOp2011WsRp100,BFIWs,PctUrbLo2011WsRp100,PctImp2006WsRp100",NA,"-0.799595095755173,-0.553828357444107,0.53066337285814,-0.447503936632547,0.444157651073108,0.43104702914625",NA
"5","DE",1,"sn","fourier",647,8191,12.6599690880989,162.738743366886,1619.47748673377,0.598394084952695,0.927022231010594,0.974630229369453,19,1,0,"0 ","BFIWs,WsAreaSqKm,RunoffWs,PctIce2011Ws,ElevWs,PopDen2010Ws",NA,NA,NA,"-0.552024486632984,-0.358917109328252,0.34684428903316,-0.27734051342733,-0.17951869029774,-0.174618637758586",NA,NA,NA,"PctIce2011Ws,RckDepWs,WtDepWs,PopDen2010Ws,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100",NA,"-0.488953518595336,0.371641291769268,-0.267661069867005,-0.21002744840723,-0.200552053038622,-0.188934907370401",NA
"6","DE",1,"pcsn","fourier",1141,8191,7.17879053461876,-656.792625933165,968.414748133669,0.665801742795496,0.932715041312505,0.980356777069213,1371,231,0,"0 ","PopDen2010Ws,PctUrbHi2011WsRp100,PctUrbOp2011WsRp100,PctImp2006WsRp100,PctUrbMd2011WsRp100,RunoffWs",NA,NA,NA,"-0.361172168957363,-0.317205224902995,-0.303607396825145,-0.303118486759481,-0.301187826603342,0.290504964683689",NA,NA,NA,"ElevWs,WsAreaSqKm,BFIWs,PctUrbOp2011WsRp100,PctIce2011Ws,RdDensWsRp100","PctGlacLakeFineWs,PctIce2011Ws,RckDepWs,ElevWs,BFIWs,PctUrbLo2011WsRp100","-0.829904673706641,-0.649992597427124,-0.550017338084508,0.491579716205587,-0.48490110477098,0.425589945028652","0.318850604904062,-0.301169231343348,0.299771191908597,0.259570797089448,0.227115148157705,-0.198348289762271"
"7","DE",2,"pc","fixed_factors",855,8191,9.58011695906433,-2050.07065337272,-2390.14130674543,0.731301682724311,0.958914873698579,0.983740675650984,9,1,0,"0 ","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PctGlacLakeFineWs,PermWs","RckDepWs,PctUrbOp2011WsRp100,RdDensWsRp100,PermWs,PctUrbLo2011WsRp100,PctIce2011Ws",NA,NA,"0.669799719220784,-0.657950290569496,-0.494758194953898,0.392958022230553,0.285639250769518,0.284822391520516","-0.747442429768206,-0.626333731562536,-0.594411030827098,-0.579066129770736,-0.544005786594682,0.531812742219282",NA,NA,"ElevWs,WsAreaSqKm,PctUrbOp2011WsRp100,BFIWs,PctUrbLo2011WsRp100,RdDensWsRp100",NA,"-0.819695973505704,-0.643224008870196,0.563641988734857,-0.506234381492667,0.490812314330025,0.475244143681968",NA
"8","DE",2,"sn","fixed_factors",855,8191,9.58011695906433,-1468.09014655952,-1226.18029311903,0.698420355783213,0.954473011079561,0.981799092993702,1372,203,0,"0 ","PctIce2011Ws,RckDepWs,WtDepWs,RdDensWsRp100,ElevWs,PermWs","RckDepWs,BFIWs,RunoffWs,WtDepWs,PctGlacLakeFineWs,RdDensWsRp100",NA,NA,"-0.760877745680182,0.600321436762408,-0.532636377745864,0.515334516941993,-0.480033553372174,0.396943675583515","-0.753028737935096,-0.600214457968731,0.441166568340783,0.41727284543008,-0.403207536734214,-0.39383317358039",NA,NA,"ElevWs,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,PctUrbHi2011WsRp100,PctUrbMd2011WsRp100",NA,"0.427014278253975,-0.394247051261254,-0.388451766054509,-0.374079292937245,-0.357178885669873,-0.353296718787197",NA
"9","DE",2,"pcsn","fixed_factors",1349,8191,6.07190511489993,-2344.63177164008,-1991.26354328016,0.742033409105254,0.962008432477294,0.98445896942214,2737,486,0,"0 ","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctAlluvCoastWs","RckDepWs,RdDensWsRp100,PctIce2011Ws,PctUrbOp2011WsRp100,PermWs,WtDepWs",NA,NA,"0.673066062549222,-0.665684049536478,-0.518273322489255,0.395168476482809,0.287410789173084,0.282398215335561","-0.82129666891081,-0.592776522862086,0.589376237357401,-0.585227658595975,-0.567103069236644,0.547896500365653",NA,NA,"ElevWs,WsAreaSqKm,PctUrbOp2011WsRp100,BFIWs,PctUrbLo2011WsRp100,RdDensWsRp100","PopDen2010Ws,PctUrbLo2011WsRp100,ElevWs,PctImp2006WsRp100,PctUrbHi2011WsRp100,PctUrbOp2011WsRp100","-0.828186685641425,-0.647953299316795,0.542181341925091,-0.523878987214905,0.482178438894942,0.467921135279535","-0.508172040757336,-0.504611714608663,0.499678226465435,-0.487838334982144,-0.476242712513979,-0.467352696662883"
"10","DE",2,"pc","fourier",665,8191,12.3172932330827,-1297.54201336283,-1265.08402672566,0.672759897359534,0.952390264847909,0.983643247042941,22,2,0,"0 ","PctIce2011Ws,RckDepWs,WtDepWs,RdDensWsRp100,PctAlluvCoastWs,PermWs","RckDepWs,PctIce2011Ws,RdDensWsRp100,PctUrbOp2011WsRp100,WtDepWs,PermWs",NA,NA,"-0.651734235931505,0.578513728805041,-0.481459561420904,0.35643757764776,0.258638545029394,0.252571975975363","-0.782470018153677,0.68645827906102,-0.645265776378685,-0.611183315689037,0.566699465304613,-0.557847689346987",NA,NA,"ElevWs,WsAreaSqKm,PctUrbOp2011WsRp100,BFIWs,PctUrbLo2011WsRp100,PctImp2006WsRp100",NA,"-0.753085390945445,-0.541255941647747,0.473258609733607,-0.471521381973852,0.40257699761125,0.391028114842969",NA
"11","DE",2,"sn","fourier",665,8191,12.3172932330827,-812.684414506665,-295.368829013329,0.650691320736657,0.948102204345768,0.979947646089218,13,1,0,"0 ","PctIce2011Ws,RckDepWs,WtDepWs,RdDensWsRp100,ElevWs,PermWs","RckDepWs,BFIWs,RunoffWs,PctGlacLakeFineWs,RdDensWsRp100,PctUrbOp2011WsRp100",NA,NA,"-0.734133546036993,0.519484179558488,-0.501624050137177,0.461638800914612,-0.445935830781769,0.361986147324574","-0.683707455219177,-0.526200040956902,0.51466861569321,-0.480061238885627,-0.455870766408142,-0.446459344741416",NA,NA,"PctIce2011Ws,RckDepWs,WtDepWs,PopDen2010Ws,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100",NA,"-0.480159150006084,0.353022349851443,-0.239747344999416,-0.211438553424753,-0.202002436903803,-0.190517580079386",NA
"12","DE",2,"pcsn","fourier",1159,8191,7.06729939603106,-1787.60876299697,-1257.21752599395,0.718583946824562,0.956123537463337,0.983509754083058,253,31,0,"0 ","PctIce2011Ws,RckDepWs,WtDepWs,RdDensWsRp100,PctAlluvCoastWs,PermWs","RckDepWs,PctUrbOp2011WsRp100,RdDensWsRp100,PctIce2011Ws,PctGlacLakeFineWs,PermWs",NA,NA,"-0.62722511890158,0.620217653031172,-0.493638286647878,0.344745936434638,0.287218630832796,0.251776063359096","-0.70162288069917,-0.632165815850124,-0.628930408521434,0.624737888217069,-0.552545141350462,-0.548725157985045",NA,NA,"ElevWs,WsAreaSqKm,BFIWs,PctUrbOp2011WsRp100,PctIce2011Ws,RdDensWsRp100","PctIce2011Ws,RckDepWs,PctGlacLakeFineWs,ElevWs,BFIWs,RdDensWsRp100","-0.790881439961477,-0.658428339829972,-0.589084641541383,0.440384650219205,-0.388988669815019,0.357967039122781","-0.348904285660106,0.321477864733942,0.320615354102569,0.225308739923403,0.216059678357122,0.196651744904512"
"13","DE",3,"pc","fixed_factors",872,8191,9.39334862385321,-2644.3231517076,-3544.6463034152,0.738544681535648,0.971919513693256,0.990728506920471,9,1,0,"0 ","RunoffWs,RdDensWsRp100,PctUrbOp2011WsRp100,PctGlacLakeFineWs,ElevWs,PermWs","PctIce2011Ws,RckDepWs,WtDepWs,PopDen2010Ws,PctAlluvCoastWs,PctUrbHi2011WsRp100","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100",NA,"-0.758055804549931,0.715923605681926,0.700545762229654,0.66394156280109,-0.604017936170573,0.546609430349088","-0.447377091708048,0.444995056359521,-0.356394822502303,-0.25708135906741,0.239606847823963,-0.220494560041178","-0.886700174635133,0.688871611260945,0.618069373637131,-0.593235933091654,-0.558971187246691,-0.537066208944321",NA,"ElevWs,WsAreaSqKm,BFIWs,PctUrbOp2011WsRp100,PctIce2011Ws,WtDepWs",NA,"-0.75522596714021,-0.623717090026719,-0.605449609819226,0.464649539550512,-0.453944660855663,-0.427738941808523",NA
"14","DE",3,"sn","fixed_factors",872,8191,9.39334862385321,-2084.46645524335,-2424.93291048669,0.698173075185528,0.968509092307901,0.990391306049509,2129,374,0,"0 ","ElevWs,RdDensWsRp100,PctUrbOp2011WsRp100,PctGlacLakeFineWs,RunoffWs,PermWs","PctIce2011Ws,RckDepWs,WtDepWs,PctAlluvCoastWs,BFIWs,RunoffWs","RckDepWs,BFIWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PctGlacLakeFineWs",NA,"-0.814607108332893,0.778895112553892,0.771537430248061,0.629650618730034,-0.626406412052271,0.609644449976104","-0.486415637494888,0.385434558595711,-0.37478105620011,0.284084125391703,-0.27523028358799,0.266740692613805","-0.821355998098087,-0.526571586590393,0.492861747875593,0.487511200923301,-0.474044643149526,-0.451524474833573",NA,"ElevWs,PctUrbLo2011WsRp100,PopDen2010Ws,PctImp2006WsRp100,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100",NA,"0.367660478397583,-0.34550120320257,-0.325363943508102,-0.322534612514412,-0.309464740577541,-0.303544827156818",NA
"15","DE",3,"pcsn","fixed_factors",1366,8191,5.99633967789165,-2924.87082901946,-3117.74165803892,0.752836406947778,0.972324855786021,0.991269374421533,3224,575,0,"0 ","RunoffWs,RdDensWsRp100,PctUrbOp2011WsRp100,PctGlacLakeFineWs,ElevWs,RckDepWs","PctIce2011Ws,RckDepWs,WtDepWs,PctAlluvCoastWs,PopDen2010Ws,RunoffWs","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100",NA,"-0.762735873308973,0.713125995679331,0.681686550036119,0.677199989926842,-0.569845055313734,0.548825898173054","-0.473964491116315,0.450183895663811,-0.391502370368561,0.268747174836881,-0.242407034442755,0.225894255525287","-0.878801395460169,0.678602106433265,0.601457837986993,-0.601395057012798,-0.554633148150493,-0.542650061534888",NA,"ElevWs,WsAreaSqKm,BFIWs,WtDepWs,PctIce2011Ws,PctUrbOp2011WsRp100","PopDen2010Ws,PctUrbLo2011WsRp100,ElevWs,PctImp2006WsRp100,PctUrbHi2011WsRp100,PctUrbOp2011WsRp100","-0.756908862384761,-0.61853208542649,-0.606675293326853,-0.457417260569472,-0.448775057534873,0.445430631333951","-0.487569011989377,-0.486454303184062,0.482201729744759,-0.468461414760141,-0.456286171724739,-0.439899504626754"
"16","DE",3,"pc","fourier",682,8191,12.0102639296188,-1901.2279874856,-2438.4559749712,0.721298605729292,0.966408873028695,0.989311315435805,8,1,0,"0 ","PctIce2011Ws,RckDepWs,WtDepWs,BFIWs,PctAlluvCoastWs,RunoffWs","RunoffWs,PctUrbOp2011WsRp100,PctGlacLakeFineWs,RdDensWsRp100,PopDen2010Ws,PctUrbLo2011WsRp100","RckDepWs,PctIce2011Ws,RdDensWsRp100,PctUrbOp2011WsRp100,PctGlacLakeFineWs,PermWs",NA,"-0.54382296508978,0.411444730381867,-0.396768186742609,-0.234909083803706,0.232364632027325,0.203964139912263","0.814245782730798,-0.645506938598537,-0.615495052068334,-0.615150131287034,-0.542128959639026,-0.520161227091245","-0.784987165639793,0.685447247366179,-0.660282603658365,-0.621794181293293,-0.569996806112397,-0.568247503139889",NA,"ElevWs,BFIWs,WsAreaSqKm,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,PctImp2006WsRp100",NA,"-0.703211776396303,-0.63900010811444,-0.558798283167503,0.358592485469373,0.313481024174283,0.301476864754393",NA
"17","DE",3,"sn","fourier",682,8191,12.0102639296188,-1421.04830684401,-1478.09661368801,0.651218170220182,0.962850680501862,0.989959442506015,12,1,0,"0 ","PctIce2011Ws,RckDepWs,WtDepWs,PctAlluvCoastWs,BFIWs,RunoffWs","ElevWs,PctUrbOp2011WsRp100,RdDensWsRp100,WsAreaSqKm,RunoffWs,PopDen2010Ws","RckDepWs,RdDensWsRp100,PctGlacLakeFineWs,RunoffWs,PctIce2011Ws,PctUrbOp2011WsRp100",NA,"-0.551835774975665,0.427024385671568,-0.410397278298475,0.307528617137921,-0.247756479840011,0.231684213491232","0.791249576239517,-0.678105906618933,-0.631668652872011,0.603192932510774,0.56007226090152,-0.542210262538257","-0.732840732292611,-0.552953573877176,-0.542650739086713,0.540101380096297,0.526044783973026,-0.524707821321851",NA,"PctIce2011Ws,RckDepWs,WtDepWs,PopDen2010Ws,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100",NA,"-0.490111094291536,0.35153295482856,-0.217106061484092,-0.215772297674909,-0.212832323663538,-0.199573684281131",NA
"18","DE",3,"pcsn","fourier",1176,8191,6.96513605442177,-2350.52389700828,-2349.04779401657,0.73879742120688,0.969984875266038,0.990761005743548,3070,544,0,"0 ","RunoffWs,RdDensWsRp100,PctGlacLakeFineWs,PctUrbOp2011WsRp100,PopDen2010Ws,PermWs","PctIce2011Ws,RckDepWs,WtDepWs,RunoffWs,PctAlluvCoastWs,PopDen2010Ws","RckDepWs,PctIce2011Ws,RdDensWsRp100,PctUrbOp2011WsRp100,PctGlacLakeFineWs,PermWs",NA,"-0.812113196196839,0.668839473182296,0.663692326234673,0.663475083635927,0.524354010609618,0.518071459734475","-0.468706023754648,0.409692175728256,-0.383027502351356,0.272725552706898,0.268665352091521,-0.235358335619398","-0.769164472056934,0.694942957181411,-0.665292674021475,-0.631509382274458,-0.573934762179757,-0.568816380228587",NA,"BFIWs,ElevWs,WsAreaSqKm,PctIce2011Ws,WtDepWs,PctUrbOp2011WsRp100","PctIce2011Ws,PctGlacLakeFineWs,RckDepWs,BFIWs,RdDensWsRp100,ElevWs","-0.72388159360875,-0.69755570889541,-0.633450109181153,-0.395507987009226,-0.370669388502519,0.307360242354128","-0.330036791571244,0.316403449296864,0.313840579552531,0.248316531226993,0.235416171757176,0.209508481676139"
