"","R","m","cov","seasonality","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","meidian_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DE",1,"pc","fixed_factors",837,8191,9.78614097968937,-883.88812469214,-93.776249384279,0.703558167232464,0.936860823521534,0.982910925506698,29,3,0,"0 ","PopDen2010Ws,PctIce2011Ws,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100,PctImp2006WsRp100,PctUrbLo2011WsRp100",NA,NA,NA,"-0.328906723687194,-0.297062554187265,-0.291429577689132,-0.290504716777705,-0.27734372069842,-0.266641503703764",NA,NA,NA,"ElevWs,PctIce2011Ws,WtDepWs,WsAreaSqKm,BFIWs,PctUrbOp2011WsRp100",NA,"-0.709023410520114,-0.647082570558772,-0.644375689998161,-0.506750517256647,-0.506332778751888,0.4723069757833",NA
"2","DE",1,"at","fixed_factors",837,8191,9.78614097968937,-668.408631555463,337.182736889074,0.68648658469128,0.935863170807065,0.980682588789621,8,1,0,"0 ","BFIWs,PctIce2011Ws,WsAreaSqKm,ElevWs,RdDensWsRp100,WtDepWs",NA,NA,NA,"-0.504638983720315,-0.49461572831157,-0.437703825555505,-0.339611901366734,0.226767544022315,-0.208154223061574",NA,NA,NA,"PctIce2011Ws,RdDensWsRp100,WtDepWs,ElevWs,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100",NA,"0.684701316710849,-0.504492355011124,0.501120608914199,0.439131708412945,-0.416380431599635,-0.39943633821069",NA
"3","DE",1,"atpc","fixed_factors",1331,8191,6.15401953418482,-1443.59350947573,-225.187018951452,0.723444284065191,0.944435136797693,0.98513722007826,2269,404,0,"0 ","PctIce2011Ws,RckDepWs,PopDen2010Ws,WtDepWs,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100",NA,NA,NA,"-0.411473585766247,0.320743711225288,-0.270402972665709,-0.254040088331714,-0.241512473968865,-0.238746284939129",NA,NA,NA,"PctIce2011Ws,PctCrop2011Ws,ElevWs,WsAreaSqKm,RdDensWsRp100,PctUrbOp2011WsRp100","WtDepWs,ElevWs,PctIce2011Ws,PctUrbOp2011WsRp100,PctUrbLo2011WsRp100,BFIWs","0.561394911407075,0.464957610411219,0.386915770853284,0.369918410637064,-0.35274883821695,-0.333457297037413","-0.705164681797945,-0.685410303560087,-0.620806935627709,0.46904437377998,0.462387008179726,-0.461718717620829"
"4","DE",1,"pc","fourier",647,8191,12.6599690880989,-529.319633678862,235.360732642276,0.647132505103971,0.931799344535456,0.982450503002888,8,1,0,"0 ","PctIce2011Ws,BFIWs,PopDen2010Ws,PctUrbHi2011WsRp100,PctUrbMd2011WsRp100,PctImp2006WsRp100",NA,NA,NA,"-0.306200840199436,-0.289906621876636,-0.286822030208817,-0.252469807367954,-0.246217567759225,-0.229432197060616",NA,NA,NA,"PctIce2011Ws,ElevWs,RdDensWsRp100,WtDepWs,WsAreaSqKm,PctUrbOp2011WsRp100",NA,"-0.817111846927277,-0.75876274373156,0.598304950896639,-0.57146046904899,-0.559802953223003,0.545947648893621",NA
"5","DE",1,"at","fourier",647,8191,12.6599690880989,-239.089264309169,815.821471381661,0.654115630568176,0.928436354859721,0.979928046512695,14,1,0,"0 ","BFIWs,WsAreaSqKm,PctIce2011Ws,RunoffWs,ElevWs,PopDen2010Ws",NA,NA,NA,"-0.553294263869233,-0.402386994502145,-0.315706094030746,0.258375207639668,-0.193394358228928,-0.185783138464573",NA,NA,NA,"PctIce2011Ws,RdDensWsRp100,ElevWs,WtDepWs,RckDepWs,PctUrbOp2011WsRp100",NA,"0.870386148107186,-0.664235332738774,0.659913682820978,0.652309005989752,-0.646435055722046,-0.612331307122048",NA
"6","DE",1,"atpc","fourier",1141,8191,7.17879053461876,-1012.52041094077,256.959178118452,0.690831867452941,0.944551405781573,0.984265733563214,2066,325,0,"0 ","PopDen2010Ws,PctUrbHi2011WsRp100,PctUrbMd2011WsRp100,PctImp2006WsRp100,PctIce2011Ws,PctUrbLo2011WsRp100",NA,NA,NA,"-0.32726267223611,-0.286293018424722,-0.28423713960104,-0.274725305106464,-0.268955110618313,-0.267081110282104",NA,NA,NA,"PctIce2011Ws,ElevWs,RdDensWsRp100,PctUrbOp2011WsRp100,RckDepWs,PctGlacLakeFineWs","ElevWs,WtDepWs,PctIce2011Ws,PctUrbOp2011WsRp100,RdDensWsRp100,PctUrbLo2011WsRp100","0.88719713888208,0.669388410268014,-0.650377948218587,-0.587985494382729,-0.558552607608895,-0.534425959019122","-0.723106226491113,-0.720124252908499,-0.683729964994403,0.530680539779309,0.524740914024914,0.489369907641561"
"7","DE",2,"pc","fixed_factors",855,8191,9.58011695906433,-2032.2385649249,-2354.4771298498,0.723242730385588,0.960394452042685,0.984246250062672,16,1,0,"0 ","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PctGlacLakeFineWs,PermWs","RckDepWs,PctUrbOp2011WsRp100,RdDensWsRp100,PermWs,PctUrbLo2011WsRp100,PctImp2006WsRp100",NA,NA,"0.671781843961758,-0.654621131477856,-0.488182988107314,0.396731515816817,0.291655342674046,0.284296801194644","-0.717319990380196,-0.628301174564737,-0.589980293954091,-0.572334084079351,-0.543809539651944,-0.519538522318151",NA,NA,"ElevWs,PctIce2011Ws,WtDepWs,BFIWs,WsAreaSqKm,PctUrbOp2011WsRp100",NA,"-0.709083045543154,-0.64039190073565,-0.637839588971026,-0.513515258322962,-0.510375581730188,0.470349312867775",NA
"8","DE",2,"at","fixed_factors",855,8191,9.58011695906433,-1593.1297596177,-1476.25951923539,0.701561299098957,0.955261175706163,0.983785713723006,1438,243,0,"0 ","PctIce2011Ws,RckDepWs,WtDepWs,RdDensWsRp100,ElevWs,PermWs","RckDepWs,BFIWs,WtDepWs,PctIce2011Ws,RdDensWsRp100,RunoffWs",NA,NA,"-0.731308142746799,0.641719585324368,-0.514536641663039,0.470554791079332,-0.369029356339784,0.355319985328757","-0.8161667136411,-0.531117181874058,0.48287941761141,0.457552461348298,-0.421193076677765,0.398353114229655",NA,NA,"PctIce2011Ws,WtDepWs,RdDensWsRp100,RckDepWs,ElevWs,PctUrbOp2011WsRp100",NA,"0.719933269975645,0.575751689344158,-0.52098041727158,-0.497543203242063,0.462854584685977,-0.436085749193818",NA
"9","DE",2,"atpc","fixed_factors",1349,8191,6.07190511489993,-2417.16322767177,-2136.32645534355,0.751743992608912,0.965380804960253,0.986046368971702,2987,541,0,"0 ","RckDepWs,PctIce2011Ws,WtDepWs,RdDensWsRp100,PctGlacLakeFineWs,PermWs","RckDepWs,RdDensWsRp100,PctIce2011Ws,PctUrbOp2011WsRp100,PermWs,PctGlacLakeFineWs",NA,NA,"0.674098157613121,-0.640679389982288,-0.480602841876046,0.383877297552799,0.287383682429943,0.271584279746736","-0.826066232557164,-0.632473963523137,0.60389885086523,-0.594788856901768,-0.578135031718125,-0.526652939094118",NA,NA,"PctIce2011Ws,ElevWs,RdDensWsRp100,RckDepWs,PermWs,PctUrbOp2011WsRp100","WtDepWs,ElevWs,PctIce2011Ws,BFIWs,PctUrbLo2011WsRp100,PctUrbOp2011WsRp100","0.71031568771819,0.490054742151643,-0.474180613727682,-0.449391858855399,-0.445653761181782,-0.440825862880496","-0.688158304924036,-0.674015378283774,-0.58687294607792,-0.489892290656532,0.45477708509558,0.449747836642983"
"10","DE",2,"pc","fourier",665,8191,12.3172932330827,-1558.9248064967,-1787.84961299339,0.671929247051246,0.957053491922746,0.983769417223766,7,1,0,"0 ","PctIce2011Ws,RckDepWs,WtDepWs,RdDensWsRp100,PermWs,PctAlluvCoastWs","RckDepWs,RdDensWsRp100,PctUrbOp2011WsRp100,PctIce2011Ws,PermWs,PctGlacLakeFineWs",NA,NA,"-0.645538243334571,0.628469819103664,-0.484760302931596,0.387842314788577,0.277930208571088,0.255332147577853","-0.779110470405658,-0.604416324601099,-0.5983747651361,0.566055704840869,-0.556379520927931,-0.52654937266415",NA,NA,"PctIce2011Ws,ElevWs,RdDensWsRp100,WsAreaSqKm,WtDepWs,PctUrbOp2011WsRp100",NA,"-0.796726808837384,-0.761002542902622,0.578360624529426,-0.57624649691263,-0.554279236390395,0.533916805401143",NA
