"","R","m","cov","seasonality","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","meidian_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","EVCV",1,"at","fixed_factors",1058,9282,8.77315689981096,34642.1998681679,71400.3997363357,0.756790433184321,0.932095993546502,0.973188500903583,31,1,0,"0 ","PctAlluvCoastWs,RckDepWs,WtDepWs,PctIce2011Ws,RunoffWs,ElevWs",NA,NA,NA,"0.548897902102418,0.440551001692301,-0.429850345065626,-0.400533511370621,0.386453704691757,-0.374225777598951",NA,NA,NA,"PctAlluvCoastWs,RckDepWs,WtDepWs,ElevWs,PctIce2011Ws,RunoffWs",NA,"0.548578709686739,0.460666627282351,-0.425197395067027,-0.417712751606366,-0.404531065979023,0.33087153959191",NA
"2","EVCV",1,"pc","fixed_factors",1058,9282,8.77315689981096,12511.3192639298,27138.6385278596,0.778630838910793,0.92713766544526,0.968718762223056,1469,431,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.677863643659257,0.585548610486545,0.540186141369993,-0.478926983281444,0.452381426346374,-0.325466730159997",NA,NA,NA,"RunoffWs,PctAlluvCoastWs,PctIce2011Ws,OmWs,WsAreaSqKm,PctGlacLakeFineWs",NA,"-0.353105009374197,-0.224635133067238,0.221773571347065,0.202064282693458,-0.144450300491627,-0.138211548622006",NA
"3","EVCV",1,"sn","fixed_factors",1058,9282,8.77315689981096,12614.9984512324,27345.9969024648,0.78093623274122,0.926693733921718,0.968121362168713,2349,734,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.696954300231115,0.549085468752368,0.544227820200577,-0.511072145450312,0.485986457868458,-0.314456126821348",NA,NA,NA,"PctUrbOp2011WsRp100,RdDensWsRp100,PopDen2010Ws,RunoffWs,PctImp2006WsRp100,PctUrbLo2011WsRp100",NA,"0.786368302505059,0.765509714209173,0.701329146291547,-0.686750218167341,0.678806455803894,0.674744756484487",NA
"4","EVCV",1,"atpc","fixed_factors",1682,9282,5.51843043995244,34616.2454560598,72596.4909121196,0.756774963036629,0.932104290283415,0.973201437233194,80,3,0,"0 ","PctAlluvCoastWs,RckDepWs,WtDepWs,PctIce2011Ws,RunoffWs,ElevWs",NA,NA,NA,"0.548920043532823,0.440576183355485,-0.42987433537076,-0.400556206302769,0.38645904648493,-0.374218998576095",NA,NA,NA,"PctAlluvCoastWs,RckDepWs,WtDepWs,ElevWs,PctIce2011Ws,RunoffWs","PctAlluvCoastWs,RckDepWs,ElevWs,WtDepWs,PctIce2011Ws,PctGlacLakeFineWs","0.548602821139089,0.460704595218116,-0.425219289435361,-0.417727831296903,-0.404556733451663,0.330847320675992","-0.544570796925035,-0.476665241585608,0.448814737024871,0.428963530339747,0.404586977982689,-0.33700735575698"
"5","EVCV",1,"atpcsn","fixed_factors",2306,9282,4.02515177797051,11705.6231332919,28023.2462665837,0.834613122290574,0.940619702711063,0.973894355180936,4473,1462,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.71054978906541,0.534583283933615,0.511162704910796,0.502472741597984,-0.501535821197928,-0.257951995462696",NA,NA,NA,"PctIce2011Ws,PctGlacLakeFineWs,ElevWs,BFIWs,RunoffWs,WtDepWs","RunoffWs,PctGlacLakeFineWs,PctAlluvCoastWs,PctIce2011Ws,WtDepWs,PopDen2010Ws","-0.449208382955275,0.425091376628975,-0.406577213442711,-0.377455002924717,0.375111482463159,-0.366350911924691","-0.593932427228749,0.281559105553559,-0.27837738521818,0.265769118388393,0.249077020367297,0.225456271621673"
"6","EVCV",1,"atsn","fixed_factors",1682,9282,5.51843043995244,34632.7809126355,72629.561825271,0.756814067516811,0.932100109232009,0.973189476055948,31,1,0,"0 ","PctAlluvCoastWs,RckDepWs,WtDepWs,PctIce2011Ws,RunoffWs,ElevWs",NA,NA,NA,"0.548899661141996,0.440551098414287,-0.42985015268546,-0.400535226987627,0.386458934862325,-0.374218335505658",NA,NA,NA,"PctAlluvCoastWs,RckDepWs,WtDepWs,ElevWs,PctIce2011Ws,RunoffWs","ElevWs,RunoffWs,PctUrbOp2011WsRp100,PermWs,RdDensWsRp100,PctGlacLakeFineWs","0.548579801841553,0.46065779738425,-0.425188512685059,-0.417689702031149,-0.404528651729017,0.3308890285317","-0.650727309941079,-0.619413614641887,0.551057695186237,0.476956885621863,0.456553835724738,0.410032628658427"
"7","EVCV",1,"at","fourier",818,9282,11.3471882640587,12799.81248201,27235.62496402,0.801383624055569,0.930142744461489,0.974363960639808,2946,918,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"0.63863197247441,-0.595694491673144,0.522886775124068,-0.452401815472756,0.395752814250592,-0.332578038064609",NA,NA,NA,"PctAlluvCoastWs,PctIce2011Ws,RunoffWs,WtDepWs,ElevWs,RckDepWs",NA,"0.458246047038048,-0.434213857740451,0.427496889593614,-0.400036117527224,-0.380305707087809,0.35819241190593",NA
"8","EVCV",1,"pc","fourier",818,9282,11.3471882640587,13095.4636717583,27826.9273435166,0.776924158634647,0.921028270349169,0.97710757948661,1744,554,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.64561063248895,-0.487993072359173,0.486400437011263,-0.434938950783481,-0.361211646131309,0.342456112104357",NA,NA,NA,"RunoffWs,BFIWs,PctAlluvCoastWs,RdDensWsRp100,PermWs,PctUrbOp2011WsRp100",NA,"0.528652149915688,-0.347391693779979,0.269756388840227,-0.239344860606544,-0.186077109901284,-0.155109195701418",NA
"9","EVCV",1,"sn","fourier",818,9282,11.3471882640587,33465.1345039069,68566.2690078137,0.756773496842467,0.932128040778347,0.97319812005701,37,1,0,"0 ","PctAlluvCoastWs,RckDepWs,WtDepWs,PctIce2011Ws,RunoffWs,ElevWs",NA,NA,NA,"0.54970082075994,0.441759813551914,-0.430808155834118,-0.401497797092606,0.385967785142609,-0.374783392855845",NA,NA,NA,"ElevWs,RunoffWs,PctUrbOp2011WsRp100,PermWs,RdDensWsRp100,PctGlacLakeFineWs",NA,"-0.649642184242806,-0.620227732754785,0.550526138468965,0.476596647811973,0.456124794836071,0.409290258188006",NA
"10","EVCV",1,"atpc","fourier",1442,9282,6.4368932038835,12473.0453592858,27830.0907185717,0.810778234165101,0.933405737500556,0.976436668754256,4230,1302,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"0.635787986321943,-0.599298748211927,0.518425983359917,-0.457037601915348,0.401647151041993,-0.333092677487119",NA,NA,NA,"PctGlacLakeFineWs,PctAlluvCoastWs,PctIce2011Ws,ElevWs,RckDepWs,WtDepWs","RunoffWs,PctAlluvCoastWs,PctIce2011Ws,WtDepWs,BFIWs,PctGlacLakeFineWs","0.414269340159391,0.412284887416224,-0.402434252905402,-0.377381194323399,0.370417796642834,-0.344240972963415","-0.58876852048151,-0.333910024110066,0.300567411839509,0.250636606834504,0.232179330397683,0.194896524671377"
"11","EVCV",1,"atpcsn","fourier",2066,9282,4.49273959341723,12085.6071871854,28303.2143743709,0.827745791194461,0.935640267465614,0.975583377065402,6117,2000,1,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.679520683172767,0.562095764957943,0.536799677617325,-0.504142648283658,0.468340398366459,-0.29341866844524",NA,NA,NA,"PctAlluvCoastWs,WtDepWs,PctIce2011Ws,RunoffWs,ElevWs,RckDepWs","RunoffWs,PctGlacLakeFineWs,PctUrbOp2011WsRp100,ElevWs,PctUrbHi2011WsRp100,PopDen2010Ws","0.534662045896376,-0.522789783490435,-0.484096998999714,0.449017354419885,-0.443764360626627,0.435829296645744","-0.534916181200967,0.341234137739115,0.272693084821222,-0.262542953546138,0.259045472332888,0.257832839667185"
"12","EVCV",1,"atsn","fourier",1442,9282,6.4368932038835,12373.6594583464,27631.3189166929,0.818636975443807,0.932780235728218,0.973580819160773,2690,936,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.677650444224527,0.563831243815247,0.537822098837247,-0.512150372792841,0.469173797047309,-0.296936222763765",NA,NA,NA,"BFIWs,RunoffWs,WtDepWs,PctAlluvCoastWs,ElevWs,PctIce2011Ws","RdDensWsRp100,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100,PctImp2006WsRp100,PopDen2010Ws,PctUrbLo2011WsRp100","-0.484380677022246,0.467764101693949,-0.461498055584091,0.440380833429866,-0.404215539226246,-0.382723644691127","0.644365292736133,0.60963421814014,0.590117056527113,0.586556409651448,0.573875253019044,0.558008405826265"
