"","R","m","cov","seasonality","focal_months","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","meidian_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DE",1,"pc","fixed_factors","May Jun Jul Aug",1057,9282,8.78145695364238,12571.7017008289,27257.4034016578,0.817663274752827,0.957782275360127,0.980251837860935,20,2,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.648779065285096,0.574566863631932,0.564180028373795,0.451520367152962,-0.440302331433958,-0.346823568877021",NA,NA,NA,"RunoffWs,PctGlacLakeFineWs,OmWs,BFIWs,PctAlluvCoastWs,PctIce2011Ws",NA,"-0.371846297305161,-0.266208559879215,0.259650866187558,0.161466513915917,-0.158497414722617,0.155087241955342",NA
"2","DE",1,"at","fixed_factors","May Jun Jul Aug",1057,9282,8.78145695364238,12414.2845951825,26942.569190365,0.823226194781906,0.959664454032826,0.981232543633785,20,2,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.652402430185269,0.576022291918117,0.570970048426771,0.431028298566892,-0.414455986580612,-0.328819818050849",NA,NA,NA,"RunoffWs,PctIce2011Ws,BFIWs,WtDepWs,PctGlacLakeFineWs,PctAlluvCoastWs",NA,"0.541180579478241,-0.427378575187161,-0.405956381905395,-0.327125035633499,0.323863515922033,0.286011787296098",NA
"3","DE",1,"atpc","fixed_factors","May Jun Jul Aug",1681,9282,5.52171326591315,11961.1999258053,27284.3998516105,0.836668818070147,0.962074251265396,0.983972185749615,8,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.665285871899783,0.575779137747659,0.568246258687759,0.444343308115036,-0.422194456541415,-0.336557462436126",NA,NA,NA,"RunoffWs,PctGlacLakeFineWs,PctIce2011Ws,BFIWs,RckDepWs,ElevWs","PctAlluvCoastWs,WtDepWs,PctUrbHi2011WsRp100,PctUrbMd2011WsRp100,PctImp2006WsRp100,PopDen2010Ws","0.458890722582748,0.426643584995259,-0.413397899289071,-0.318916181544864,0.214521723180681,-0.199879435297649","-0.429639729231866,0.420187552542282,-0.388018959229381,-0.344361770642858,-0.335151886789251,-0.332611579146358"
"4","DE",1,"atpcsn","fixed_factors","May Jun Jul Aug",2305,9282,4.02689804772234,11490.1474550033,27590.2949100066,0.848613060937602,0.965526957108447,0.985162047699313,4248,1470,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,RckDepWs,PctIce2011Ws,ElevWs",NA,NA,NA,"-0.723258290109545,0.596611870077526,0.499196655669036,0.497786902292292,-0.485264589921743,-0.328496388198139",NA,NA,NA,"BFIWs,PctIce2011Ws,RunoffWs,ElevWs,WtDepWs,PctGlacLakeFineWs","RunoffWs,WtDepWs,PctAlluvCoastWs,RckDepWs,PctGlacLakeFineWs,BFIWs","-0.52503288158895,-0.487224265410887,0.395409385963632,-0.300436081662294,-0.24712618547479,0.243800678691507","-0.377058505954296,0.305936769668978,-0.298892978922756,-0.216262879408781,-0.201044259443849,0.197974756711755"
"5","DE",1,"pc","fourier","May Jun Jul Aug",817,9282,11.3610771113831,12951.8230959642,27537.6461919284,0.809745730440503,0.951545603366968,0.979841620799313,59,7,0,"0 ","RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"0.579282901889782,0.521112867623262,-0.511223874731492,-0.402265340445959,0.373776210480534,-0.341292463355972",NA,NA,NA,"RunoffWs,PctIce2011Ws,PctAlluvCoastWs,ElevWs,WtDepWs,PermWs",NA,"-0.494892748500105,0.453932425290469,-0.380267215190038,0.343581304478929,0.334695458616134,-0.277003359357079",NA
"6","DE",1,"at","fourier","May Jun Jul Aug",817,9282,11.3610771113831,12693.8457216349,27021.6914432698,0.815240194154713,0.956716449839181,0.980003806630285,39,6,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.617656950164785,0.583862792457153,0.563500977015074,0.408192290442975,-0.394623095510063,-0.319785023719998",NA,NA,NA,"PctIce2011Ws,RunoffWs,PctAlluvCoastWs,ElevWs,WtDepWs,BFIWs",NA,"-0.484626352207996,0.483433571008011,0.445550475173517,-0.441751585366407,-0.391557262034388,-0.376211519880101",NA
"7","DE",1,"atpc","fourier","May Jun Jul Aug",1441,9282,6.44136016655101,12241.7555152104,27365.5110304208,0.827104752218001,0.959065984366774,0.982923880496353,8,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.625985593154598,0.580406154050392,0.560530337582964,0.417277991546862,-0.40100185778308,-0.324213265144759",NA,NA,NA,"PctIce2011Ws,RunoffWs,PctGlacLakeFineWs,ElevWs,BFIWs,WsAreaSqKm","PctAlluvCoastWs,PctUrbHi2011WsRp100,WtDepWs,PctUrbMd2011WsRp100,PctImp2006WsRp100,PctUrbLo2011WsRp100","-0.527289303912667,0.470917339256334,0.424422336891325,-0.398628059956095,-0.370913974884251,-0.313518059375708","-0.514769237203329,-0.441335741223381,0.425978874524478,-0.41489382418386,-0.399569664339828,-0.382846172199351"
"8","DE",1,"atpcsn","fourier","May Jun Jul Aug",2065,9282,4.49491525423729,11706.1181612885,27542.2363225771,0.842070148480893,0.963298289393933,0.984726824741268,3910,1400,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,RckDepWs,PctIce2011Ws,ElevWs",NA,NA,NA,"-0.704541913039573,0.597429836942696,0.514841129996434,0.473595188347957,-0.463234245609126,-0.312142392097983",NA,NA,NA,"BFIWs,PctIce2011Ws,RunoffWs,ElevWs,WtDepWs,OmWs","RunoffWs,WtDepWs,BFIWs,PctGlacLakeFineWs,OmWs,PctAlluvCoastWs","-0.578561012465391,-0.534503314611413,0.417002614581732,-0.413062691216707,-0.335443805509848,0.253077108558944","-0.372651530237091,0.265783961471035,0.258157888610632,-0.231254773740501,0.218835624734057,-0.215260014220344"
"9","DE",2,"pc","fixed_factors","May Jun Jul Aug",1080,9282,8.59444444444444,12220.4440391057,26600.8880782114,0.892937797212166,0.958024226383676,0.982007269245718,22,2,0,"0 ","WtDepWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,RunoffWs,ElevWs","WtDepWs,PctIce2011Ws,RckDepWs,RdDensWsRp100,PctAlluvCoastWs,PctUrbLo2011WsRp100",NA,NA,"-0.729469283378995,0.574028832778131,0.525414786045111,-0.516175927296726,0.510638678094691,-0.279556407010032","0.559041874647355,0.430647580059406,-0.382247374974246,-0.226389343830435,-0.213727963756142,-0.209675384984872",NA,NA,"RunoffWs,OmWs,PctGlacLakeFineWs,BFIWs,PctAlluvCoastWs,WsAreaSqKm",NA,"-0.364972040764369,0.281992926817872,-0.257808197378141,0.167658270822109,-0.133145918152961,-0.130486075756339",NA
"10","DE",2,"at","fixed_factors","May Jun Jul Aug",1080,9282,8.59444444444444,12090.2685480496,26340.5370960992,0.891443198497333,0.959849472466063,0.982204165057599,21,2,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,RckDepWs,PctIce2011Ws,BFIWs","WtDepWs,PctIce2011Ws,RckDepWs,PctAlluvCoastWs,PctUrbLo2011WsRp100,RdDensWsRp100",NA,NA,"-0.726204842747248,0.57240302760964,0.519958973604341,0.515724665076072,-0.502235635575428,-0.280116959068145","0.69080238287594,0.558417406070326,-0.494557089957537,-0.348093411706251,-0.342611514966934,-0.328675579575567",NA,NA,"RunoffWs,PctIce2011Ws,WtDepWs,BFIWs,PctAlluvCoastWs,RckDepWs",NA,"0.548738516062252,-0.521309428433397,-0.482150782204173,-0.383150486295438,0.374606798749734,0.321494082371744",NA
