"","R","m","cov","seasonality","focal_months","nparams","ndatapts","n_p_ratio","NLL","AIC","min_R2","meidian_R2","max_R2","counts_func","counts_gradient","convergence","message","load_names1","load_names2","load_names3","load_names4","load_cors1","load_cors2","load_cors3","load_cors4","eff_names1","eff_names2","eff_cors1","eff_cors2"
"1","DE",1,"pc","fixed_factors","Nov Dec Jan Feb",1057,9282,8.78145695364238,12741.636039615,27597.27207923,0.811830083780649,0.956833535346827,0.979312815154396,8,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"-0.626581565478778,0.593711158786713,0.563929967616983,-0.438681973449505,0.416282027410646,-0.374253097052604",NA,NA,NA,"ElevWs,PctAlluvCoastWs,PctUrbLo2011WsRp100,BFIWs,PctIce2011Ws,OmWs",NA,"-0.299695816405222,0.248333413973987,0.227038151950259,-0.218256593612129,0.197107365389387,0.192105093252032",NA
"2","DE",1,"at","fixed_factors","Nov Dec Jan Feb",1057,9282,8.78145695364238,12611.2419044313,27336.4838088625,0.813788814978925,0.956888559815,0.979561036038694,26,3,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.622643004143149,0.587559399351458,0.556796157561583,0.407043093444082,-0.386325347205402,-0.327496212695671",NA,NA,NA,"ElevWs,RckDepWs,PctAlluvCoastWs,WtDepWs,BFIWs,PctIce2011Ws",NA,"-0.556427401663213,0.472927196025134,0.462747508206599,-0.446981687931104,-0.379395244454657,-0.372181310868355",NA
"3","DE",1,"atpc","fixed_factors","Nov Dec Jan Feb",1681,9282,5.52171326591315,12338.0732045945,28038.1464091891,0.822292107333127,0.960281225681147,0.980572344650788,8,1,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.613701449901213,0.603749621417483,0.554045732692515,0.399788287583265,-0.386158410606834,-0.330300833885446",NA,NA,NA,"ElevWs,PctAlluvCoastWs,WtDepWs,RckDepWs,PctIce2011Ws,PctGlacLakeFineWs","PctUrbHi2011WsRp100,PopDen2010Ws,PctGlacLakeFineWs,PctUrbOp2011WsRp100,ElevWs,PctImp2006WsRp100","-0.567503914988865,0.548674556874063,-0.538443899798209,0.527678788480275,-0.44899881257396,0.34358841314069","0.334613169337351,0.282619482099404,0.265762057454391,0.242585400008641,-0.235023422802957,0.230881529512541"
"4","DE",1,"atpcsn","fixed_factors","Nov Dec Jan Feb",2305,9282,4.02689804772234,12074.0656530753,28758.1313061506,0.826658005898152,0.963887078302959,0.982058746746687,3944,1299,0,"0 ","WtDepWs,RunoffWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs",NA,NA,NA,"-0.650394265185153,0.567261168030023,0.552910699308679,0.44817320145576,-0.438867107172304,-0.304268956030193",NA,NA,NA,"ElevWs,BFIWs,WtDepWs,WsAreaSqKm,RckDepWs,PctGlacLakeFineWs","PctUrbHi2011WsRp100,RunoffWs,PctGlacLakeFineWs,PopDen2010Ws,PctUrbOp2011WsRp100,RdDensWsRp100","-0.558283659373057,-0.499155980477079,-0.494342657432535,-0.49227249984359,0.434616651285214,0.394206892531682","0.383020826213644,-0.346968432558523,0.334067762555362,0.325346317132459,0.291882555030934,0.274137751086119"
"5","DE",1,"pc","fourier","Nov Dec Jan Feb",817,9282,11.3610771113831,13328.0646822026,28290.1293644053,0.791638451224931,0.946992455124718,0.978268190820064,8,1,0,"0 ","RunoffWs,PctAlluvCoastWs,WtDepWs,PctIce2011Ws,BFIWs,RckDepWs",NA,NA,NA,"0.623621737741661,0.486575519933122,-0.446000034720556,-0.389194702685432,-0.359295848377905,0.327031527288197",NA,NA,NA,"PctUrbLo2011WsRp100,ElevWs,PctImp2006WsRp100,PopDen2010Ws,PctUrbMd2011WsRp100,PctUrbHi2011WsRp100",NA,"0.371430915361055,-0.36470135802911,0.352315057981084,0.348052694320088,0.333339596911542,0.324243532624327",NA
"6","DE",1,"at","fourier","Nov Dec Jan Feb",817,9282,11.3610771113831,13059.1846560362,27752.3693120725,0.793800470541737,0.95102388157967,0.978881569289427,8,1,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"0.629498531342671,-0.533025906690565,0.519802644788534,-0.367335093309735,0.356177357996917,-0.331826287625944",NA,NA,NA,"RunoffWs,PctAlluvCoastWs,BFIWs,RckDepWs,PctIce2011Ws,PctGlacLakeFineWs",NA,"0.431744679292463,0.326556014002134,-0.297140184455255,0.238019048094615,-0.236433021253428,0.184057758414013",NA
"7","DE",1,"atpc","fourier","Nov Dec Jan Feb",1441,9282,6.44136016655101,12776.6809668694,28435.3619337388,0.80271425835689,0.954209511544014,0.979807609246725,20,2,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"0.642683371073727,-0.523009956348467,0.515942100024479,-0.36516481765362,0.347527964346777,-0.33612530741945",NA,NA,NA,"RunoffWs,PctAlluvCoastWs,BFIWs,RckDepWs,PctIce2011Ws,PctGlacLakeFineWs","PctUrbHi2011WsRp100,PopDen2010Ws,PctUrbOp2011WsRp100,PctImp2006WsRp100,PctGlacLakeFineWs,ElevWs","0.385906412650846,0.322462098866919,-0.252173215555567,0.221748719156303,-0.211081580926137,0.192779796514855","0.400564590981544,0.352614889953878,0.317320590285441,0.305194534425519,0.297969288697529,-0.297195362006822"
"8","DE",1,"atpcsn","fourier","Nov Dec Jan Feb",2065,9282,4.49491525423729,12398.645843773,28927.291687546,0.81140818655811,0.95908644723312,0.981368563871277,3500,1258,0,"0 ","RunoffWs,WtDepWs,PctAlluvCoastWs,PctIce2011Ws,RckDepWs,BFIWs",NA,NA,NA,"0.609678863521028,-0.599391737206607,0.522633943817257,-0.416278805457936,0.410714285125351,-0.320186308775445",NA,NA,NA,"BFIWs,ElevWs,WtDepWs,RckDepWs,PctIce2011Ws,PctAlluvCoastWs","PctUrbHi2011WsRp100,PctGlacLakeFineWs,PopDen2010Ws,RunoffWs,PctUrbOp2011WsRp100,PctImp2006WsRp100","-0.501140485021619,-0.498616166207755,-0.487064818190286,0.442769407777125,-0.428661817601923,0.42175759114637","0.391654420760003,0.3542327694143,0.332740550861443,-0.313485753670885,0.296616741353364,0.279265222344198"
"9","DE",2,"pc","fixed_factors","Nov Dec Jan Feb",1080,9282,8.59444444444444,12413.1693922276,26986.3387844552,0.8852964276832,0.957162089332658,0.98117063445314,20,2,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,PctIce2011Ws,RckDepWs,BFIWs","WtDepWs,PctIce2011Ws,RckDepWs,PctUrbLo2011WsRp100,RdDensWsRp100,PctAlluvCoastWs",NA,NA,"-0.731780363946765,0.574016794788334,0.52568656137358,-0.525323371578378,0.514925457584973,-0.29766676636639","0.63013660795237,0.452048712128673,-0.449407493910528,-0.285931287515782,-0.273388978793317,-0.265659830883897",NA,NA,"ElevWs,PctIce2011Ws,PctAlluvCoastWs,BFIWs,PctUrbLo2011WsRp100,RckDepWs",NA,"-0.275271850252961,0.251708890825533,0.209170704152356,-0.204401200390425,0.200523291557997,-0.186797317486784",NA
"10","DE",2,"at","fixed_factors","Nov Dec Jan Feb",1080,9282,8.59444444444444,12296.5725346497,26753.1450692994,0.882575829771608,0.957401561983456,0.98168559097485,22,2,0,"0 ","WtDepWs,PctAlluvCoastWs,RunoffWs,RckDepWs,PctIce2011Ws,BFIWs","WtDepWs,RckDepWs,PctIce2011Ws,PctUrbLo2011WsRp100,PctAlluvCoastWs,PctImp2006WsRp100",NA,NA,"-0.723251646442617,0.570420324577525,0.516538772726808,0.511299234627706,-0.481733899291579,-0.273275860120766","0.746425282411827,-0.534392414109046,0.527142255095765,-0.40433030965417,-0.386408180737581,-0.368331530738199",NA,NA,"ElevWs,WtDepWs,PctAlluvCoastWs,RckDepWs,PctIce2011Ws,BFIWs",NA,"-0.567634075956233,-0.527997403034391,0.507577521735282,0.491473562860261,-0.414915491444963,-0.392454175876977",NA
